id,prob
E10559,0.42908293
E4849,0.54473144
E3964,0.7480638
E542,0.5535488
E331,0.5163545
E10471,0.8176769
E9186,0.49228677
E5576,0.34073693
E9705,0.5221257
E7309,0.47511503
E476,0.5494318
E5217,0.46486583
E7653,0.4695522
E1530,0.5014233
E10379,0.57326835
E1516,0.7729465
E9418,0.79433566
E9388,0.49575356
E10737,0.7673632
E5290,0.60539836
E6010,0.5544543
E4307,0.5372776
E4548,0.42575154
E3030,0.30533844
E68,0.7280855
E5739,0.8197957
E2394,0.6091423
E3629,0.66448474
E8652,0.7196592
E5779,0.45358342
E10269,0.567439
E7456,0.519135
E9199,0.4307148
E1606,0.8842492
E9077,0.7641513
E9576,0.47569883
E2810,0.8156776
E1091,0.95665365
E2755,0.49143496
E1405,0.5052519
E2213,0.4878671
E1321,0.5542683
E10797,0.64366966
E7340,0.51954126
E9659,0.91036576
E1678,0.8996032
E9591,0.4058179
E6377,0.9536832
E10130,0.74934727
E5582,0.45961007
E9510,0.5461606
E4237,0.5126141
E10470,0.40809476
E7528,0.9435248
E2567,0.5173777
E6083,0.46187395
E6735,0.8371356
E6800,0.63604707
E2293,0.5425506
E1633,0.44614464
E10659,0.9607397
E543,0.42238617
E7177,0.54208386
E4126,0.38088587
E2850,0.6239744
E2078,0.5158085
E5746,0.7387872
E2445,0.88865834
E2958,0.58282155
E3497,0.8919798
E5069,0.6539399
E8995,0.6344735
E8220,0.83138394
E4354,0.86057603
E7578,0.44276986
E2122,0.542838
E6661,0.31223804
E2582,0.6332279
E1836,0.49883068
E7881,0.65204185
E6685,0.4686342
E113,0.4463625
E1161,0.51899767
E8062,0.5128781
E5637,0.4166117
E4470,0.88694173
E6905,0.5281586
E7553,0.5199269
E7773,0.50380594
E1991,0.7715248
E3997,0.7969503
E5326,0.43401337
E3076,0.88948315
E2018,0.43541077
E594,0.41654506
E2971,0.41317907
E6692,0.61807865
E3383,0.9625106
E8755,0.5967198
E1494,0.688307
E7725,0.6127203
E8265,0.5159141
E8021,0.57767284
E7110,0.60934633
E8495,0.91871035
E6551,0.45580846
E10716,0.5079169
E9434,0.42472863
E2128,0.9209341
E8123,0.4549413
E1658,0.94100237
E7504,0.5847111
E8552,0.4799657
E798,0.6648957
E5976,0.58010423
E6501,0.55273
E8648,0.7046752
E7213,0.57923865
E6667,0.46066174
E6701,0.31681368
E4011,0.7950294
E6880,0.45558488
E2679,0.5199413
E10280,0.47045892
E6213,0.9674906
E7717,0.60939485
E5342,0.61559594
E3783,0.9959859
E4763,0.4385561
E8563,0.4529109
E8256,0.6465925
E7562,0.53363603
E8807,0.95933056
E1160,0.49234524
E6757,0.6348337
E4130,0.46338966
E10778,0.3491217
E6789,0.55011326
E1448,0.5109965
E1869,0.64846903
E10537,0.48762462
E8348,0.5647575
E5158,0.39303717
E5939,0.5281496
E10623,0.5138347
E4941,0.6386764
E9068,0.33970922
E9894,0.6069752
E1121,0.9330279
E5634,0.8198198
E3890,0.87378895
E10467,0.67308354
E3728,0.5752483
E3943,0.61225057
E6303,0.55434525
E9052,0.66902137
E533,0.52037483
E132,0.46158206
E1580,0.5736596
E4034,0.5552247
E9422,0.87280333
E2575,0.8773291
E1043,0.63232994
E8480,0.52593637
E10111,0.5275411
E330,0.42128414
E7838,0.6103972
E9529,0.5169339
E5397,0.48096365
E6862,0.4797473
E3740,0.6674513
E118,0.4423403
E8133,0.43459427
E8441,0.6133813
E4814,0.38835424
E5592,0.6742197
E4117,0.7241439
E7793,0.823174
E2368,0.49139282
E9954,0.49412256
E10307,0.5326391
E7729,0.89978355
E1123,0.7906091
E5155,0.7790181
E5224,0.5208788
E2789,0.1277042
E8483,0.58634585
E10552,0.31880838
E8884,0.61294746
E10377,0.42917585
E10193,0.5293921
E5811,0.74661815
E8541,0.5715427
E486,0.5560939
E8888,0.88696116
E6532,0.9654719
E4165,0.9533653
E3160,0.8160995
E982,0.7266624
E5505,0.48263985
E741,0.55144703
E8115,0.7382412
E7410,0.35588887
E687,0.43718383
E10385,0.6242505
E3446,0.37612143
