id,prob
E10559,0.51484466
E4849,0.4361464
E3964,0.7036626
E542,0.58057976
E331,0.55464214
E10471,0.7129736
E9186,0.54913443
E5576,0.40692163
E9705,0.56722593
E7309,0.59448105
E476,0.7966456
E5217,0.47784886
E7653,0.47029993
E1530,0.544801
E10379,0.52573544
E1516,0.79863274
E9418,0.8039274
E9388,0.5227143
E10737,0.7358724
E5290,0.64314884
E6010,0.45048508
E4307,0.6029667
E4548,0.41770482
E3030,0.10899903
E68,0.74172455
E5739,0.834881
E2394,0.65459585
E3629,0.4383403
E8652,0.75046957
E5779,0.5608793
E10269,0.58645004
E7456,0.46383613
E9199,0.43877906
E1606,0.88178325
E9077,0.6685047
E9576,0.4185778
E2810,0.6760603
E1091,0.90587324
E2755,0.46502793
E1405,0.445123
E2213,0.5137833
E1321,0.5352016
E10797,0.76293397
E7340,0.509317
E9659,0.90500057
E1678,0.8692105
E9591,0.5419302
E6377,0.94917774
E10130,0.7188832
E5582,0.57162124
E9510,0.48213428
E4237,0.50861955
E10470,0.64437515
E7528,0.9261783
E2567,0.5201318
E6083,0.41954553
E6735,0.8372842
E6800,0.619765
E2293,0.6004331
E1633,0.5516551
E10659,0.9591286
E543,0.54476947
E7177,0.3851527
E4126,0.4558344
E2850,0.58056307
E2078,0.5688449
E5746,0.71098936
E2445,0.8952759
E2958,0.5602261
E3497,0.85258687
E5069,0.70155436
E8995,0.617862
E8220,0.78051364
E4354,0.8356984
E7578,0.43678755
E2122,0.5928936
E6661,0.30554387
E2582,0.6034743
E1836,0.53700054
E7881,0.6753857
E6685,0.46350208
E113,0.36693653
E1161,0.49431944
E8062,0.5654367
E5637,0.47230035
E4470,0.9077026
E6905,0.6316685
E7553,0.5617322
E7773,0.31750455
E1991,0.89923614
E3997,0.7534011
E5326,0.60198075
E3076,0.877076
E2018,0.4913898
E594,0.41783828
E2971,0.59348977
E6692,0.56322557
E3383,0.969689
E8755,0.5502298
E1494,0.8780139
E7725,0.5904727
E8265,0.5450295
E8021,0.5562857
E7110,0.5968878
E8495,0.7963304
E6551,0.4263192
E10716,0.47909704
E9434,0.43675044
E2128,0.90466195
E8123,0.43160316
E1658,0.9420121
E7504,0.60557604
E8552,0.5089812
E798,0.79126537
E5976,0.5740706
E6501,0.50996685
E8648,0.63125277
E7213,0.5957166
E6667,0.44458058
E6701,0.3962027
E4011,0.7481407
E6880,0.50171936
E2679,0.475476
E10280,0.4462088
E6213,0.9792124
E7717,0.74822235
E5342,0.7228313
E3783,0.9928566
E4763,0.44639832
E8563,0.4699213
E8256,0.51654017
E7562,0.6112963
E8807,0.9454387
E1160,0.69091535
E6757,0.53803176
E4130,0.47886208
E10778,0.40486032
E6789,0.575276
E1448,0.5423823
E1869,0.7212892
E10537,0.48302376
E8348,0.47758245
E5158,0.4768035
E5939,0.74055016
E10623,0.41935468
E4941,0.6077956
E9068,0.4308209
E9894,0.6085451
E1121,0.9211045
E5634,0.6869707
E3890,0.87325245
E10467,0.65524286
E3728,0.54533297
E3943,0.57638407
E6303,0.50246775
E9052,0.66015416
E533,0.65024614
E132,0.33198056
E1580,0.505723
E4034,0.5304433
E9422,0.42041805
E2575,0.88250303
E1043,0.6596864
E8480,0.6238389
E10111,0.49143967
E330,0.45372376
E7838,0.59686255
E9529,0.58420837
E5397,0.58865184
E6862,0.4084692
E3740,0.69905573
E118,0.5265471
E8133,0.41062215
E8441,0.645227
E4814,0.51176697
E5592,0.7566313
E4117,0.77422863
E7793,0.8163184
E2368,0.51222914
E9954,0.49587333
E10307,0.5977018
E7729,0.8128178
E1123,0.83014065
E5155,0.7094009
E5224,0.57916963
E2789,0.19927876
E8483,0.48427346
E10552,0.3588831
E8884,0.684136
E10377,0.35685664
E10193,0.5337414
E5811,0.5626256
E8541,0.53794104
E486,0.42416754
E8888,0.89937115
E6532,0.96336615
E4165,0.9620208
E3160,0.93682677
E982,0.5865182
E5505,0.6299262
E741,0.5698467
E8115,0.66024363
E7410,0.3237875
E687,0.48149225
E10385,0.676998
E3446,0.36583275
E1295,0.8513265
E10695,0.42376772
E4417,0.34693384
E5099,0.63906676
E8638,0.5661558
E8886,0.8599418
E398,0.229339
E7150,0.5988298
E7724,0.5840862
E2655,0.5533923
E9266,0.86518455
E7954,0.47229367
E3814,0.58863676
E2045,0.45615107
E1948,0.70210445
E637,0.5084822
E4060,0.44923702
E2249,0.7959581
E4486,0.53129536
E7770,0.61794686
E6717,0.49257532
E10268,0.45791084
E2382,0.4111913
E4614,0.4764729
E4396,0.78860945
E9562,0.38585457
E7088,0.8630514
E1890,0.67532325
E1764,0.61847866
E9819,0.9417332
E4640,0.84283215
E8385,0.88717735
E2514,0.65628433
E8377,0.50422746
E3496,0.7115254
E1432,0.4207579
E8278,0.49757436
E8219,0.5070978
E380,0.72247845
E416,0.68747556
E7152,0.57552236
E1463,0.5455175
E7247,0.6638873
E3418,0.91772914
E8092,0.79960775
E4181,0.5542008
E10669,0.53990763
E6786,0.87016606
E3287,0.4675458
E8885,0.4749163
E7338,0.4373222
E4890,0.76901233
E8264,0.54279506
E5638,0.454377
E5846,0.5596824
E1646,0.47890478
E8763,0.3871167
E3816,0.9182645
E6732,0.53936785
E1303,0.761728
E9350,0.5470181
E10419,0.9779449
E4563,0.57790333
E647,0.6247027
E344,0.42242506
E9536,0.6991146
E2617,0.65562046
E10825,0.48055443
E1078,0.942235
E6851,0.7576215
E8879,0.47464913
E6705,0.59756064
E4207,0.7175611
E4483,0.4971754
E9584,0.5478504
E9846,0.60164565
E9459,0.5624186
E1668,0.43741485
E4090,0.5340548
E6989,0.6495688
E564,0.50997937
E9169,0.492938
E5313,0.55186445
E2354,0.49857616
E5456,0.5235885
E3361,0.53474444
E9856,0.7355195
E6670,0.58770835
E4170,0.5347669
E7122,0.86469567
E3031,0.53758967
E6175,0.9059944
E4828,0.9539854
E817,0.95573765
E7319,0.9450167
E9935,0.87442464
E4198,0.36458537
E5379,0.40847558
E9930,0.4896198
E3910,0.5686478
E9816,0.4966991
E6957,0.45869187
E10243,0.56684834
E4518,0.52674574
E9633,0.6758293
E3538,0.9045277
E2286,0.54234564
E402,0.70195705
E5129,0.25254217
E4101,0.52861863
E3255,0.54901594
E5177,0.575971
E10847,0.8792103
E2008,0.71903026
E3681,0.87006027
E3359,0.6205595
E3636,0.72949505
E2480,0.59169656
E8321,0.49681407
E1642,0.60900265
E8054,0.54536223
E5026,0.52256155
E1942,0.533965
E9332,0.56882614
E5820,0.82424235
E112,0.9963528
E7151,0.7377919
E7897,0.57653916
E4685,0.49653333
E7427,0.8373266
E5077,0.5215373
E9841,0.45641738
E5903,0.47994125
E6297,0.73061556
E8018,0.55294955
E5032,0.5526918
E9927,0.70572835
E5135,0.49189648
E7852,0.6926533
E231,0.47082236
E3393,0.5608321
E3017,0.39863342
E9673,0.56710094
E1172,0.78273124
E6126,0.89993304
E1470,0.8610667
E8896,0.62084675
E3161,0.5923048
E3472,0.52818483
E2167,0.5383229
E2636,0.42166534
E8149,0.54764026
E9090,0.6531099
E6847,0.7952442
E2786,0.9443256
E9972,0.8782826
E10107,0.83878934
E3113,0.51139164
E6044,0.6084609
E6075,0.35166425
E5686,0.54058474
E576,0.97350025
E8605,0.45078328
E9563,0.7730355
E8551,0.5236477
E1959,0.584908
E379,0.990457
E215,0.555365
E2899,0.47497922
E5092,0.56663847
E8581,0.56254435
E407,0.6079
E5325,0.51724195
E8198,0.87292004
E10722,0.5283153
E7543,0.5398655
E5393,0.5130997
E10077,0.43696776
E7679,0.56971914
E10621,0.46527156
E9672,0.8418343
E4168,0.86849165
E1340,0.5657026
E5498,0.5772085
E4826,0.39748478
E3632,0.51281095
E9797,0.75323963
E9581,0.7165392
E7235,0.5052163
E8968,0.7955246
E8842,0.80176353
E4905,0.35036856
E6544,0.45702618
E6785,0.4842418
E10443,0.36120078
E5131,0.8825455
E7879,0.8258376
E226,0.6133891
E2087,0.7804457
E8023,0.4190719
E6833,0.7835454
E10586,0.5595302
E5192,0.72577536
E1223,0.4658817
E10350,0.4911187
E6395,0.59872794
E8309,0.6142896
E9958,0.8508554
E8486,0.9007593
E8378,0.4361306
E4988,0.97691137
E9014,0.9750806
E3392,0.48286873
E8493,0.5969897
E5838,0.7051325
E9295,0.5295524
E5932,0.9885716
E176,0.5934312
E1795,0.44780442
E6864,0.7669692
E1578,0.77318215
E8815,0.8415294
E1280,0.55786127
E8566,0.4397089
E78,0.56560105
E6884,0.45038417
E2651,0.52592766
E6771,0.5741884
E1053,0.56211215
E7258,0.6067414
E7447,0.46359605
E8518,0.71689475
E3787,0.4960271
E10426,0.76343286
E6454,0.3367255
E1420,0.6168416
E7043,0.5270364
E8085,0.47344232
E4512,0.3908687
E3692,0.43799722
E185,0.4803971
E8415,0.39341953
E7100,0.67620397
E7943,0.63205886
E2820,0.59121394
E1479,0.9664855
E10025,0.48384842
E1439,0.458297
E7166,0.5733687
E3685,0.54197556
E6442,0.43396878
E5688,0.62412816
E5565,0.46079808
E2486,0.51413447
E10689,0.8654003
E10331,0.64856154
E1785,0.94036895
E50,0.93035305
E2609,0.6310783
E7228,0.7548161
E1055,0.5046308
E4306,0.85557556
E9291,0.94846976
E317,0.41194466
E5867,0.5633369
E874,0.90947175
E7027,0.61511976
E8992,0.26545474
E6380,0.5040855
E9269,0.8653082
E501,0.4386153
E971,0.8021698
E6588,0.5151485
E6545,0.2773196
E10626,0.48399332
E3134,0.6409296
E4650,0.36693513
E3992,0.7333048
E4522,0.46238983
E512,0.5886772
E2459,0.89802945
E349,0.38440025
E2547,0.42418963
E8112,0.8516878
E493,0.59675366
E10769,0.33260632
E10300,0.8478692
E9007,0.8080234
E281,0.4391557
E6489,0.6149539
E5485,0.53290087
E4173,0.8136573
E1566,0.45666406
E10407,0.6809748
E560,0.5278664
E2932,0.6526207
E8166,0.9866939
E7355,0.5627253
E705,0.6061376
E6017,0.63532555
E3186,0.40409487
E2921,0.6219536
E7386,0.5427755
E7926,0.36148039
E76,0.42296427
E6718,0.8955982
E7072,0.6595266
E7860,0.50126094
E5785,0.54156244
E4745,0.5742507
E3061,0.9327704
E1217,0.7238765
E3719,0.28308457
E436,0.63895583
E7429,0.7031138
E844,0.44657072
E6919,0.81519574
E9385,0.9301365
E9141,0.52120715
E10500,0.4901219
E3919,0.6404756
E3861,0.8579555
E10488,0.5995119
E3748,0.42802536
E9168,0.805684
E9853,0.98897165
E7503,0.5785816
E7671,0.60525215
E1069,0.65176713
E8950,0.5185286
E2709,0.9207146
E5402,0.6495688
E961,0.5730701
E723,0.9028491
E7686,0.5746801
E5594,0.7063573
E5018,0.7708191
