id,prob
E10559,0.43583697
E4849,0.48641208
E3964,0.810025
E542,0.5737514
E331,0.55520684
E10471,0.73573947
E9186,0.53655803
E5576,0.2817494
E9705,0.5439759
E7309,0.6863875
E476,0.77288675
E5217,0.34241542
E7653,0.46508512
E1530,0.40784466
E10379,0.55984026
E1516,0.7964631
E9418,0.84325594
E9388,0.50347865
E10737,0.7590337
E5290,0.6341488
E6010,0.55069363
E4307,0.57737225
E4548,0.44609398
E3030,0.18950981
E68,0.810758
E5739,0.843728
E2394,0.6460046
E3629,0.7433197
E8652,0.5307394
E5779,0.6085443
E10269,0.61720496
E7456,0.46141967
E9199,0.45126975
E1606,0.8489395
E9077,0.7189752
E9576,0.53367496
E2810,0.82578766
E1091,0.9162326
E2755,0.35246015
E1405,0.55635905
E2213,0.4315536
E1321,0.5316169
E10797,0.739213
E7340,0.4757238
E9659,0.9078094
E1678,0.88714296
E9591,0.6147081
E6377,0.94879997
E10130,0.74465036
E5582,0.5840709
E9510,0.49933583
E4237,0.52481097
E10470,0.52453905
E7528,0.9309918
E2567,0.54839975
E6083,0.42028818
E6735,0.8407541
E6800,0.6269808
E2293,0.5400171
E1633,0.4038377
E10659,0.93834573
E543,0.4061257
E7177,0.61221784
E4126,0.48777398
E2850,0.40340504
E2078,0.5600296
E5746,0.6021595
E2445,0.8447644
E2958,0.5163802
E3497,0.87358963
E5069,0.6828221
E8995,0.56443936
E8220,0.7930537
E4354,0.83645284
E7578,0.42271233
E2122,0.39267087
E6661,0.48589522
E2582,0.602675
E1836,0.63341224
E7881,0.53218067
E6685,0.45393243
E113,0.40026438
E1161,0.44497982
E8062,0.6390492
E5637,0.70598245
E4470,0.9140884
E6905,0.6022788
E7553,0.46654326
E7773,0.5783803
E1991,0.7940892
E3997,0.74492514
E5326,0.4956119
E3076,0.86409014
E2018,0.38680145
E594,0.40876704
E2971,0.48571748
E6692,0.44064665
E3383,0.96690804
E8755,0.5684024
E1494,0.8886037
E7725,0.6879183
E8265,0.58358634
E8021,0.57574505
E7110,0.57265204
E8495,0.8101905
E6551,0.38298577
E10716,0.5668836
E9434,0.39043012
E2128,0.9039805
E8123,0.46170637
E1658,0.90970767
E7504,0.6049487
E8552,0.49610713
E798,0.87197393
E5976,0.5641404
E6501,0.504836
E8648,0.6979748
E7213,0.6136264
E6667,0.3071592
E6701,0.3767476
E4011,0.8394323
E6880,0.44144416
E2679,0.47229728
E10280,0.48317778
E6213,0.98151946
E7717,0.70412683
E5342,0.6472229
E3783,0.9979103
E4763,0.41946304
E8563,0.43228978
E8256,0.67741567
E7562,0.47582012
E8807,0.95678604
E1160,0.6059497
E6757,0.57143664
E4130,0.41369456
E10778,0.35212785
E6789,0.62273353
E1448,0.5118095
E1869,0.5979127
E10537,0.6183204
E8348,0.4599507
E5158,0.47502774
E5939,0.53638214
E10623,0.6054503
E4941,0.6379095
E9068,0.3834293
E9894,0.52373433
E1121,0.9127523
E5634,0.7492605
E3890,0.8854925
E10467,0.6442927
E3728,0.5670954
E3943,0.6482114
E6303,0.59511006
E9052,0.67783886
E533,0.7782956
E132,0.32107285
E1580,0.63742715
E4034,0.45852175
E9422,0.8816915
E2575,0.8804367
E1043,0.54613346
E8480,0.54799044
E10111,0.34582525
E330,0.4804437
E7838,0.5602856
E9529,0.49986127
E5397,0.58425415
E6862,0.37576082
E3740,0.79485536
E118,0.45545018
E8133,0.39964733
E8441,0.5258613
E4814,0.49641785
E5592,0.69124526
E4117,0.71295726
E7793,0.84589994
E2368,0.5193034
E9954,0.51602715
E10307,0.5392957
E7729,0.9135333
E1123,0.8458969
E5155,0.750353
E5224,0.47815892
E2789,0.32579568
E8483,0.637242
E10552,0.36704975
E8884,0.5099387
E10377,0.47575063
E10193,0.4440254
E5811,0.5640549
E8541,0.71521133
E486,0.53692096
E8888,0.88203424
E6532,0.9681236
E4165,0.95917654
E3160,0.92035604
E982,0.74964464
E5505,0.61443335
E741,0.6449804
E8115,0.6774023
E7410,0.33434847
E687,0.42145193
E10385,0.75066924
E3446,0.46644944
E1295,0.84001416
E10695,0.46439803
E4417,0.30951047
E5099,0.70162904
E8638,0.49040833
E8886,0.85958785
E398,0.69256663
E7150,0.49862915
E7724,0.5565656
E2655,0.7545064
E9266,0.70920545
E7954,0.4809215
E3814,0.6577078
E2045,0.33984432
E1948,0.5856397
E637,0.5915359
E4060,0.52801317
E2249,0.9701296
E4486,0.45444196
E7770,0.8275514
E6717,0.49853328
E10268,0.49978623
E2382,0.45369944
E4614,0.46115455
E4396,0.7963753
E9562,0.38135675
E7088,0.91167355
E1890,0.8389543
E1764,0.6010766
E9819,0.9423496
E4640,0.87717456
E8385,0.7990395
E2514,0.39418682
E8377,0.5298407
E3496,0.8092464
E1432,0.40514037
E8278,0.52551967
E8219,0.5151137
E380,0.7575438
E416,0.61951864
E7152,0.6025486
E1463,0.56331307
E7247,0.7343655
E3418,0.9359658
E8092,0.7041192
E4181,0.48856544
E10669,0.5291079
E6786,0.86015195
E3287,0.49766308
E8885,0.45919046
E7338,0.38274828
E4890,0.85532635
E8264,0.5336243
E5638,0.5326659
E5846,0.4956695
E1646,0.39974025
E8763,0.54993445
E3816,0.89147127
E6732,0.53204125
E1303,0.65699285
E9350,0.5885872
E10419,0.96842057
E4563,0.5005619
E647,0.57005316
E344,0.4159136
E9536,0.79510677
E2617,0.7352712
E10825,0.46354732
E1078,0.9231719
E6851,0.57355666
E8879,0.4811829
E6705,0.7050806
E4207,0.7324736
E4483,0.5229831
E9584,0.6275216
E9846,0.6893538
E9459,0.7202509
E1668,0.4905072
E4090,0.4615746
E6989,0.69130677
E564,0.48645037
E9169,0.5708786
E5313,0.46365887
E2354,0.3413438
E5456,0.57710135
E3361,0.48949036
E9856,0.7324473
E6670,0.6620697
E4170,0.6849449
E7122,0.83983433
E3031,0.46562412
E6175,0.8892951
E4828,0.94737554
E817,0.95661175
E7319,0.9554048
E9935,0.88314265
E4198,0.5294338
E5379,0.3467604
E9930,0.49152118
E3910,0.5321158
E9816,0.504684
E6957,0.45248058
E10243,0.51248366
E4518,0.47954023
E9633,0.6269965
E3538,0.90665317
E2286,0.57545257
E402,0.18884708
E5129,0.66007143
E4101,0.5041657
