id,prob
E10559,0.5878042
E4849,0.5226611
E3964,0.73306507
E542,0.49379355
E331,0.505885
E10471,0.6145113
E9186,0.49831182
E5576,0.39695618
E9705,0.58689934
E7309,0.7015438
E476,0.7371745
E5217,0.42060193
E7653,0.49347585
E1530,0.5465459
E10379,0.49912617
E1516,0.8109339
E9418,0.89187855
E9388,0.50943846
E10737,0.70599204
E5290,0.6240819
E6010,0.39907587
E4307,0.5303281
E4548,0.42709348
E3030,0.19899634
E68,0.69830596
E5739,0.8305858
E2394,0.5533575
E3629,0.87692726
E8652,0.55366623
E5779,0.561066
E10269,0.6625362
E7456,0.4955783
E9199,0.5151644
E1606,0.8848577
E9077,0.7259705
E9576,0.48766837
E2810,0.70236474
E1091,0.9548484
E2755,0.55447406
E1405,0.46862474
E2213,0.47777146
E1321,0.42216915
E10797,0.6095397
E7340,0.48104683
E9659,0.9032952
E1678,0.8652482
E9591,0.47666857
E6377,0.9506539
E10130,0.7090906
E5582,0.46026796
E9510,0.48173457
E4237,0.57199496
E10470,0.40455937
E7528,0.91539425
E2567,0.5263684
E6083,0.46709383
E6735,0.8303928
E6800,0.579759
E2293,0.5268304
E1633,0.44310975
E10659,0.8727473
E543,0.4257693
E7177,0.382889
E4126,0.39378706
E2850,0.39743266
E2078,0.47407782
E5746,0.6937177
E2445,0.5997463
E2958,0.58412534
E3497,0.8770201
E5069,0.7751231
E8995,0.56036866
E8220,0.7114962
E4354,0.8434354
E7578,0.4566383
E2122,0.5989523
E6661,0.48466745
E2582,0.64856124
E1836,0.55902725
E7881,0.6491071
E6685,0.5081517
E113,0.35536993
E1161,0.42846563
E8062,0.53023237
E5637,0.42966917
E4470,0.8890517
E6905,0.63659835
E7553,0.4834548
E7773,0.5559958
E1991,0.8913916
E3997,0.64693224
E5326,0.48139608
E3076,0.8806186
E2018,0.432981
E594,0.3376753
E2971,0.5506666
E6692,0.55317914
E3383,0.97133
E8755,0.60988533
E1494,0.8809274
E7725,0.5651711
