id,prob
E3064,0.96388865
E298,0.9216872
E3512,0.86675227
E5670,0.9932741
E5005,0.72496843
E1537,0.9159909
E4070,0.9485426
E9296,0.6600015
E6748,0.9422546
E8060,0.6064449
E3969,0.94173205
E1796,0.88344777
E3195,0.9128047
E8042,0.9147915
E5983,0.7902665
E7860,0.9669753
E5139,0.8492452
E4304,0.8820434
E9047,0.66232127
E4737,0.7706049
E3840,0.9500984
E2455,0.50981605
E8767,0.71199536
E7242,0.89846784
E1715,0.9130885
E3689,0.9493622
E2885,0.9052474
E4522,0.9179537
E657,0.9819948
E3497,0.89073366
E864,0.88807726
E8007,0.9298215
E3327,0.79512674
E1823,0.6284669
E3682,0.8464673
E5514,0.9095994
E8903,0.69415677
E3685,0.82483107
E6047,0.6707425
E2605,0.8957314
E6839,0.88053226
E1487,0.8035177
E5725,0.6702943
E655,0.9667955
E7590,0.75225735
E124,0.96231204
E4788,0.9604406
E2448,0.7664424
E3313,0.9613075
E6306,0.99336445
E7027,0.5382223
E3684,0.93089414
E3835,0.6718192
E1346,0.7274824
E961,0.9521699
E7255,0.89813155
E4814,0.97136825
E8479,0.9062922
E6676,0.75875545
E2707,0.88936096
E3193,0.896132
E5285,0.8524371
E3804,0.8761611
E8347,0.9796296
E5305,0.97693
E6401,0.8212876
E8648,0.8280212
E892,0.85937864
E76,0.74937856
E3874,0.87343603
E742,0.91272616
E8402,0.7206754
E3614,0.8893881
E9360,0.92076373
E496,0.9109334
E1680,0.7378339
E206,0.9771467
E7507,0.96024215
E8972,0.7389024
E7371,0.89480424
E8364,0.8924661
E8817,0.7583944
E396,0.5549974
E821,0.85731333
E3679,0.8899734
E6160,0.91744673
E6822,0.895738
E6689,0.5780935
E5142,0.6642384
E3070,0.89849305
E4713,0.7796696
E6288,0.93800396
E8138,0.6876582
E6187,0.97631925
E5157,0.9087526
E5752,0.92950016
E6317,0.84152186
E7647,0.7536818
E123,0.9072432
E6781,0.76442003
E1861,0.9273462
E3098,0.7584774
E424,0.8071708
E2428,0.656019
E852,0.9443282
E1220,0.9658865
E3204,0.9551086
E6916,0.9497858
E900,0.88602126
E4840,0.946505
E2640,0.9896863
E5288,0.98141474
E5823,0.7927175
E7108,0.9739128
E7054,0.95098937
E504,0.91933244
E8610,0.9532258
E1874,0.9449972
E1282,0.9136379
E6677,0.81401473
E1611,0.78626245
E2429,0.8462745
E4645,0.9710072
E1527,0.73668313
E5425,0.9244293
E7299,0.90566814
E4600,0.81973827
E7362,0.64169616
E1307,0.9122738
E4921,0.855135
E6489,0.870029
E8187,0.91729724
E549,0.87036544
E6176,0.87190413
E4123,0.94596994
E5132,0.9085473
E2846,0.98871803
E528,0.7345208
E6825,0.92464596
E4145,0.7329615
E8475,0.8645256
E5866,0.91046417
E2042,0.97473425
E638,0.6369135
E5779,0.85807997
E3107,0.8345401
E6427,0.91472906
E967,0.78085446
E6959,0.9104799
E1432,0.96231204
E4403,0.9082463
E1941,0.9377237
E2763,0.96664554
E2356,0.95514446
E8096,0.8585205
E6210,0.94819456
