id,prob
E370,0.4927191
E667,0.9582692
E3190,0.87462145
E848,0.74196506
E2161,0.7814819
E1391,0.80256397
E1084,0.98846984
E1801,0.76134264
E2730,0.8624132
E828,0.43684325
E1795,0.35705236
E1880,0.9363712
E1948,0.6660289
E1545,0.82348746
E2904,0.7159418
E2835,0.8069349
E2349,0.4155065
E2046,0.89493567
E1229,0.5410846
E2845,0.5060503
E2125,0.9993399
E3127,0.9965575
E1721,0.87531066
E1253,0.34456417
E3050,0.3776988
E212,0.60650957
E3193,0.837644
E1195,0.45691517
E699,0.9944074
E2930,0.8738908
E963,0.43632305
E2848,0.996869
E2261,0.9142632
E2091,0.99432003
E3113,0.98226535
E2717,0.75700384
E1775,0.7156662
E1922,0.7934274
E2239,0.9955575
E1074,0.28848138
E552,0.79518855
E1657,0.69317544
E943,0.76989466
E1139,0.54281294
E2663,0.41888607
E2992,0.35042864
E3111,0.77456677
E1885,0.48630244
E2428,0.98681355
E1627,0.5651937
E2575,0.83098215
E824,0.7055563
E660,0.4716431
E1706,0.5311288
E863,0.90390974
E1289,0.33355242
E389,0.9920476
E802,0.4196603
E520,0.8863804
E1829,0.9591329
E2307,0.89733493
E566,0.62252915
E451,0.45261407
E353,0.2092165
E201,0.72768855
E1736,0.8698453
E2320,0.6367437
E207,0.97851086
E1971,0.44707817
E312,0.65867066
E1968,0.45773613
E1170,0.8583637
E625,0.78230286
E3170,0.51634216
E3087,0.9125517
E2913,0.5644522
E2006,0.99304974
E133,0.92024463
E646,0.8631773
E17,0.9656641
E1474,0.75086576
E1846,0.21553352
E1689,0.875318
E1990,0.99264705
E374,0.92105633
E1027,0.74750453
E1428,0.94197714
E488,0.3520752
E1056,0.8999562
E1303,0.8620262
E1740,0.9842779
E2264,0.8523775
E1758,0.8385001
E8,0.48501152
E2298,0.3598877
E1731,0.35681474
E1475,0.9982315
E2510,0.40514603
E1857,0.5183629
E834,0.56878614
E1380,0.96189195
E1588,0.72165114
E2759,0.79292744
E214,0.9643791
E2591,0.7955706
E2771,0.8887546
E493,0.74978566
E1977,0.930388
E2355,0.88535887
E2498,0.99810094
E2107,0.59539044
E2043,0.46950594
