id,prob
E370,0.5396245
E667,0.9558398
E3190,0.8734975
E848,0.7593706
E2161,0.77143973
E1391,0.8267078
E1084,0.8341079
E1801,0.48565802
E2730,0.879779
E828,0.5355706
E1795,0.46135575
E1880,0.94630086
E1948,0.70430416
E1545,0.84335357
E2904,0.6232526
E2835,0.8278409
E2349,0.44498822
E2046,0.8918558
E1229,0.41341949
E2845,0.5175529
E2125,0.9983524
E3127,0.9478957
E1721,0.8934538
E1253,0.39344323
E3050,0.41346264
E212,0.73110163
E3193,0.8519775
E1195,0.45959455
E699,0.97019863
E2930,0.9137005
E963,0.40363535
E2848,0.98251855
E2261,0.867039
E2091,0.95125693
E3113,0.97203255
E2717,0.7181518
E1775,0.74537563
E1922,0.8098142
E2239,0.9869903
E1074,0.3558341
E552,0.80255467
E1657,0.7272907
E943,0.68568456
E1139,0.31735334
E2663,0.48549634
E2992,0.39660016
E3111,0.77179205
E1885,0.50156915
E2428,0.98782015
E1627,0.51816523
E2575,0.73517627
E824,0.59957737
E660,0.38975418
E1706,0.5089427
E863,0.86968684
E1289,0.4233094
E389,0.899704
E802,0.38106203
E520,0.45631474
E1829,0.9890493
E2307,0.92602634
E566,0.3912803
E451,0.4102272
E353,0.38465393
E201,0.7063637
E1736,0.88496464
E2320,0.5448503
E207,0.9772727
E1971,0.4233198
E312,0.5283395
E1968,0.4942841
E1170,0.8382029
E625,0.8557106
E3170,0.4844286
E3087,0.9475114
E2913,0.51852953
E2006,0.97745365
E133,0.9218831
E646,0.86933076
E17,0.94047976
E1474,0.7844069
E1846,0.31079635
E1689,0.7097581
E1990,0.9501676
E374,0.961179
E1027,0.6635088
E1428,0.94595534
E488,0.45230418
E1056,0.81415516
E1303,0.8207943
E1740,0.9230978
E2264,0.8817423
E1758,0.81413186
E8,0.45197698
E2298,0.48008665
E1731,0.32087526
E1475,0.9943709
E2510,0.44743127
E1857,0.49099568
E834,0.56065845
E1380,0.840887
E1588,0.8197285
E2759,0.78977555
E214,0.8580246
E2591,0.58211327
E2771,0.8398611
E493,0.71539515
E1977,0.9387103
E2355,0.870245
E2498,0.990659
E2107,0.40711516
E2043,0.42573926
E2560,0.624634
E1176,0.9649321
E1456,0.90227157
E228,0.67543656
E622,0.95116216
E393,0.38922134
E731,0.84560823
E1336,0.4322201
E2187,0.4042643
E177,0.73551625
E1541,0.43333915
E562,0.48372066
E1720,0.42111206
E2060,0.41346675
E225,0.6775203
E2114,0.99035597
E1310,0.36439362
E2785,0.7344235
E3152,0.9306743
E1983,0.44740885
E445,0.8316985
E850,0.5773639
E2740,0.9544505
E1159,0.98300004
E1505,0.6784568
E50,0.6155031
E1078,0.42405862
E2549,0.9271692
E1187,0.47181255
E1844,0.5016257
E558,0.8752428
E2741,0.98408914
E1334,0.39045125
E3206,0.33006015
E1262,0.7369561
E3178,0.75698644
E2728,0.9025889
E2870,0.24210131
E2970,0.97367305
E3022,0.9916728
E2503,0.61961097
E1228,0.42082947
E3169,0.41895086
E2799,0.8837738
E1114,0.4685884
E273,0.8674064
E688,0.41347063
E707,0.72693735
E3039,0.7970082
E292,0.96231204
E975,0.55189854
E1476,0.3976615
E2247,0.73222923
E691,0.8156039
E920,0.52738047
E1681,0.3422448
E475,0.47314408
E2699,0.29867548
