id,prob
E3064,0.8966703
E298,0.8831206
E3512,0.9756664
E5670,0.9991647
E5005,0.5028837
E1537,0.406106
E4070,0.62369025
E9296,0.4090205
E6748,0.91824675
E8060,0.5216224
E3969,0.91503507
E1796,0.80265003
E3195,0.5932812
E8042,0.84953606
E5983,0.7004367
E7860,0.7921774
E5139,0.31040972
E4304,0.83891636
E9047,0.42651594
E4737,0.55841535
E3840,0.7548613
E2455,0.73886216
E8767,0.44079623
E7242,0.27121803
E1715,0.43392155
E3689,0.8852787
E2885,0.45839682
E4522,0.41681132
E657,0.9551604
E3497,0.40356466
E864,0.44356242
E8007,0.90609485
E3327,0.4408572
E1823,0.7612206
E3682,0.5320252
E5514,0.47489285
E8903,0.3471818
E3685,0.491232
E6047,0.40829593
E2605,0.58097166
E6839,0.5406758
E1487,0.49989083
E5725,0.44218963
E655,0.8811739
E7590,0.35429353
E124,0.90914416
E4788,0.8964361
E2448,0.5601334
E3313,0.9485449
E6306,0.97239536
E7027,0.7263009
E3684,0.4396588
E3835,0.7839482
E1346,0.9057443
E961,0.9122886
E7255,0.831665
E4814,0.8142152
E8479,0.7422816
E6676,0.90370876
E2707,0.82993066
E3193,0.3264411
E5285,0.6316491
E3804,0.49614626
E8347,0.90083784
E5305,0.8841071
E6401,0.48017943
E8648,0.5134838
E892,0.33657515
E76,0.46974498
E3874,0.48794994
E742,0.41073433
E8402,0.4079131
E3614,0.5879719
E9360,0.8400399
E496,0.6502433
E1680,0.5083847
E206,0.92263395
E7507,0.87195724
E8972,0.77039725
E7371,0.62564737
E8364,0.9204721
E8817,0.47085798
E396,0.585827
E821,0.8520592
E3679,0.64354753
E6160,0.453427
E6822,0.4969015
E6689,0.6640017
E5142,0.6758547
E3070,0.5154768
E4713,0.96608067
E6288,0.73512805
E8138,0.8983909
E6187,0.9052423
E5157,0.49362734
E5752,0.66119474
E6317,0.800592
E7647,0.37089664
E123,0.5485393
E6781,0.45640218
E1861,0.72663444
E3098,0.50533426
E424,0.9689033
E2428,0.4785643
E852,0.6908027
E1220,0.87968886
E3204,0.90556127
E6916,0.8023478
E900,0.44542032
E4840,0.99639904
E2640,0.8776371
E5288,0.9745564
E5823,0.9497119
E7108,0.6709183
E7054,0.75923055
E504,0.45170975
E8610,0.96782583
E1874,0.707373
E1282,0.6624689
E6677,0.9434209
E1611,0.90912235
E2429,0.4058145
E4645,0.93424225
E1527,0.65589446
E5425,0.43291193
E7299,0.50670534
E4600,0.85892564
E7362,0.4851168
E1307,0.43110672
E4921,0.4742514
E6489,0.46902418
E8187,0.9576285
E549,0.8339777
E6176,0.46685216
E4123,0.8416264
E5132,0.4686968
E2846,0.94158286
E528,0.72025174
E6825,0.8235097
E4145,0.9135157
E8475,0.99688125
E5866,0.59081113
E2042,0.92547977
E638,0.90161765
E5779,0.43132925
E3107,0.42514843
E6427,0.37977216
E967,0.9087238
E6959,0.42438436
E1432,0.9551086
E4403,0.41818798
E1941,0.8765478
E2763,0.7710655
E2356,0.70704603
E8096,0.47941884
E6210,0.8403228
E2325,0.45144138
E9421,0.7998018
E7057,0.6852537
E3419,0.65750885
E6209,0.75391513
E6739,0.95974576
E2807,0.49041653
E2407,0.33710057
E2291,0.9059265
E7990,0.9475586
E5136,0.93374664
E2221,0.63222677
E6944,0.52426606
E1656,0.95873356
E456,0.60488516
E5054,0.6138166
E7798,0.9097477
E6423,0.99131095
E8301,0.3545394
E4347,0.44091892
E4058,0.7944124
E6458,0.941678
E3886,0.8504529
E2147,0.84722346
E3299,0.86740804
E6073,0.67464525
E8963,0.8325493
E2446,0.9643577
E399,0.82998866
E8815,0.83795565
E5381,0.86103475
E1297,0.94513094
E3518,0.42012665
E960,0.5850605
E8679,0.38360122
E2030,0.8693808
E8507,0.5780318
E3812,0.4262778
E5105,0.45903432
E8651,0.8706367
E2998,0.5295452
E1646,0.46634752
E1640,0.9659995
E7113,0.9460399
E3723,0.5395103
E1202,0.52603596
E4876,0.46890855
E4295,0.8578935
E7997,0.96258086
E6418,0.47309414
E4422,0.82714283
E5745,0.91521746
E5556,0.49422747
E5279,0.5652005
E8433,0.6647686
E7736,0.5344216
E3814,0.93548334
E5616,0.93546623
E971,0.6178187
E4351,0.46642122
E4246,0.52222365
E4187,0.3495105
E5606,0.9586333
E3983,0.5244536
E1206,0.32227406
E7341,0.37441656
E887,0.89769876
E4817,0.3984444
E8607,0.75298154
E9392,0.8729746
E4068,0.39819536
E7868,0.5165419
E2267,0.9121485
E47,0.94415784
E7678,0.96231204
E4150,0.640436
E1927,0.99939835
E8176,0.8330176
E6182,0.9649405
E5316,0.9644793
E8563,0.504371
E3754,0.90732175
E4556,0.8255365
E6645,0.8530946
E7387,0.46850744
E2855,0.51493883
E6120,0.6241162
E8225,0.73241156
E9093,0.6929573
E3441,0.70542645
E3905,0.49073142
E3240,0.37136316
E8580,0.4220561
E6100,0.49757347
E4855,0.9188063
E1456,0.40912208
E3407,0.80296785
E8196,0.9462941
E6814,0.49311104
E2345,0.5762036
