id,prob
E10559,0.5290196
E4849,0.57709634
E3964,0.8253076
E542,0.5421153
E331,0.7893762
E10471,0.9656511
E9186,0.71369624
E5576,0.3731699
E9705,0.660906
E7309,0.9352639
E476,0.797182
E5217,0.37569132
E7653,0.5103488
E1530,0.44182724
E10379,0.7884652
E1516,0.7784659
E9418,0.78333104
E9388,0.44229147
E10737,0.82666224
E5290,0.88761437
E6010,0.49545044
E4307,0.4605522
E4548,0.3884941
E3030,0.23338218
E68,0.83471966
E5739,0.855694
E2394,0.5640401
E3629,0.7697708
E8652,0.9980558
E5779,0.4649119
E10269,0.95248646
E7456,0.46609262
E9199,0.4026815
E1606,0.87105364
E9077,0.7804994
E9576,0.42569846
E2810,0.85814846
E1091,0.9966478
E2755,0.40849444
E1405,0.4430608
E2213,0.49153775
E1321,0.49460992
E10797,0.614497
E7340,0.4836748
E9659,0.89812917
E1678,0.8357435
E9591,0.56769454
E6377,0.9217735
E10130,0.7607598
E5582,0.5087552
E9510,0.32750353
E4237,0.50446314
E10470,0.8278405
E7528,0.8973751
E2567,0.6116364
E6083,0.3398388
E6735,0.89591837
E6800,0.7592169
E2293,0.41701147
E1633,0.4191231
E10659,0.9128059
E543,0.43124554
E7177,0.4469342
E4126,0.44484654
E2850,0.42973414
E2078,0.4733357
E5746,0.5682439
E2445,0.9177081
E2958,0.63317925
E3497,0.81862736
E5069,0.95458376
E8995,0.591512
E8220,0.99838626
E4354,0.9022043
E7578,0.43046826
E2122,0.8433107
E6661,0.46869346
E2582,0.6109002
E1836,0.57855797
E7881,0.90379834
E6685,0.5678382
E113,0.41715696
E1161,0.5420898
E8062,0.45785508
E5637,0.40991917
E4470,0.8715108
E6905,0.81089514
E7553,0.43836597
E7773,0.5847532
E1991,0.90430677
E3997,0.828563
E5326,0.5371441
E3076,0.9052132
E2018,0.4583568
E594,0.32315913
E2971,0.49737504
E6692,0.79723203
E3383,0.922081
E8755,0.6323517
E1494,0.74634707
E7725,0.4962991
E8265,0.4685273
E8021,0.61025774
E7110,0.9098584
E8495,0.99948394
E6551,0.4543096
E10716,0.5056675
E9434,0.3683256
E2128,0.9478121
E8123,0.46966982
E1658,0.97120595
E7504,0.39472407
E8552,0.41594478
E798,0.8368142
E5976,0.6109543
E6501,0.4260608
E8648,0.64788944
E7213,0.67592883
E6667,0.3905388
E6701,0.28835958
E4011,0.86083907
E6880,0.42003188
E2679,0.57911193
E10280,0.41524085
E6213,0.96830475
E7717,0.67622423
E5342,0.5645097
E3783,0.98681486
E4763,0.41301352
E8563,0.58523154
E8256,0.64252436
E7562,0.44088936
E8807,0.9666281
E1160,0.7987461
E6757,0.79301035
E4130,0.50556964
E10778,0.45506805
E6789,0.529614
E1448,0.6321945
E1869,0.74476284
E10537,0.53137726
E8348,0.42795742
E5158,0.47635442
E5939,0.7876668
E10623,0.44926298
E4941,0.6367481
E9068,0.4217709
E9894,0.7975225
E1121,0.9684932
E5634,0.929645
E3890,0.76999366
E10467,0.5820071
E3728,0.8322174
E3943,0.69976795
E6303,0.45456797
E9052,0.6973882
E533,0.89529455
E132,0.4889917
E1580,0.6535299
E4034,0.47542685
E9422,0.6235741
E2575,0.86975294
E1043,0.5771962
E8480,0.4945831
E10111,0.43169498
E330,0.40187728
E7838,0.702216
E9529,0.57474
E5397,0.4592427
E6862,0.7366568
E3740,0.87116146
E118,0.44538474
E8133,0.3488806
E8441,0.65673286
E4814,0.54291576
E5592,0.65076506
E4117,0.7981625
E7793,0.7970084
E2368,0.43210015
E9954,0.47650447
E10307,0.7941079
E7729,0.95129764
E1123,0.72938335
E5155,0.8049807
E5224,0.5658566
E2789,0.7853203
E8483,0.4104846
E10552,0.46121997
E8884,0.8495173
E10377,0.44326553
E10193,0.5958506
E5811,0.42007437
E8541,0.8027346
E486,0.86836094
E8888,0.90864307
E6532,0.98381066
E4165,0.92601484
E3160,0.8542882
E982,0.65567595
E5505,0.6639106
E741,0.4815854
E8115,0.8925898
E7410,0.30227184
E687,0.31774735
E10385,0.5554667
E3446,0.43102825
E1295,0.9188518
E10695,0.5413143
E4417,0.35159418
E5099,0.8219184
E8638,0.42218813
E8886,0.63694763
E398,0.7863893
E7150,0.6421478
E7724,0.64285064
E2655,0.6536019
E9266,0.8679925
E7954,0.42241177
E3814,0.9468096
E2045,0.43069887
E1948,0.79077905
E637,0.5974688
E4060,0.5895605
E2249,0.98138005
E4486,0.4732053
E7770,0.8563093
E6717,0.4671479
E10268,0.31611803
E2382,0.48176137
E4614,0.688125
E4396,0.7138761
E9562,0.793712
E7088,0.85315657
E1890,0.95188767
E1764,0.6409232
E9819,0.86053324
E4640,0.8890976
E8385,0.7838562
E2514,0.6382132
E8377,0.44983077
E3496,0.8358919
E1432,0.4379906
E8278,0.44985017
E8219,0.5080947
E380,0.8513536
E416,0.45537695
E7152,0.6699066
E1463,0.75287306
E7247,0.7841956
E3418,0.9010513
E8092,0.76194394
E4181,0.39138013
E10669,0.565437
E6786,0.99449486
E3287,0.53396744
E8885,0.48960128
E7338,0.28283164
E4890,0.86325675
E8264,0.5349147
E5638,0.46019307
E5846,0.492687
E1646,0.37466195
E8763,0.9507285
E3816,0.91241086
E6732,0.9071869
E1303,0.93252677
E9350,0.42794475
E10419,0.88383764
E4563,0.43785205
E647,0.8319473
E344,0.35756543
E9536,0.8026712
E2617,0.7976425
E10825,0.23365696
E1078,0.8588144
E6851,0.78215605
E8879,0.46028703
E6705,0.40352955
E4207,0.6563173
E4483,0.38804954
E9584,0.339027
E9846,0.74163306
E9459,0.82939845
E1668,0.64422053
E4090,0.3988613
E6989,0.72652763
E564,0.40589517
E9169,0.4604738
E5313,0.5753308
E2354,0.6732031
E5456,0.46119422
E3361,0.41747695
E9856,0.75813305
E6670,0.5103604
E4170,0.80069387
E7122,0.913766
E3031,0.44706005
E6175,0.87994677
E4828,0.73507893
E817,0.8852441
E7319,0.94595855
E9935,0.80843216
E4198,0.45218968
E5379,0.38284826
E9930,0.49904862
E3910,0.4386303
E9816,0.4455548
E6957,0.5052308
E10243,0.57401633
E4518,0.53706676
E9633,0.85675615
E3538,0.9297462
E2286,0.49976063
E402,0.82411724
E5129,0.7857527
E4101,0.45058638
E3255,0.89298564
E5177,0.76516396
E10847,0.93645245
E2008,0.8962839
E3681,0.84372497
E3359,0.8873315
E3636,0.7492454
E2480,0.6478407
E8321,0.42314976
E1642,0.4238672
E8054,0.3714395
E5026,0.8910863
E1942,0.9020185
E9332,0.77088976
E5820,0.94644874
E112,0.9873432
E7151,0.72439593
E7897,0.583799
E4685,0.7877906
E7427,0.7873678
E5077,0.5112983
E9841,0.48432192
E5903,0.54611135
E6297,0.8618463
E8018,0.858164
E5032,0.637724
E9927,0.5121726
E5135,0.56848806
E7852,0.60123986
E231,0.31577873
E3393,0.94023526
E3017,0.89349234
E9673,0.6110134
E1172,0.82628
E6126,0.8976245
E1470,0.8824297
E8896,0.7212501
E3161,0.5529087
E3472,0.77165514
E2167,0.6520056
E2636,0.27992907
E8149,0.7097159
E9090,0.7747634
E6847,0.90253425
E2786,0.9336315
E9972,0.92667204
E10107,0.75144374
E3113,0.4876974
E6044,0.7094282
