id,prob
E3064,0.89076054
E298,0.88602
E3512,0.98289895
E5670,0.99871707
E5005,0.4636269
E1537,0.3584174
E4070,0.6172318
E9296,0.45627955
E6748,0.9039931
E8060,0.4962355
E3969,0.9146798
E1796,0.7394413
E3195,0.60504955
E8042,0.8851321
E5983,0.7834928
E7860,0.8669464
E5139,0.38781768
E4304,0.8386189
E9047,0.50050193
E4737,0.4748348
E3840,0.7151113
E2455,0.608317
E8767,0.4539437
E7242,0.27417332
E1715,0.4491808
E3689,0.8899124
E2885,0.43678367
E4522,0.46342716
E657,0.9654006
E3497,0.46965334
E864,0.3859846
E8007,0.94528157
E3327,0.4858036
E1823,0.757247
E3682,0.4508806
E5514,0.4009223
E8903,0.38697597
E3685,0.5172516
E6047,0.402631
E2605,0.52670395
E6839,0.5447951
E1487,0.5240938
E5725,0.48968503
E655,0.86213994
E7590,0.39901358
E124,0.909952
E4788,0.909492
E2448,0.4657186
E3313,0.93773127
E6306,0.97163814
E7027,0.6747227
E3684,0.47479266
E3835,0.7679987
E1346,0.9437979
E961,0.90858763
E7255,0.8398128
E4814,0.83607084
E8479,0.72815794
E6676,0.8556948
E2707,0.8508182
E3193,0.3392611
E5285,0.6012309
E3804,0.48661545
E8347,0.9114963
E5305,0.8785128
E6401,0.46674332
E8648,0.57341117
E892,0.40052605
E76,0.4771425
E3874,0.4957373
E742,0.38646683
E8402,0.46200922
E3614,0.5128214
E9360,0.81816417
E496,0.473333
E1680,0.5231565
E206,0.91970485
E7507,0.89885247
E8972,0.86485887
E7371,0.62793875
E8364,0.8978338
E8817,0.5940133
E396,0.68066067
E821,0.8699669
E3679,0.6223158
E6160,0.39703712
E6822,0.5032121
E6689,0.64185303
E5142,0.6372883
E3070,0.46445894
E4713,0.9789726
E6288,0.6728457
E8138,0.87877494
E6187,0.8938526
E5157,0.45157027
E5752,0.69705695
E6317,0.7966289
E7647,0.36537927
E123,0.4677079
E6781,0.44256228
E1861,0.60233104
E3098,0.49454343
E424,0.9782783
E2428,0.48431596
E852,0.69216913
E1220,0.9036639
E3204,0.915293
E6916,0.8108384
E900,0.47719702
E4840,0.99587965
E2640,0.8860361
E5288,0.973578
E5823,0.9435214
E7108,0.8880522
E7054,0.77242714
E504,0.4270513
E8610,0.9583384
E1874,0.7280277
E1282,0.7415921
E6677,0.9458479
E1611,0.8776016
E2429,0.41035905
E4645,0.9055697
E1527,0.6183192
E5425,0.54926556
E7299,0.58750534
E4600,0.8264956
E7362,0.47295293
E1307,0.42687175
E4921,0.41143677
E6489,0.41228533
E8187,0.9590548
E549,0.8746863
E6176,0.45908326
E4123,0.86173874
E5132,0.49484146
E2846,0.9306605
E528,0.6399851
E6825,0.8092638
E4145,0.9148194
E8475,0.9982309
E5866,0.5988562
E2042,0.9430272
E638,0.89993274
E5779,0.5131824
E3107,0.43034226
E6427,0.4416313
E967,0.9332934
E6959,0.45646352
E1432,0.90420973
E4403,0.4418507
E1941,0.84940684
E2763,0.7625024
E2356,0.7244798
E8096,0.5344274
E6210,0.82256925
E2325,0.4897927
E9421,0.7453402
E7057,0.57605076
E3419,0.6160447
E6209,0.80169916
E6739,0.963803
E2807,0.33070502
E2407,0.3155089
E2291,0.9123078
E7990,0.8705763
E5136,0.9236554
E2221,0.65018463
E6944,0.4832829
E1656,0.9477735
E456,0.5148742
E5054,0.5311016
E7798,0.9431063
E6423,0.984272
E8301,0.40893692
E4347,0.44466892
E4058,0.82776916
E6458,0.92317444
E3886,0.83302927
E2147,0.89052033
E3299,0.8760284
E6073,0.5916299
E8963,0.89456403
E2446,0.9631852
E399,0.8762845
E8815,0.8166956
E5381,0.8819445
E1297,0.9481473
E3518,0.48790056
E960,0.5584228
E8679,0.3880177
E2030,0.8657086
E8507,0.6082435
E3812,0.5082554
E5105,0.46470174
E8651,0.8783778
E2998,0.50362706
E1646,0.47327164
E1640,0.9681844
E7113,0.9228168
E3723,0.50839925
E1202,0.46769035
E4876,0.36558223
E4295,0.8794176
E7997,0.95857227
E6418,0.49550545
E4422,0.816468
E5745,0.8298392
E5556,0.45068708
E5279,0.6266638
E8433,0.59316474
E7736,0.61890274
E3814,0.9316442
E5616,0.96285737
E971,0.6691798
E4351,0.47650048
E4246,0.46659088
E4187,0.3353432
E5606,0.9756221
E3983,0.44906256
E1206,0.38103035
E7341,0.4002549
E887,0.90362567
E4817,0.39027876
E8607,0.88737386
E9392,0.8166227
E4068,0.41796732
E7868,0.6359372
E2267,0.925738
E47,0.93518305
E7678,0.96231204
E4150,0.5833053
E1927,0.999276
E8176,0.80819154
E6182,0.95603067
E5316,0.96363974
E8563,0.43214685
E3754,0.92271703
E4556,0.77107656
E6645,0.83244133
E7387,0.46500415
E2855,0.5154124
E6120,0.60567427
E8225,0.9123319
E9093,0.5986758
E3441,0.9282653
E3905,0.5160657
E3240,0.45140135
E8580,0.42530298
E6100,0.51639384
E4855,0.91896486
E1456,0.47446147
E3407,0.8337717
E8196,0.93877697
E6814,0.47751737
E2345,0.62265867
E5582,0.3920849
E5784,0.56371266
E7156,0.46012497
E4095,0.537931
E3876,0.9715334
E4016,0.587769
E6884,0.888829
E7381,0.42770845
E4927,0.87677574
E4531,0.46181667
E7881,0.94713706
E1797,0.4666696
E8728,0.57752126
E4604,0.9303236
E2436,0.74209523
E639,0.97355056
E8889,0.9449947
E4941,0.4410637
E2869,0.9946508
E2400,0.86016077
E5820,0.9058774
E1848,0.55783767
E3919,0.5199186
E1792,0.9556158
E7121,0.79552966
E2563,0.88679695
E2818,0.6538198
E975,0.7328897
E6451,0.6009502
E2955,0.566449
E5467,0.56715244
E5248,0.54798466
E4475,0.48127693
E8961,0.5153024
E1326,0.6774159
E6255,0.9363042
E5842,0.6469551
E7751,0.9386772
E3076,0.7900519
E8318,0.4501394
E8737,0.531849
E7246,0.36380118
E5128,0.9417405
E706,0.9059415
E3047,0.90939593
E5017,0.9291063
E5314,0.98746824
E1625,0.52721894
E4185,0.46532884
E9351,0.46418047
E5236,0.96231216
E5301,0.39864248
E3537,0.55730927
E2260,0.94680715
E1001,0.8868249
E9235,0.44868118
E5837,0.91324556
E6561,0.39835426
E4030,0.9230731
E219,0.9518213
E2574,0.96231204
E6654,0.9217086
E5886,0.4423206
E7240,0.84000355
E5718,0.9486415
E216,0.5362359
E4300,0.54775494
E1082,0.8824619
E6599,0.41995853
E186,0.51464164
E839,0.9372021
E2961,0.44916695
E8238,0.43645552
E1313,0.5668373
E7700,0.6474746
E5567,0.93745804
E1167,0.6102755
E4245,0.445649
E6208,0.5283007
E1110,0.86593825
E7771,0.42783335
E6094,0.8143604
E5115,0.37755725
E7504,0.89883995
E8348,0.9674269
E1820,0.6751321
E5336,0.79958713
E7213,0.46281147
E8806,0.81647396
E8017,0.6380172
E4823,0.96481055
E4144,0.94156724
E2536,0.813552
E8262,0.9751737
E5900,0.8750678
E7120,0.4288591
E6771,0.4544338
E3711,0.6237856
E2025,0.38367093
E367,0.93886423
E8224,0.8353945
E1532,0.5591041
E2570,0.46672457
E8501,0.37189785
E1174,0.7306843
E8407,0.9152859
E3051,0.96829885
E1836,0.4596341
E5493,0.42625824
E8098,0.47940624
E7023,0.4791675
E9026,0.41598722
E1460,0.9272457
E443,0.7345925
E5714,0.8922094
E8170,0.87373644
E3578,0.6007281
E2520,0.61651146
E5825,0.8799419
E8801,0.952912
E1113,0.58346784
E436,0.5621552
E983,0.7097278
E4653,0.52099174
E7827,0.68232244
E2840,0.42044064
E8241,0.52931416
E7319,0.9097568
E3555,0.94816744
E906,0.89951336
E6316,0.710804
E307,0.36941612
E5029,0.48312747
E6590,0.5875346
E2752,0.7119233
E1871,0.37413245
E459,0.996269
E6042,0.909263
E6355,0.36263955
E473,0.4573934
E6413,0.5121353
E4664,0.4006911
E4972,0.9194092
E5273,0.93386316
E1150,0.7960299
E8967,0.94672066
E4349,0.7759844
E927,0.9518103
E2604,0.9490671
E8428,0.45287347
E5610,0.8738002
E139,0.58811724
E4797,0.38611692
E264,0.9013706
E5595,0.5050253
E5707,0.90818846
E7563,0.9353352
E1633,0.5258115
E2182,0.8475808
E4765,0.69050163
E4523,0.7596984
E5264,0.4011873
E7204,0.536294
E4779,0.9173849
E4079,0.9219309
E3406,0.792001
E6632,0.7715805
E2268,0.49313512
E1112,0.504019
E6344,0.9460673
E1161,0.6054579
E7218,0.91146034
E7918,0.39034137
E7169,0.9096628
E45,0.80912924
E4813,0.93268585
E4731,0.72816044
E813,0.46821713
E8233,0.59814054
E3864,0.8378032
E5511,0.6028281
E6205,0.51346886
E5217,0.8533125
E7834,0.8078044
E7897,0.90829563
E113,0.45285982
E962,0.43756327
E9153,0.73133314
E3587,0.63703257
E1156,0.67247
E3180,0.9975534
E8712,0.41715991
E4319,0.5818204
E5088,0.91430473
E331,0.7296429
E8040,0.67976195
E363,0.49201572
E8051,0.4919543
E4098,0.6252594
E6535,0.48007846
E7594,0.43599427
E5228,0.7644102
E1281,0.99127454
E5441,0.57097286
E2705,0.81810236
