id,prob
E10559,0.54334444
E4849,0.6692225
E3964,0.833534
E542,0.57723904
E331,0.81290317
E10471,0.770335
E9186,0.4509372
E5576,0.43190828
E9705,0.706845
E7309,0.94821876
E476,0.82950145
E5217,0.4398187
E7653,0.5781715
E1530,0.66432804
E10379,0.8280636
E1516,0.70096195
E9418,0.8829413
E9388,0.3258621
E10737,0.79725635
E5290,0.8492133
E6010,0.47780716
E4307,0.5318734
E4548,0.32878202
E3030,0.55150235
E68,0.85872185
E5739,0.8874194
E2394,0.68994135
E3629,0.7480718
E8652,0.90858775
E5779,0.5914143
E10269,0.89434034
E7456,0.63435197
E9199,0.5449252
E1606,0.8689828
E9077,0.90248793
E9576,0.38326856
E2810,0.92179406
E1091,0.9561672
E2755,0.4990454
E1405,0.35099223
E2213,0.48976552
E1321,0.43719575
E10797,0.49645042
E7340,0.64839053
E9659,0.8782091
E1678,0.92441475
E9591,0.25173518
E6377,0.9557331
E10130,0.85895926
E5582,0.44359544
E9510,0.20663217
E4237,0.4713448
E10470,0.6935982
E7528,0.7948059
E2567,0.7816689
E6083,0.2661908
E6735,0.87623703
E6800,0.85047454
E2293,0.4032361
E1633,0.659998
E10659,0.9557125
E543,0.35061058
E7177,0.5921657
E4126,0.45856002
E2850,0.53164124
E2078,0.39028886
E5746,0.92482615
E2445,0.867828
E2958,0.570612
E3497,0.9369671
E5069,0.8889168
E8995,0.72218895
E8220,0.8178621
E4354,0.81198776
E7578,0.36472148
E2122,0.8317361
E6661,0.55705583
E2582,0.5186542
E1836,0.4925863
E7881,0.72535473
E6685,0.59282273
E113,0.50757825
E1161,0.40655914
E8062,0.43561915
E5637,0.27760926
E4470,0.9127038
E6905,0.5611286
E7553,0.5928249
E7773,0.28516492
E1991,0.88992625
E3997,0.8341822
E5326,0.6070995
E3076,0.73820955
E2018,0.5547017
E594,0.5006719
E2971,0.20231968
E6692,0.89339525
E3383,0.9202206
E8755,0.77651703
E1494,0.9114137
E7725,0.5001241
E8265,0.65283424
E8021,0.49643824
E7110,0.6417369
E8495,0.96274996
E6551,0.38798198
E10716,0.32710004
E9434,0.3301753
E2128,0.8513248
E8123,0.4688235
E1658,0.93932194
E7504,0.38928407
E8552,0.37652844
E798,0.89655125
