id,prob
E3064,0.88115674
E298,0.83969915
E3512,0.98125654
E5670,0.99962866
E5005,0.32524046
E1537,0.29292002
E4070,0.51710254
E9296,0.4489168
E6748,0.9273817
E8060,0.61281335
E3969,0.83691925
E1796,0.8155263
E3195,0.55197376
E8042,0.8495137
E5983,0.8519607
E7860,0.680394
E5139,0.7815537
E4304,0.8244429
E9047,0.42715386
E4737,0.4161359
E3840,0.680118
E2455,0.92337906
E8767,0.4583174
E7242,0.2971629
E1715,0.40023276
E3689,0.9107711
E2885,0.4717567
E4522,0.6637001
E657,0.94401884
E3497,0.604526
E864,0.699163
E8007,0.9226913
E3327,0.26805535
E1823,0.81807745
E3682,0.43605444
E5514,0.48081434
E8903,0.49476063
E3685,0.39371684
E6047,0.1264985
E2605,0.657518
E6839,0.68432134
E1487,0.5060901
E5725,0.25078574
E655,0.876498
E7590,0.42420876
E124,0.9012435
E4788,0.8576507
E2448,0.5105563
E3313,0.9392851
E6306,0.97672594
E7027,0.71649903
E3684,0.68404645
E3835,0.72545457
E1346,0.9082552
E961,0.90711427
E7255,0.78918046
E4814,0.8176494
E8479,0.830296
E6676,0.94572616
E2707,0.88127404
E3193,0.06105514
E5285,0.7756477
E3804,0.5333134
E8347,0.8925063
E5305,0.9024414
E6401,0.38940674
E8648,0.5443677
E892,0.51127166
E76,0.57950634
E3874,0.35928896
E742,0.29678726
E8402,0.42435375
E3614,0.69223964
E9360,0.7762747
E496,0.64961374
E1680,0.3629119
E206,0.91648656
E7507,0.9313137
E8972,0.8740219
E7371,0.80969816
E8364,0.9271779
E8817,0.43636426
E396,0.54095316
E821,0.80178833
E3679,0.84156924
E6160,0.5008367
E6822,0.5098053
E6689,0.7246182
E5142,0.6627876
E3070,0.37622052
E4713,0.9645243
E6288,0.6738506
E8138,0.88113457
E6187,0.95682377
E5157,0.50975955
E5752,0.8710832
E6317,0.85352385
E7647,0.2968044
E123,0.8282526
E6781,0.29563624
E1861,0.99388945
E3098,0.35035902
E424,0.9834884
E2428,0.5041414
E852,0.7352177
E1220,0.9167477
E3204,0.90047723
E6916,0.72250056
E900,0.67655283
E4840,0.9996209
E2640,0.8957515
E5288,0.97464615
E5823,0.94532406
E7108,0.903389
E7054,0.84480476
E504,0.4661741
E8610,0.96714336
E1874,0.8015585
E1282,0.69037545
E6677,0.940024
E1611,0.8683746
E2429,0.521424
E4645,0.8808232
E1527,0.70061326
E5425,0.79352784
E7299,0.5940306
E4600,0.8551468
E7362,0.59585863
E1307,0.40343916
E4921,0.8226738
E6489,0.55146617
E8187,0.94399506
E549,0.8353772
E6176,0.64737123
E4123,0.8852432
E5132,0.59701127
E2846,0.91772777
E528,0.7853097
E6825,0.81657815
E4145,0.9081936
E8475,0.9986695
E5866,0.6818196
