id,prob
E3064,0.89095163
E298,0.8721173
E3512,0.98467326
E5670,0.99856466
E5005,0.39025146
E1537,0.3411899
E4070,0.5325563
E9296,0.43389082
E6748,0.91015863
E8060,0.54640996
E3969,0.8196143
E1796,0.75690055
E3195,0.5507741
E8042,0.8408911
E5983,0.81838
E7860,0.7528742
E5139,0.5837834
E4304,0.81887734
E9047,0.48958534
E4737,0.45406914
E3840,0.6402713
E2455,0.85391563
E8767,0.4201042
E7242,0.28601027
E1715,0.46370608
E3689,0.9076509
E2885,0.44132447
E4522,0.53148186
E657,0.95693535
E3497,0.53393716
E864,0.5550326
E8007,0.93998086
E3327,0.3316446
E1823,0.78391665
E3682,0.4364946
E5514,0.50009906
E8903,0.49417865
E3685,0.42926553
E6047,0.27914435
E2605,0.6409615
E6839,0.5933775
E1487,0.5010074
E5725,0.32949805
E655,0.8674445
E7590,0.44896352
E124,0.8992447
E4788,0.873965
E2448,0.6083405
E3313,0.94352055
E6306,0.97464776
E7027,0.7170937
E3684,0.59836864
E3835,0.8112892
E1346,0.91985476
E961,0.91085756
E7255,0.80703855
E4814,0.8139504
E8479,0.71676755
E6676,0.91803133
E2707,0.8465563
E3193,0.1766856
E5285,0.6633085
E3804,0.5300892
E8347,0.90778726
E5305,0.8864844
E6401,0.42373973
E8648,0.46148983
E892,0.43949074
E76,0.52933604
E3874,0.51866776
E742,0.33536905
E8402,0.45063108
E3614,0.65914464
E9360,0.8088076
E496,0.61012137
E1680,0.4361187
E206,0.9214934
E7507,0.90100193
E8972,0.86916494
E7371,0.7574675
E8364,0.9227907
E8817,0.50902104
E396,0.60272825
E821,0.83562636
E3679,0.7407479
E6160,0.42632014
E6822,0.46752346
E6689,0.70962316
E5142,0.65416014
E3070,0.44209123
E4713,0.96812284
E6288,0.677454
E8138,0.86898553
E6187,0.94398224
E5157,0.5089045
E5752,0.7608335
E6317,0.8280859
E7647,0.3981111
E123,0.6546475
E6781,0.35139954
E1861,0.96652186
E3098,0.3883503
E424,0.97807395
E2428,0.4961431
E852,0.74681544
E1220,0.8910963
E3204,0.88853765
E6916,0.7963542
E900,0.54425377
E4840,0.99732506
E2640,0.88827085
E5288,0.9683182
E5823,0.92936903
E7108,0.91060996
E7054,0.79689956
E504,0.41035885
E8610,0.94354033
E1874,0.78453445
E1282,0.709467
E6677,0.9127209
E1611,0.8707042
E2429,0.4396873
E4645,0.8430138
E1527,0.6347002
E5425,0.6666151
E7299,0.56353116
E4600,0.861286
E7362,0.50600284
E1307,0.44281352
E4921,0.72735363
E6489,0.5156947
E8187,0.9638561
E549,0.8961359
E6176,0.5396364
E4123,0.8686341
E5132,0.5448568
E2846,0.9245325
E528,0.6880035
E6825,0.7705649
E4145,0.9038112
E8475,0.9971482
E5866,0.5853409
E2042,0.92459214
E638,0.93129057
E5779,0.5784907
E3107,0.3507266
E6427,0.31987843
E967,0.9263781
E6959,0.409506
E1432,0.954016
E4403,0.52410316
E1941,0.70419395
E2763,0.8339684
E2356,0.72599983
E8096,0.6697872
E6210,0.81542253
E2325,0.4075642
E9421,0.8066175
E7057,0.82582116
