id,prob
E370,0.44834626
E667,0.9601181
E3190,0.8711001
E848,0.7779413
E2161,0.81657106
E1391,0.8104027
E1084,0.9054289
E1801,0.55234003
E2730,0.8921488
E828,0.4861301
E1795,0.4347527
E1880,0.95555407
E1948,0.7234315
E1545,0.7787997
E2904,0.6727225
E2835,0.8162462
E2349,0.42343703
E2046,0.84781075
E1229,0.40754655
E2845,0.4960065
E2125,0.999439
E3127,0.966511
E1721,0.9091762
E1253,0.38733098
E3050,0.3751156
E212,0.7429076
E3193,0.89097553
E1195,0.42686617
E699,0.98504066
E2930,0.90723675
E963,0.35608974
E2848,0.9934973
E2261,0.90850306
E2091,0.991496
E3113,0.9868807
E2717,0.7665865
E1775,0.7669379
E1922,0.81583405
E2239,0.98987174
E1074,0.3112496
E552,0.8161177
E1657,0.74801254
E943,0.73571056
E1139,0.5227111
E2663,0.37793183
E2992,0.32837507
E3111,0.7771142
E1885,0.5829469
E2428,0.9908955
E1627,0.51512134
E2575,0.8114144
E824,0.70923954
E660,0.5026563
E1706,0.56693876
E863,0.90458935
E1289,0.42699268
E389,0.9816539
E802,0.3676571
E520,0.6314342
E1829,0.9575029
E2307,0.92279387
E566,0.5828373
E451,0.4014474
E353,0.2854282
E201,0.7472778
E1736,0.8830169
E2320,0.586681
E207,0.98007584
E1971,0.42743516
E312,0.6255853
E1968,0.41278002
E1170,0.8405304
E625,0.7862136
E3170,0.58021873
E3087,0.94582635
E2913,0.5787901
E2006,0.99230224
E133,0.9367838
E646,0.8845672
E17,0.8812346
E1474,0.8224792
E1846,0.28640094
E1689,0.78054166
E1990,0.9941805
E374,0.96229076
E1027,0.6816395
E1428,0.9462965
E488,0.45303658
E1056,0.8921557
E1303,0.866968
E1740,0.9474315
E2264,0.89612526
E1758,0.83547336
E8,0.5117278
E2298,0.43227878
E1731,0.32440063
E1475,0.9939038
E2510,0.40175352
E1857,0.54537576
E834,0.5559593
E1380,0.96209973
E1588,0.74315816
E2759,0.81101894
E214,0.7777672
E2591,0.7285492
E2771,0.6895191
E493,0.7430184
E1977,0.94979244
E2355,0.87285024
E2498,0.99458903
E2107,0.48273644
E2043,0.4416157
E2560,0.724322
E1176,0.9666622
E1456,0.9164009
E228,0.69411546
E622,0.9503491
E393,0.37559685
E731,0.8640368
E1336,0.8391018
E2187,0.5318927
E177,0.7727807
E1541,0.4265841
E562,0.8412097
E1720,0.40348437
E2060,0.42866957
E225,0.76522684
E2114,0.99040765
E1310,0.44926402
E2785,0.7429965
E3152,0.9393511
E1983,0.44643226
E445,0.8694906
E850,0.70080096
E2740,0.9636579
E1159,0.98972696
E1505,0.7565878
E50,0.7869274
E1078,0.44346678
E2549,0.91093826
E1187,0.47751856
E1844,0.356809
E558,0.8873553
E2741,0.99210286
E1334,0.34069243
E3206,0.25104064
E1262,0.7833057
E3178,0.79901075
E2728,0.93273616
E2870,0.09837306
E2970,0.97268105
E3022,0.9949972
E2503,0.6889449
E1228,0.4405491
E3169,0.46228012
E2799,0.90294784
E1114,0.67441636
E273,0.93861896
E688,0.35659412
E707,0.76863176
E3039,0.7795134
E292,0.96231204
E975,0.57134604
E1476,0.40763342
E2247,0.80675316
E691,0.84846145
E920,0.45973134
E1681,0.28497684
E475,0.4412494
E2699,0.29351255
E1201,0.9998889
E2002,0.6197668
E2104,0.9730175
E197,0.410748
E309,0.38305292
E1108,0.78752905
E141,0.5917976
E1277,0.83611816
E3100,0.7452404
E991,0.81230664
E1723,0.3887631
E1218,0.997495
E1478,0.81196684
E637,0.43137637
E700,0.8830204
E592,0.8378422
E587,0.98018736
E410,0.9962177
E3029,0.91669774
E2332,0.7804329
E2257,0.4841145
E2857,0.85353374
E232,0.4427631
E681,0.54060215
E1477,0.42596364
E238,0.4343708
E2273,0.80312115
E813,0.5411138
E2016,0.9976172
E1976,0.5080697
E2340,0.92032975
E1651,0.9428518
E3005,0.38190714
E2626,0.31218794
E1953,0.9421806
