id,prob
E3064,0.89401644
E298,0.8848014
E3512,0.9770557
E5670,0.9993289
E5005,0.50244474
E1537,0.36817813
E4070,0.587706
E9296,0.4240506
E6748,0.92501086
E8060,0.49371406
E3969,0.9008729
E1796,0.7979722
E3195,0.54530627
E8042,0.8462877
E5983,0.74752855
E7860,0.75139195
E5139,0.47617626
E4304,0.8257254
E9047,0.43590736
E4737,0.51592106
E3840,0.7422263
E2455,0.79871494
E8767,0.40753114
E7242,0.2971737
E1715,0.43222412
E3689,0.8864415
E2885,0.44812045
E4522,0.49834123
E657,0.95029896
E3497,0.47070113
E864,0.5226699
E8007,0.9030395
E3327,0.36080182
E1823,0.7921069
E3682,0.4762971
E5514,0.47995222
E8903,0.385197
E3685,0.47199467
E6047,0.31810036
E2605,0.6472754
E6839,0.5620966
E1487,0.48604548
E5725,0.360607
E655,0.8765424
E7590,0.32977197
E124,0.899343
E4788,0.8856449
E2448,0.55868745
E3313,0.9496508
E6306,0.9737106
E7027,0.71374255
E3684,0.51004905
E3835,0.76489806
E1346,0.90124017
E961,0.9141018
E7255,0.8272404
E4814,0.82366776
E8479,0.7595261
E6676,0.92063373
E2707,0.84994173
E3193,0.23742123
E5285,0.6850228
E3804,0.51359653
E8347,0.89873856
E5305,0.89181393
E6401,0.47224805
E8648,0.52013046
E892,0.39053068
E76,0.47803167
E3874,0.46833095
E742,0.38671517
E8402,0.4173628
E3614,0.6128791
E9360,0.824567
E496,0.6359637
E1680,0.45847574
E206,0.9226033
E7507,0.88295954
E8972,0.78069
E7371,0.6778839
E8364,0.9228611
E8817,0.46816918
E396,0.54826474
E821,0.8303471
E3679,0.7169067
E6160,0.4482973
E6822,0.48043427
E6689,0.68484324
E5142,0.6708741
E3070,0.49415419
E4713,0.96590424
E6288,0.7091322
E8138,0.88908464
E6187,0.9152978
E5157,0.5303147
E5752,0.7224624
E6317,0.8113241
E7647,0.346241
E123,0.6347545
E6781,0.40571192
E1861,0.81690836
E3098,0.45165816
E424,0.9718823
E2428,0.47628167
E852,0.7067218
