id,prob
E10559,0.4916296
E4849,0.6437981
E3964,0.86684424
E542,0.54159576
E331,0.74811167
E10471,0.87390774
E9186,0.67270136
E5576,0.46895006
E9705,0.6665269
E7309,0.88876414
E476,0.8592949
E5217,0.39425874
E7653,0.52951336
E1530,0.5659538
E10379,0.7099819
E1516,0.7519412
E9418,0.7214351
E9388,0.43720984
E10737,0.832473
E5290,0.8709051
E6010,0.54101413
E4307,0.4821016
E4548,0.4250891
E3030,0.37422013
E68,0.82920045
E5739,0.86343604
E2394,0.6663582
E3629,0.77907044
E8652,0.99738264
E5779,0.55438375
E10269,0.84024566
E7456,0.6098733
E9199,0.31221557
E1606,0.8878713
E9077,0.7752626
E9576,0.45166036
E2810,0.8478592
E1091,0.9955948
E2755,0.5075674
E1405,0.43617663
E2213,0.52931136
E1321,0.41862026
E10797,0.60071874
E7340,0.5171301
E9659,0.8892527
E1678,0.79313666
E9591,0.4398731
E6377,0.93434596
E10130,0.72193784
E5582,0.45975915
E9510,0.29585186
E4237,0.4596484
E10470,0.8076827
E7528,0.87056655
E2567,0.6111796
E6083,0.36121666
E6735,0.89204216
E6800,0.77370715
E2293,0.42039195
E1633,0.53327674
E10659,0.91547155
E543,0.44021606
E7177,0.49099836
E4126,0.47708717
E2850,0.4480257
E2078,0.5211629
E5746,0.6637726
E2445,0.91144156
E2958,0.5913505
E3497,0.81307673
E5069,0.9534111
E8995,0.5486931
E8220,0.9912777
E4354,0.8833906
E7578,0.3610421
E2122,0.81475514
E6661,0.44714165
E2582,0.5691373
E1836,0.558515
E7881,0.8863358
E6685,0.48926628
E113,0.4714764
E1161,0.50541687
E8062,0.54768485
E5637,0.41764167
E4470,0.91049665
E6905,0.77667785
E7553,0.4827951
E7773,0.51725805
E1991,0.8755598
E3997,0.79515815
E5326,0.57006997
E3076,0.74275595
E2018,0.47061154
E594,0.3434287
E2971,0.4208132
E6692,0.8308831
E3383,0.92642623
E8755,0.7403175
E1494,0.8154656
E7725,0.5064863
E8265,0.4671825
E8021,0.5267675
E7110,0.8588968
E8495,0.99934816
E6551,0.41990885
E10716,0.4864917
E9434,0.37935933
E2128,0.91887116
E8123,0.4818723
E1658,0.96076864
E7504,0.37315583
E8552,0.45302156
E798,0.7827894
E5976,0.66631675
E6501,0.47505832
E8648,0.62556213
E7213,0.6271282
E6667,0.43020704
E6701,0.45705596
E4011,0.8460342
E6880,0.42644623
E2679,0.6052865
E10280,0.3994963
E6213,0.9409241
E7717,0.660696
E5342,0.5558359
E3783,0.98269457
E4763,0.445123
E8563,0.59559053
E8256,0.7432769
E7562,0.4316907
E8807,0.953623
E1160,0.7921953
E6757,0.77526164
E4130,0.45261848
E10778,0.50707996
E6789,0.6161099
E1448,0.5400315
E1869,0.87072897
E10537,0.53754157
E8348,0.422025
E5158,0.47776064
E5939,0.72579616
E10623,0.47203076
