id,prob
E10559,0.5260666
E4849,0.63014436
E3964,0.819987
E542,0.54174215
E331,0.8193769
E10471,0.96193177
E9186,0.68314415
E5576,0.35562825
E9705,0.65628886
E7309,0.93417484
E476,0.8153238
E5217,0.39480746
E7653,0.52898616
E1530,0.49270797
E10379,0.7839968
E1516,0.7198594
E9418,0.79074806
E9388,0.4218966
E10737,0.810798
E5290,0.88022566
E6010,0.51167554
E4307,0.4638231
E4548,0.38486525
E3030,0.3114016
E68,0.8092842
E5739,0.84652764
E2394,0.5916915
E3629,0.77218515
E8652,0.99751735
E5779,0.5076135
E10269,0.93243533
E7456,0.53105694
E9199,0.38957617
E1606,0.8606376
E9077,0.8126742
E9576,0.40439257
E2810,0.8487036
E1091,0.99540967
E2755,0.4337094
E1405,0.41431066
E2213,0.5107417
E1321,0.47796276
E10797,0.59314233
E7340,0.51200575
E9659,0.8710068
E1678,0.80769825
E9591,0.46239045
E6377,0.9197658
E10130,0.7752924
E5582,0.50660795
E9510,0.30945495
E4237,0.48948404
E10470,0.81103987
E7528,0.851157
E2567,0.62876827
E6083,0.3368509
E6735,0.8787826
E6800,0.75392216
E2293,0.35873047
E1633,0.4799951
E10659,0.89476925
E543,0.42682683
E7177,0.46677026
E4126,0.42602444
E2850,0.43868473
E2078,0.4418769
E5746,0.68527824
E2445,0.8999079
E2958,0.6005309
E3497,0.79811287
E5069,0.9462392
E8995,0.5980397
E8220,0.9978528
E4354,0.880673
E7578,0.42330623
E2122,0.8256607
E6661,0.48082343
E2582,0.5845373
E1836,0.5956107
E7881,0.8824132
E6685,0.57301134
E113,0.4432267
E1161,0.51696205
E8062,0.5090403
E5637,0.3779585
E4470,0.866617
E6905,0.79343796
E7553,0.44837984
E7773,0.5348024
E1991,0.89742994
E3997,0.8183093
E5326,0.5505536
E3076,0.8823309
E2018,0.49424696
E594,0.34083673
E2971,0.42174003
E6692,0.78690857
E3383,0.9073759
E8755,0.67744374
E1494,0.7424093
E7725,0.48285437
E8265,0.49697268
E8021,0.58573586
E7110,0.85765004
E8495,0.99926424
E6551,0.45275638
E10716,0.48737803
E9434,0.36720514
E2128,0.9197244
E8123,0.46986246
E1658,0.9638717
E7504,0.38568553
E8552,0.4027021
E798,0.828269
E5976,0.5836862
E6501,0.4551458
E8648,0.6636371
E7213,0.6798617
E6667,0.40201068
E6701,0.38803157
E4011,0.84096974
E6880,0.4227054
E2679,0.62444896
E10280,0.40293464
E6213,0.9387841
E7717,0.70620114
E5342,0.58508515
E3783,0.9871619
E4763,0.4201696
E8563,0.62545747
E8256,0.6748689
E7562,0.4472905
E8807,0.9537981
E1160,0.78251696
E6757,0.75202423
E4130,0.5253644
E10778,0.46862116
E6789,0.5615638
E1448,0.57952225
E1869,0.746411
E10537,0.54993564
E8348,0.44834077
E5158,0.44823468
E5939,0.8078657
E10623,0.45065773
E4941,0.63474625
E9068,0.45814028
E9894,0.77236265
E1121,0.9603083
E5634,0.9308882
E3890,0.8010656
E10467,0.5856044
E3728,0.7974623
E3943,0.7360886
E6303,0.4614463
E9052,0.70638126
E533,0.8841005
E132,0.48585233
E1580,0.6412738
E4034,0.49076572
E9422,0.6111228
E2575,0.86955625
E1043,0.60933
E8480,0.4682075
E10111,0.42702743
E330,0.3974638
E7838,0.70215744
E9529,0.54100496
E5397,0.50086737
E6862,0.72164434
E3740,0.8548104
E118,0.46094108
E8133,0.35439482
E8441,0.6736419
E4814,0.56460005
E5592,0.6467632
E4117,0.73898244
E7793,0.7882617
E2368,0.44781587
E9954,0.48908988
E10307,0.7767474
E7729,0.94527787
E1123,0.7409239
E5155,0.8055666
E5224,0.5659798
E2789,0.7436951
E8483,0.34108153
E10552,0.47547233
E8884,0.85733014
E10377,0.42494678
E10193,0.5218112
E5811,0.3968694
E8541,0.78275985
E486,0.8609733
E8888,0.9015865
E6532,0.9674163
E4165,0.92359203
E3160,0.8386333
