id,prob
E10559,0.5443515
E4849,0.73793477
E3964,0.87603116
E542,0.6055253
E331,0.8345558
E10471,0.9214344
E9186,0.55216765
E5576,0.411839
E9705,0.67997545
E7309,0.9571379
E476,0.8949272
E5217,0.61949897
E7653,0.58513355
E1530,0.57574147
E10379,0.80048054
E1516,0.64645714
E9418,0.80798364
E9388,0.40188828
E10737,0.7867723
E5290,0.89617276
E6010,0.5205882
E4307,0.43315688
E4548,0.33876622
E3030,0.4699715
E68,0.77038974
E5739,0.8563113
E2394,0.5845371
E3629,0.83610487
E8652,0.9944768
E5779,0.63843673
E10269,0.9440443
E7456,0.69044656
E9199,0.36051965
E1606,0.90550494
E9077,0.87891454
E9576,0.39523458
E2810,0.89220184
E1091,0.99418646
E2755,0.5363216
E1405,0.34790465
E2213,0.5655303
E1321,0.42308864
E10797,0.59276074
E7340,0.55387616
E9659,0.8112131
E1678,0.73934
E9591,0.26729363
E6377,0.9253311
E10130,0.78471154
E5582,0.4671626
E9510,0.3039982
E4237,0.4274725
E10470,0.77865106
E7528,0.8259957
E2567,0.6294537
E6083,0.32059106
E6735,0.9067423
E6800,0.7969535
E2293,0.22282648
E1633,0.5854449
E10659,0.92581534
E543,0.44185483
E7177,0.48290917
E4126,0.4746709
E2850,0.48605922
E2078,0.39635053
E5746,0.9096685
E2445,0.8842171
E2958,0.50425506
E3497,0.76802653
E5069,0.9512904
E8995,0.66977006
E8220,0.9934514
E4354,0.82772493
E7578,0.43905437
E2122,0.7690775
E6661,0.5288423
E2582,0.56434923
E1836,0.56890166
E7881,0.8481377
E6685,0.59490645
E113,0.45641795
E1161,0.45210424
E8062,0.5554722
E5637,0.30749395
E4470,0.92822427
E6905,0.75277466
E7553,0.43978348
E7773,0.37494063
E1991,0.8478573
E3997,0.8258849
E5326,0.5477842
E3076,0.87563914
E2018,0.554787
E594,0.45738328
E2971,0.28648046
E6692,0.81681395
E3383,0.89059085
E8755,0.7272701
E1494,0.8298666
E7725,0.45064673
E8265,0.5727606
E8021,0.53169614
E7110,0.8510471
E8495,0.99616146
E6551,0.41715562
E10716,0.4340949
E9434,0.34532785
E2128,0.89863443
E8123,0.37019506
E1658,0.93897694
