id,prob
E370,0.42365125
E667,0.9799472
E3190,0.9153249
E848,0.81198394
E2161,0.78119355
E1391,0.8497232
E1084,0.99616784
E1801,0.98182034
E2730,0.924839
E828,0.4108273
E1795,0.4060846
E1880,0.97426444
E1948,0.7983633
E1545,0.75565124
E2904,0.8501522
E2835,0.85670555
E2349,0.21047066
E2046,0.9208164
E1229,0.4343344
E2845,0.35373574
E2125,0.9999635
E3127,0.9996792
E1721,0.9196057
E1253,0.4072885
E3050,0.2948992
E212,0.8970337
E3193,0.876427
E1195,0.41156554
E699,0.9993135
E2930,0.9842015
E963,0.3993749
E2848,0.99963677
E2261,0.9579669
E2091,0.99917454
E3113,0.9975351
E2717,0.7910977
E1775,0.73155516
E1922,0.8329984
E2239,0.999495
E1074,0.2714166
E552,0.82417613
E1657,0.85638404
E943,0.8284397
E1139,0.70430267
E2663,0.33128947
E2992,0.23141009
E3111,0.8414213
E1885,0.7427358
E2428,0.99706143
E1627,0.6590262
E2575,0.8719365
E824,0.7614244
E660,0.64230525
E1706,0.6703912
E863,0.929283
E1289,0.35246447
E389,0.99951196
E802,0.35018006
E520,0.9827498
E1829,0.9905566
E2307,0.9286293
E566,0.84930927
E451,0.37278327
E353,0.18672274
E201,0.84174114
E1736,0.8724775
E2320,0.729218
E207,0.99657935
E1971,0.43080467
E312,0.783621
E1968,0.3951918
E1170,0.88530713
E625,0.8593371
E3170,0.73483366
E3087,0.9171434
E2913,0.5442164
E2006,0.9991179
E133,0.9519056
E646,0.9452367
E17,0.98726314
E1474,0.8641749
E1846,0.1869099
E1689,0.85751027
E1990,0.99946886
E374,0.96944267
E1027,0.8462139
E1428,0.95848525
E488,0.43534938
E1056,0.94931537
E1303,0.89618117
E1740,0.9994336
E2264,0.9089876
E1758,0.9165948
E8,0.5090005
E2298,0.3987238
E1731,0.35406038
E1475,0.9996965
E2510,0.2713724
E1857,0.5954535
E834,0.59000325
E1380,0.9991014
E1588,0.86088747
E2759,0.83006984
E214,0.9416062
E2591,0.90973854
E2771,0.9455807
E493,0.80848575
E1977,0.9379432
E2355,0.8642439
E2498,0.99970573
E2107,0.66163653
E2043,0.43999797
E2560,0.8502325
E1176,0.9675524
E1456,0.9237501
E228,0.8330624
E622,0.9514367
E393,0.34146184
E731,0.9364905
E1336,0.9972602
E2187,0.62991726
E177,0.8288072
E1541,0.39880547
E562,0.9303936
E1720,0.37733424
E2060,0.368293
E225,0.8444274
E2114,0.9992487
E1310,0.5971281
E2785,0.81379426
E3152,0.9311859
E1983,0.41511354
E445,0.8752056
E850,0.791533
E2740,0.9684623
E1159,0.99393374
E1505,0.87013906
E50,0.84708303
E1078,0.42172968
