id,prob
E10559,0.5153669
E4849,0.71627915
E3964,0.8299018
E542,0.5390959
E331,0.8476623
E10471,0.9633079
E9186,0.5938469
E5576,0.45034814
E9705,0.67174274
E7309,0.9312583
E476,0.9123758
E5217,0.5136243
E7653,0.5758399
E1530,0.5380539
E10379,0.79040235
E1516,0.6918371
E9418,0.8178547
E9388,0.39050376
E10737,0.795069
E5290,0.88864803
E6010,0.524866
E4307,0.44436872
E4548,0.36165166
E3030,0.6184913
E68,0.8078886
E5739,0.83966994
E2394,0.69537467
E3629,0.8215179
E8652,0.9976784
E5779,0.6613437
E10269,0.9153149
E7456,0.6722466
E9199,0.38655594
E1606,0.87757945
E9077,0.89858687
E9576,0.38311517
E2810,0.855374
E1091,0.99743766
E2755,0.550522
E1405,0.35835844
E2213,0.56933403
E1321,0.4418779
E10797,0.63431525
E7340,0.5664835
E9659,0.8159654
E1678,0.8185462
E9591,0.33042085
E6377,0.92511004
E10130,0.79494023
E5582,0.4881848
E9510,0.213499
E4237,0.4512434
E10470,0.8000238
E7528,0.84384286
E2567,0.65681446
E6083,0.29643482
E6735,0.8805549
E6800,0.75869995
E2293,0.23189875
E1633,0.6634382
E10659,0.884676
E543,0.38311252
E7177,0.5292494
E4126,0.45724016
E2850,0.5053824
E2078,0.36762977
E5746,0.91143477
E2445,0.8725511
E2958,0.5476488
E3497,0.8270023
E5069,0.9647546
E8995,0.6647146
E8220,0.99217725
E4354,0.78591204
E7578,0.40673524
E2122,0.84731674
E6661,0.4744784
E2582,0.553787
E1836,0.6152245
E7881,0.84027284
E6685,0.60781085
E113,0.4661206
E1161,0.4528934
E8062,0.5939932
E5637,0.30112997
E4470,0.8692174
E6905,0.77467763
E7553,0.44070828
E7773,0.41922948
E1991,0.8302375
E3997,0.83143485
E5326,0.58092076
E3076,0.87226784
E2018,0.5605345
E594,0.4470585
E2971,0.2703932
E6692,0.83542895
E3383,0.9081578
E8755,0.72043794
E1494,0.84816194
E7725,0.4610029
E8265,0.55823505
E8021,0.54543734
E7110,0.82160926
E8495,0.9996471
E6551,0.39374024
E10716,0.42408246
E9434,0.34228677
E2128,0.85314363
E8123,0.43602288
E1658,0.94500947
E7504,0.3559633
E8552,0.3764742
E798,0.82082844
E5976,0.6032206
E6501,0.48048568
E8648,0.69439405
E7213,0.80277324
E6667,0.43689114
E6701,0.62063754
E4011,0.8465663
E6880,0.42054597
E2679,0.7169614
E10280,0.35574692
E6213,0.9687696
E7717,0.7378509
E5342,0.68517274
E3783,0.9847447
E4763,0.4337623
E8563,0.733659
E8256,0.8140267
E7562,0.44397646
E8807,0.93721205
E1160,0.7907866
E6757,0.72724134
E4130,0.5831638
E10778,0.49429846
E6789,0.6824802
E1448,0.5156035
E1869,0.770246
E10537,0.5950536
E8348,0.57362586
E5158,0.38634917
E5939,0.8616817
E10623,0.447078
E4941,0.6970338
E9068,0.5562961
E9894,0.80661154
E1121,0.95120597
E5634,0.9673959
E3890,0.932793
E10467,0.5654042
E3728,0.82644737
E3943,0.73442245
E6303,0.43490806
E9052,0.8943906
E533,0.96036166
E132,0.4680601
E1580,0.6280242
E4034,0.5394279
E9422,0.824039
E2575,0.89359605
E1043,0.7800003
E8480,0.44051233
E10111,0.4268427
E330,0.39153993
E7838,0.78826743
E9529,0.48239267
E5397,0.59761274
E6862,0.7467432
E3740,0.90411174
E118,0.42025208
E8133,0.3486138
E8441,0.6365609
E4814,0.63642144
E5592,0.6645766
E4117,0.5253921
E7793,0.78110397
E2368,0.4605394
E9954,0.5619416
E10307,0.7772136
E7729,0.93072593
E1123,0.7957838
E5155,0.78871554
E5224,0.5596572
E2789,0.49677122
E8483,0.52355146
E10552,0.5532877
E8884,0.88956404
E10377,0.38755125
E10193,0.31950566
E5811,0.27245766
E8541,0.7955746
E486,0.9230403
E8888,0.8437059
E6532,0.98329824
E4165,0.9529814
E3160,0.86599576
E982,0.8122994
E5505,0.70499706
E741,0.51501393
E8115,0.89130485
E7410,0.3215794
E687,0.2862504
E10385,0.76405954
E3446,0.44904116
E1295,0.88160044
E10695,0.45152593
E4417,0.4658019
E5099,0.74879646
E8638,0.49925733
E8886,0.6852919
E398,0.71777916
E7150,0.6521074
E7724,0.46550107
E2655,0.7169465
E9266,0.8885468
E7954,0.40408581
E3814,0.9380493
E2045,0.39876032
E1948,0.75788367
E637,0.7543138
E4060,0.5036218
E2249,0.9680642
E4486,0.46047422
E7770,0.84872293
E6717,0.37332863
E10268,0.24891807
E2382,0.507286
E4614,0.86597633
E4396,0.69565415
E9562,0.814
E7088,0.87910235
E1890,0.95080817
E1764,0.702832
E9819,0.75781375
E4640,0.78048503
E8385,0.7788288
E2514,0.6450912
E8377,0.5740134
E3496,0.83778954
E1432,0.28439963
E8278,0.3206025
E8219,0.42370754
E380,0.8756821
E416,0.3611881
E7152,0.7058029
E1463,0.9093701
E7247,0.75620073
E3418,0.9362651
E8092,0.749601
E4181,0.4378382
E10669,0.51765007
E6786,0.97220105
E3287,0.5961212
E8885,0.5702527
E7338,0.44509268
E4890,0.8803485
E8264,0.6655597
E5638,0.4031585
E5846,0.3637195
E1646,0.35669887
E8763,0.9052178
E3816,0.91720307
E6732,0.7893996
E1303,0.92294145
E9350,0.30288526
E10419,0.8799907
E4563,0.6590591
E647,0.7294576
E344,0.33605924
E9536,0.8143231
E2617,0.7938812
E10825,0.35869753
E1078,0.73379076
E6851,0.78142023
E8879,0.4301595
E6705,0.3670314
E4207,0.7144883
E4483,0.4608925
E9584,0.393264
E9846,0.70469606
E9459,0.788099
E1668,0.5820041
E4090,0.29692632
E6989,0.7966988
E564,0.36888373
E9169,0.4900969
E5313,0.89686966
E2354,0.6162449
E5456,0.32221502
E3361,0.45293295
E9856,0.76856613
E6670,0.61847013
E4170,0.8094222
E7122,0.93750584
E3031,0.4080875
E6175,0.83196604
E4828,0.8631872
E817,0.8756901
E7319,0.9396992
E9935,0.7901195
E4198,0.33955067
E5379,0.2756434
E9930,0.44013515
E3910,0.3206564
E9816,0.33817723
E6957,0.6283153
E10243,0.6061945
E4518,0.59600616
E9633,0.9181628
E3538,0.9223023
E2286,0.603866
E402,0.8477752
E5129,0.9595459
E4101,0.3162348
E3255,0.8197613
E5177,0.63811404
E10847,0.8933636
E2008,0.8224838
E3681,0.82625365
E3359,0.8242347
E3636,0.7304534
E2480,0.63994503
E8321,0.46144354
E1642,0.4568267
E8054,0.44982094
E5026,0.8948819
E1942,0.85667765
E9332,0.7608198
E5820,0.8855368
E112,0.9904551
E7151,0.5624043
E7897,0.55722153
E4685,0.72229016
E7427,0.73236084
E5077,0.4174251
E9841,0.568627
E5903,0.53328085
E6297,0.9089817
E8018,0.96615255
E5032,0.6412853
E9927,0.5337259
E5135,0.49660414
E7852,0.737471
E231,0.3679483
E3393,0.93718016
E3017,0.9763068
E9673,0.6392441
E1172,0.82190347
E6126,0.899281
E1470,0.88859993
E8896,0.72737646
E3161,0.78524995
E3472,0.7707807
E2167,0.7322674
E2636,0.4565303
E8149,0.8167546
E9090,0.7575973
E6847,0.89798963
E2786,0.8571068
E9972,0.92438984
E10107,0.876426
E3113,0.5034166
E6044,0.7359885
E6075,0.6936481
E5686,0.8853936
E576,0.98474777
E8605,0.66444886
E9563,0.792091
E8551,0.5198847
E1959,0.5488268
E379,0.9148803
E215,0.5236145
E2899,0.3772457
E5092,0.41354442
E8581,0.76267636
E407,0.90138984
E5325,0.64917135
E8198,0.7436019
E10722,0.42935264
E7543,0.5851785
E5393,0.57570106
E10077,0.38162646
E7679,0.7272253
E10621,0.5612209
E9672,0.9159136
E4168,0.7856839
E1340,0.6497335
E5498,0.4509561
E4826,0.6067251
E3632,0.4325488
E9797,0.7428867
E9581,0.7869237
E7235,0.4637969
E8968,0.9556676
E8842,0.92805403
E4905,0.40050218
E6544,0.6323266
E6785,0.51803684
E10443,0.27686915
E5131,0.7614686
E7879,0.8241916
E226,0.7193115
E2087,0.78420365
E8023,0.46846938
E6833,0.963309
E10586,0.4635697
E5192,0.82153296
E1223,0.51421237
E10350,0.5801612
E6395,0.7584399
E8309,0.5730649
E9958,0.85687315
E8486,0.9122677
E8378,0.82226723
E4988,0.938374
E9014,0.9967642
E3392,0.35376891
E8493,0.7618903
E5838,0.8373307
E9295,0.594707
E5932,0.95510054
E176,0.8572455
E1795,0.4506578
E6864,0.8624259
E1578,0.8608228
E8815,0.91510504
E1280,0.7125807
E8566,0.3617155
E78,0.5217516
E6884,0.37007076
E2651,0.37465465
E6771,0.58421195
E1053,0.40420735
E7258,0.93805087
E7447,0.4991403
E8518,0.8958366
E3787,0.4281491
E10426,0.8617308
E6454,0.5157764
E1420,0.61048496
E7043,0.33966118
E8085,0.45090812
E4512,0.3335494
E3692,0.4682148
E185,0.6291015
E8415,0.32898045
E7100,0.8444448
E7943,0.58827263
E2820,0.62449384
E1479,0.9222114
E10025,0.477038
E1439,0.49992406
E7166,0.85401416
E3685,0.73832476
E6442,0.47953862
E5688,0.5682969
E5565,0.45263395
E2486,0.45649767
E10689,0.94449174
E10331,0.8298999
E1785,0.85547185
E50,0.9582803
E2609,0.7562294
E7228,0.7621323
E1055,0.3220271
E4306,0.91621447
E9291,0.9198082
E317,0.7555003
E5867,0.8423435
E874,0.8945116
E7027,0.6916429
E8992,0.82204545
E6380,0.78349847
E9269,0.83106786
E501,0.6926093
E971,0.8952015
E6588,0.78662694
E6545,0.54145384
E10626,0.40139169
E3134,0.8728817
E4650,0.35387433
E3992,0.51438075
E4522,0.3680532
E512,0.40903485
E2459,0.88633025
E349,0.5377673
E2547,0.34904084
E8112,0.8850647
E493,0.7576698
E10769,0.3088997
E10300,0.7567934
E9007,0.8660823
E281,0.59854364
E6489,0.7772801
E5485,0.5271134
E4173,0.9748687
E1566,0.6695185
E10407,0.8019861
E560,0.43458313
E2932,0.31644973
E8166,0.991198
E7355,0.426192
E705,0.58916163
E6017,0.903407
E3186,0.5860367
E2921,0.46284023
E7386,0.7849215
E7926,0.8991004
E76,0.5990919
E6718,0.8167583
E7072,0.80546105
E7860,0.58610106
E5785,0.47690827
E4745,0.60281247
E3061,0.85895497
E1217,0.8933715
E3719,0.5503207
E436,0.6504904
E7429,0.92327404
E844,0.59656274
E6919,0.8687261
E9385,0.8553642
E9141,0.34263664
E10500,0.8252334
E3919,0.68360114
E3861,0.8965421
E10488,0.4058575
E3748,0.4295402
E9168,0.80568445
E9853,0.9701741
E7503,0.4703228
E7671,0.6459894
E1069,0.8221201
E8950,0.72531706
E2709,0.8764461
E5402,0.7966988
E961,0.7401092
E723,0.98545825
E7686,0.6077712
E5594,0.9018824
E5018,0.92394334
E7974,0.94536877
E3665,0.6585305
E9977,0.6869575
E2396,0.4675692
E6976,0.78106165
E10286,0.5086696
E7669,0.3310154
E5049,0.7633556
E6433,0.8541571
E4205,0.83344334
E7314,0.6978174
E7596,0.7881261
E1907,0.97076964
E6255,0.6064576
E125,0.95455873
E7996,0.88737357
E8545,0.7733139
E2466,0.63614225
E9985,0.6118331
E4184,0.25115326
E2551,0.9791214
E10783,0.7257785
E1122,0.52737033
E7581,0.7469771
E972,0.94891655
E2744,0.69113487
E3549,0.78483206
E8699,0.56984067
E5723,0.9014386
E5106,0.8243662
E3154,0.99934196
E122,0.8059871
E1179,0.8696959
E4627,0.7975613
E864,0.7434747
E9915,0.8463438
E9479,0.48789686
E5827,0.914621
E3746,0.49478078
E8505,0.89516145
E9560,0.7439855
E4221,0.8476395
E569,0.8988789
E9886,0.677045
E5270,0.722225
E6899,0.94516754
E10337,0.3405106
E8391,0.7649932
E1960,0.33409512
E8356,0.57037127
E2435,0.33151996
E3067,0.94711006
E1286,0.5486002
E6056,0.75869715
E4767,0.45411882
E589,0.8254602
E10478,0.9603579
E9487,0.55783534
E8026,0.89358205
E7536,0.33277673
E1127,0.18796062
E7741,0.88599455
E1401,0.81974757
E4975,0.5495797
E1614,0.8110676
E10403,0.50896883
E6443,0.6137866
E5679,0.9338626
E5743,0.53959775
E809,0.6008822
E10461,0.5473287
E7124,0.4578347
E156,0.49295712
E4247,0.84029776
E2889,0.9993951
E7965,0.7934265
E9311,0.82436144
E5717,0.8382031
E7171,0.84568965
E7630,0.84356666
E1369,0.54072917
E2603,0.92438126
E4775,0.49824867
E3489,0.53272843
E6138,0.94151133
E8409,0.32835138
E7256,0.7208297
E4055,0.86909914
E9425,0.5958774
E1320,0.67731047
E9609,0.30690557
E829,0.9600824
E57,0.9623872
E5385,0.71774995
E10104,0.7419776
E1299,0.31808057
E7106,0.59891474
E3923,0.78430915
E374,0.40374804
E5351,0.28700644
E5953,0.96223956
E1129,0.8980215
E3694,0.5286159
E5987,0.73151636
E6232,0.8779319
E2475,0.47398698
E9120,0.367002
E4653,0.26869237
E7923,0.7259358
E9814,0.34615627
E1669,0.86367977
E3294,0.6411231
E5832,0.78181386
E6394,0.9990059
E8637,0.7102472
E9402,0.9271492
E2660,0.7553843
E9998,0.5750639
E2520,0.41368988
E3897,0.6534052
E1574,0.5468283
E3523,0.9246305
E9715,0.5771021
E2431,0.5516119
E651,0.73744947
E8943,0.6018957
E3853,0.471981
E7459,0.928739
E7532,0.74300236
E7275,0.76633465
E2377,0.9347
E5369,0.3477121
E9163,0.5692054
E1562,0.24796322
E9796,0.44556594
E4691,0.57827175
E9478,0.3478635
E1408,0.23801118
E8870,0.44766286
E8559,0.63877165
E5853,0.50215536
E10828,0.5574106
E10092,0.8423872
E2989,0.6329302
E556,0.8545795
E9231,0.80956674
E10554,0.7585292
E5309,0.8284652
E5033,0.84920424
E314,0.5489305
E387,0.48275942
E2170,0.89877486
E3675,0.81749284
E4528,0.44495738
E10641,0.52599853
E5590,0.82126725
E2308,0.72779197
E6285,0.89366376
