id,prob
E10559,0.57170343
E4849,0.48170918
E3964,0.8697318
E542,0.95357716
E331,0.99238443
E10471,0.7374881
E9186,0.90145457
E5576,0.91390604
E9705,0.68156654
E7309,0.47375467
E476,0.7732953
E5217,0.4187195
E7653,0.27959102
E1530,0.5710808
E10379,0.34537852
E1516,0.34818062
E9418,0.67136794
E9388,0.85729384
E10737,0.46657065
E5290,0.503434
E6010,0.4610394
E4307,0.46094742
E4548,0.5026894
E3030,0.979091
E68,0.65644085
E5739,0.50052696
E2394,0.901958
E3629,0.87962914
E8652,0.5400491
E5779,0.5100864
E10269,0.54144454
E7456,0.95446396
E9199,0.37677896
E1606,0.9621292
E9077,0.63255924
E9576,0.7801674
E2810,0.39621988
E1091,0.55565965
E2755,0.88593805
E1405,0.91171443
E2213,0.46038133
E1321,0.9755077
E10797,0.9318857
E7340,0.6635351
E9659,0.36308327
E1678,0.89469856
E9591,0.74373984
E6377,0.5939932
E10130,0.46110466
E5582,0.8486402
E9510,0.933345
E4237,0.79135805
E10470,0.45547882
E7528,0.88302904
E2567,0.8346782
E6083,0.71654314
E6735,0.43022385
E6800,0.396475
E2293,0.9680341
E1633,0.80085504
E10659,0.5107382
E543,0.6848228
E7177,0.85825753
E4126,0.36844686
E2850,0.42101586
E2078,0.9229489
E5746,0.6500668
E2445,0.7375039
E2958,0.88082534
E3497,0.55370635
E5069,0.60450625
E8995,0.9368213
E8220,0.57283056
E4354,0.8760018
E7578,0.42634052
E2122,0.68721354
E6661,0.81700635
E2582,0.83780724
E1836,0.3597894
E7881,0.5594734
E6685,0.72744024
E113,0.24591978
E1161,0.59978473
E8062,0.8061351
E5637,0.6932612
E4470,0.8337121
E6905,0.7920462
E7553,0.6549752
E7773,0.8197447
E1991,0.74941945
E3997,0.5816623
E5326,0.88144314
E3076,0.4086569
E2018,0.46884036
E594,0.6577647
E2971,0.5544159
E6692,0.32006106
E3383,0.47009483
E8755,0.7674642
E1494,0.84076464
E7725,0.59636146
E8265,0.8308104
E8021,0.7873104
E7110,0.8510014
E8495,0.7522875
E6551,0.86889637
E10716,0.5968678
E9434,0.93557817
E2128,0.849519
E8123,0.7189249
E1658,0.5835544
E7504,0.89090496
E8552,0.85915357
E798,0.8017545
E5976,0.5622569
E6501,0.9833694
E8648,0.4900459
E7213,0.4704417
E6667,0.75178987
E6701,0.44076473
E4011,0.85773367
E6880,0.5330741
E2679,0.90828216
E10280,0.5196333
E6213,0.6096531
E7717,0.6984591
E5342,0.5022083
E3783,0.71690106
E4763,0.5462166
E8563,0.94310194
E8256,0.9496009
E7562,0.3261513
E8807,0.78396696
E1160,0.6300458
E6757,0.39131883
E4130,0.76195997
E10778,0.8715053
E6789,0.500373
E1448,0.46428287
E1869,0.7983145
E10537,0.42672578
E8348,0.750388
E5158,0.9331423
E5939,0.7015282
E10623,0.35023013
E4941,0.5714032
E9068,0.52146316
E9894,0.45447043
E1121,0.5414436
E5634,0.90058964
E3890,0.5683655
E10467,0.5957987
E3728,0.6278171
E3943,0.58003765
E6303,0.8922837
E9052,0.6046834
E533,0.40549308
E132,0.5430788
E1580,0.5440125
E4034,0.4826367
E9422,0.6048786
E2575,0.8855055
E1043,0.97536564
E8480,0.6801382
E10111,0.7373812
E330,0.30839762
E7838,0.4203883
E9529,0.6034697
E5397,0.46318784
E6862,0.78306895
E3740,0.5846514
E118,0.9082334
E8133,0.4277593
E8441,0.45005855
E4814,0.80583566
E5592,0.41565666
E4117,0.37704775
E7793,0.44714564
E2368,0.6521482
E9954,0.85102
E10307,0.8043983
E7729,0.37184957
E1123,0.80430686
E5155,0.3836266
E5224,0.88055557
E2789,0.48034453
E8483,0.7277938
E10552,0.8246323
E8884,0.95714355
E10377,0.6001538
E10193,0.8766009
E5811,0.9926219
E8541,0.46209285
E486,0.44160947
E8888,0.55522525
E6532,0.38110012
E4165,0.89737636
E3160,0.74930286
E982,0.8940566
E5505,0.6848162
E741,0.82348144
E8115,0.92297065
E7410,0.3659619
E687,0.40806165
E10385,0.39182484
E3446,0.76222044
E1295,0.3636121
E10695,0.48351052
E4417,0.33647218
E5099,0.70506865
E8638,0.8909455
E8886,0.73406696
E398,0.92867655
E7150,0.8652326
E7724,0.5990232
E2655,0.59208864
E9266,0.73571557
E7954,0.9317626
E3814,0.43834737
E2045,0.45706156
E1948,0.5207557
E637,0.53530633
E4060,0.86034304
E2249,0.78098017
E4486,0.93529195
E7770,0.47317195
E6717,0.73799527
E10268,0.62226295
E2382,0.25828958
E4614,0.3250509
E4396,0.85455644
E9562,0.78104234
E7088,0.94231224
E1890,0.89783627
E1764,0.4595314
E9819,0.9443854
E4640,0.40540767
E8385,0.44496188
E2514,0.42052257
E8377,0.9867626
E3496,0.53451854
E1432,0.58485866
E8278,0.65795213
E8219,0.5037303
E380,0.97137344
E416,0.5731884
E7152,0.48651454
E1463,0.90911293
E7247,0.52986825
E3418,0.8951242
E8092,0.442367
E4181,0.5116884
E10669,0.97271335
E6786,0.8521734
E3287,0.8371639
E8885,0.62693214
E7338,0.9059218
E4890,0.45698068
E8264,0.9195977
E5638,0.672727
E5846,0.44510767
E1646,0.85636085
E8763,0.50222397
E3816,0.79250705
E6732,0.9404132
E1303,0.83194965
E9350,0.8489336
E10419,0.8445627
E4563,0.55260617
E647,0.8234914
E344,0.9153384
E9536,0.81875896
E2617,0.56416947
E10825,0.39295647
E1078,0.7663105
E6851,0.6592147
E8879,0.44551557
E6705,0.49290845
E4207,0.73487353
E4483,0.90015364
E9584,0.8277415
E9846,0.83525944
E9459,0.33165592
E1668,0.96053857
E4090,0.47703332
E6989,0.8744028
E564,0.51948595
E9169,0.49826902
E5313,0.49683076
E2354,0.7952177
E5456,0.98633724
E3361,0.86836994
E9856,0.9535593
E6670,0.49808806
E4170,0.8634936
E7122,0.6572874
E3031,0.35335726
E6175,0.4587603
E4828,0.69541895
E817,0.4823698
E7319,0.9541427
E9935,0.4357444
E4198,0.596053
E5379,0.3009616
E9930,0.628588
E3910,0.4313074
E9816,0.8784522
E6957,0.8252678
E10243,0.39245912
E4518,0.75864816
E9633,0.5876613
E3538,0.6635483
E2286,0.5253382
E402,0.6590363
E5129,0.60967743
E4101,0.62522495
E3255,0.52334106
E5177,0.88768345
E10847,0.9662722
E2008,0.57293785
E3681,0.9865189
E3359,0.8301111
E3636,0.69518924
E2480,0.65461403
E8321,0.48497912
E1642,0.3193689
E8054,0.95170647
E5026,0.47779697
E1942,0.3245255
E9332,0.61149514
E5820,0.5330652
E112,0.35596836
E7151,0.92188543
E7897,0.8094918
E4685,0.90975934
E7427,0.6033978
E5077,0.9362544
E9841,0.9332206
E5903,0.4861577
E6297,0.91907996
E8018,0.5053529
E5032,0.8889003
E9927,0.8302223
E5135,0.8074518
E7852,0.8035944
E231,0.8423085
E3393,0.9277407
E3017,0.8023591
E9673,0.4899568
E1172,0.58979946
E6126,0.7567604
E1470,0.73585945
E8896,0.6495378
E3161,0.5052657
E3472,0.441864
E2167,0.7710927
E2636,0.8981869
E8149,0.4137759
E9090,0.66673744
E6847,0.8644029
E2786,0.29405934
E9972,0.40402102
E10107,0.81843853
E3113,0.77318096
E6044,0.62937826
E6075,0.4753583
E5686,0.40430182
E576,0.58620226
E8605,0.5298677
E9563,0.5931573
E8551,0.8959838
E1959,0.35289323
E379,0.5227066
E215,0.6564298
E2899,0.3603045
E5092,0.4967317
E8581,0.5807501
E407,0.8284711
E5325,0.44567794
E8198,0.9831268
E10722,0.39373857
E7543,0.737927
E5393,0.8554548
E10077,0.8941751
E7679,0.40399694
E10621,0.9267924
E9672,0.4021351
E4168,0.41135308
E1340,0.79249734
E5498,0.9045569
E4826,0.30469114
E3632,0.687071
E9797,0.91871035
E9581,0.7227337
E7235,0.5811255
E8968,0.70157105
E8842,0.84684503
E4905,0.70788497
E6544,0.43682662
E6785,0.46136263
E10443,0.5572424
E5131,0.35251424
E7879,0.8816705
E226,0.9643542
E2087,0.652986
E8023,0.7689769
E6833,0.79374874
E10586,0.71622723
E5192,0.6701957
E1223,0.54749185
E10350,0.95450014
E6395,0.3507959
E8309,0.867346
E9958,0.38294038
E8486,0.8851073
E8378,0.7726976
E4988,0.88154113
E9014,0.36198798
E3392,0.26590043
E8493,0.37288162
E5838,0.5466901
E9295,0.7627924
E5932,0.29226327
E176,0.99829024
E1795,0.91855955
E6864,0.8228004
E1578,0.6722961
E8815,0.4349385
E1280,0.727791
E8566,0.8219319
E78,0.82531744
E6884,0.2754568
E2651,0.49820817
E6771,0.93962896
E1053,0.9416096
E7258,0.7040458
E7447,0.5635439
E8518,0.83369035
E3787,0.7151781
E10426,0.9149371
E6454,0.44633418
E1420,0.75517994
E7043,0.76824313
E8085,0.9700299
E4512,0.7931866
E3692,0.67708284
E185,0.2535354
E8415,0.9505019
E7100,0.3398454
E7943,0.9894692
E2820,0.693986
E1479,0.43895897
E10025,0.9055858
E1439,0.35459283
E7166,0.5365487
E3685,0.7406126
E6442,0.4005889
E5688,0.5149677
E5565,0.69364667
E2486,0.4252616
E10689,0.5641958
E10331,0.6477277
E1785,0.80730283
E50,0.6574476
E2609,0.7760286
E7228,0.76428103
E1055,0.89335424
E4306,0.589403
E9291,0.86444074
E317,0.6404222
E5867,0.34900647
E874,0.3600969
E7027,0.39434403
E8992,0.3477458
E6380,0.6617081
E9269,0.937861
E501,0.32216617
E971,0.55218863
E6588,0.6585552
E6545,0.70922744
E10626,0.7284073
E3134,0.40574676
E4650,0.84992915
E3992,0.3848703
E4522,0.44834748
E512,0.86945933
E2459,0.92604107
E349,0.44594386
E2547,0.45955965
E8112,0.69442517
E493,0.36137107
E10769,0.7034543
E10300,0.49687597
E9007,0.88380104
E281,0.9667714
E6489,0.9408351
E5485,0.60152465
E4173,0.74878
E1566,0.8722512
E10407,0.38332424
E560,0.92600846
E2932,0.35463476
E8166,0.7514043
E7355,0.40142593
E705,0.41732973
E6017,0.36696687
E3186,0.61384916
E2921,0.85336465
E7386,0.5091639
E7926,0.40837917
E76,0.8000265
E6718,0.8508032
E7072,0.8938907
E7860,0.7299189
E5785,0.27346036
E4745,0.99048775
E3061,0.77560943
E1217,0.7386229
E3719,0.1971043
E436,0.45986626
E7429,0.19238435
E844,0.54734015
E6919,0.76415974
E9385,0.88720953
E9141,0.85160905
E10500,0.95667255
E3919,0.5275001
E3861,0.989578
E10488,0.37309408
E3748,0.5242994
E9168,0.31357852
E9853,0.47036943
E7503,0.6634371
E7671,0.72854537
E1069,0.46638253
E8950,0.55494833
E2709,0.29909295
E5402,0.43416595
E961,0.8222954
E723,0.83202875
E7686,0.5555839
E5594,0.4404216
E5018,0.9802376
E7974,0.48245504
E3665,0.6976439
E9977,0.82318604
E2396,0.4136928
E6976,0.4589165
E10286,0.4751232
E7669,0.80720526
E5049,0.32438546
E6433,0.585628
E4205,0.22971477
E7314,0.84846747
E7596,0.5377418
E1907,0.51241755
E6255,0.56442976
E125,0.5054426
E7996,0.33455676
E8545,0.6274969
E2466,0.98013824
E9985,0.55127156
E4184,0.5478193
E2551,0.934044
E10783,0.51199156
E1122,0.9245217
E7581,0.44792774
E972,0.6669934
E2744,0.9770389
E3549,0.5424023
E8699,0.9218391
E5723,0.48754808
E5106,0.35222694
E3154,0.96807265
E122,0.53829706
E1179,0.66705465
E4627,0.64379585
E864,0.32293284
E9915,0.3956033
E9479,0.8347892
E5827,0.66803265
E3746,0.3281683
E8505,0.37592003
E9560,0.92544997
E4221,0.92435217
E569,0.51249367
E9886,0.9557549
E5270,0.74842626
E6899,0.93522894
E10337,0.8684183
E8391,0.49455824
E1960,0.4342262
E8356,0.7064241
E2435,0.6879452
E3067,0.99716187
E1286,0.68235564
E6056,0.42351758
E4767,0.7822507
E589,0.4977112
E10478,0.669599
E9487,0.5161955
E8026,0.5603402
E7536,0.67416865
E1127,0.8564969
E7741,0.763499
E1401,0.36703202
E4975,0.8536088
E1614,0.46729016
E10403,0.8803468
E6443,0.88095725
E5679,0.8978231
E5743,0.64351517
E809,0.6308384
E10461,0.6869518
E7124,0.34523338
E156,0.7603629
E4247,0.7400693
E2889,0.79691046
E7965,0.41543475
E9311,0.8564183
E5717,0.63403594
E7171,0.623179
E7630,0.7043135
E1369,0.5262067
E2603,0.5794418
E4775,0.5421566
E3489,0.69974047
E6138,0.32540107
E8409,0.96942556
E7256,0.32325202
E4055,0.6113219
E9425,0.41246876
E1320,0.5747324
E9609,0.6340107
E829,0.6559562
E57,0.60625166
E5385,0.42066544
E10104,0.37819374
E1299,0.8974115
E7106,0.2888159
E3923,0.2262112
E374,0.6206411
E5351,0.73312426
E5953,0.4402125
E1129,0.5550566
E3694,0.88434213
E5987,0.8591026
E6232,0.34749156
E2475,0.7093358
E9120,0.884516
E4653,0.8866813
E7923,0.47524455
E9814,0.66352475
E1669,0.8879103
E3294,0.8355236
E5832,0.49420664
E6394,0.5826398
E8637,0.87161434
E9402,0.7346128
E2660,0.82102203
E9998,0.38798323
E2520,0.36267912
E3897,0.2953866
E1574,0.9073738
E3523,0.87817043
E9715,0.46443263
E2431,0.52165836
E651,0.79696625
E8943,0.43870702
E3853,0.9307156
E7459,0.43662953
E7532,0.51028734
E7275,0.550875
E2377,0.9586265
E5369,0.25707856
E9163,0.3843252
E1562,0.95721376
E9796,0.89635736
E4691,0.6147198
E9478,0.91162515
E1408,0.9687092
E8870,0.5273641
E8559,0.8924498
E5853,0.8513027
E10828,0.31134465
E10092,0.6974563
E2989,0.47724012
E556,0.6512692
E9231,0.38713998
E10554,0.57838976
E5309,0.6826496
E5033,0.37472624
E314,0.9849413
E387,0.8568246
E2170,0.41399482
E3675,0.50381726
E4528,0.6774963
E10641,0.8877728
E5590,0.7443892
E2308,0.41779876
E6285,0.44957888
E1548,0.49022067
E9612,0.94923264
E10360,0.35189152
E10723,0.8839354
E10256,0.49854594
E52,0.96416193
E4542,0.7342592
E7102,0.37662816
E7129,0.47417772
E3280,0.25801086
E6713,0.5071514
E9602,0.4221601
E3670,0.7819694
E7733,0.93484133
E5695,0.41766393
E2107,0.3634139
E8785,0.86189103
E4225,0.4783221
E10177,0.88048494
E7267,0.32526833
E10589,0.3064868
E1741,0.6033978
E10632,0.6866137
E7955,0.8084012
E5978,0.9471783
E8824,0.7386801
E3245,0.90026546
E8040,0.57331467
E2417,0.872403
E334,0.91660887
E4568,0.8298068
E3502,0.8213014
E4861,0.86611956
E441,0.804379
E6239,0.8192611
E3805,0.6388805
E6252,0.8779071
E7194,0.82821125
E845,0.43941554
E6033,0.45880234
E1305,0.6549528
E3373,0.8714923
E3799,0.84102845
E8235,0.78088486
E8564,0.90649337
E376,0.5284686
E10830,0.37500948
E8070,0.3807284
E3133,0.77636945
E2813,0.8302554
E7622,0.45492354
E2048,0.5585902
E3299,0.8616272
E2029,0.87172645
E8182,0.43991107
E1403,0.5691168
E7420,0.8976301
E9279,0.97133213
E2320,0.8467289
E3382,0.2186576
E3128,0.84606856
E9520,0.8190019
E5297,0.8645429
E8554,0.78477263
E1638,0.8519132
E1304,0.34895095
E735,0.8982242
E7840,0.9873897
E236,0.91281927
E2697,0.9436946
E9481,0.9009787
E10166,0.86428833
E95,0.93609965
E2278,0.89553577
E3304,0.3613315
E9222,0.86986613
E358,0.88835037
E3490,0.89225966
E9380,0.911102
E823,0.49527544
E5138,0.8571688
E4223,0.89202136
E10462,0.65284073
E8792,0.48358032
E899,0.62590224
E893,0.4025722
E3045,0.54477054
E4490,0.59257895
E2147,0.50232357
E1428,0.63301975
E9959,0.4874427
E716,0.65044665
E5962,0.5137404
E8782,0.90557075
E2324,0.29230717
E6309,0.6867851
E2562,0.5518858
E5013,0.5835307
E6273,0.7259324
E1970,0.97545683
E5885,0.4696743
E171,0.84842837
E5845,0.8660239
E2092,0.5848749
E2316,0.3465563
E6766,0.5730643
E3438,0.77781796
E9567,0.87829685
E8707,0.87465376
E4437,0.36455914
E5765,0.4548521
E1185,0.53478795
E359,0.812468
E7561,0.92824084
E7640,0.46394858
E3388,0.49414724
E877,0.37872633
E4143,0.22899097
E144,0.5735847
E9684,0.7377424
E9678,0.44264963
E7511,0.84376746
E9938,0.24248827
E10289,0.37038532
E4472,0.3779003
E1272,0.44610545
E3976,0.650908
E10734,0.40217933
E2297,0.4796455
E2725,0.58260024
E17,0.9866963
E246,0.9581405
E9505,0.85677415
E1806,0.76264656
E2784,0.4679431
E4208,0.8412054
E857,0.75822175
E7109,0.44637883
E3903,0.99382097
E10057,0.858416
E9867,0.81966275
E9486,0.9648484
E6700,0.91562784
E3548,0.9595509
E10581,0.54993206
E2254,0.5360349
E6981,0.84137434
E544,0.8142792
E3482,0.6331491
E7726,0.35892406
E157,0.4039675
E5979,0.6514868
E3120,0.89165753
E9777,0.7013056
E7763,0.4710218
E4882,0.6548743
E6144,0.7873815
E5894,0.6509599
E10490,0.38908735
E4250,0.8190312
E1247,0.51294297
E10804,0.46611157
E3284,0.9936737
E2849,0.5299552
E9043,0.7427551
E4809,0.42394203
E2936,0.49185663
E9110,0.73756546
E3564,0.40437207
E5387,0.44391483
E1645,0.87585807
E8957,0.8640982
E3579,0.7937413
E539,0.56334984
E8447,0.3311232
E3730,0.93920404
E6821,0.7891158
E6249,0.74958926
E7415,0.5201544
E4047,0.4148756
E4070,0.45929173
E5392,0.41745412
E10061,0.26397753
E2893,0.9332033
E10673,0.89138454
E5674,0.5439051
E4713,0.94248104
E10335,0.78055274
E606,0.7312286
E743,0.5273894
E7828,0.672524
E2915,0.9058924
E256,0.8148165
E473,0.31919855
E9218,0.38246074
E7550,0.87744504
E1571,0.72121924
E5980,0.72180265
E3020,0.5872301
E8048,0.50615877
E2504,0.3968423
E5703,0.84842837
E1955,0.7900166
E1862,0.95798063
E8649,0.55371577
E2772,0.7882188
E5050,0.7785109
E6115,0.8463208
E3889,0.6654264
E521,0.6292788
E4839,0.67657167
E8795,0.45928133
E4755,0.56448495
E404,0.37864244
E623,0.83985484
E8173,0.4950615
E6439,0.4080398
E1132,0.6156105
E1888,0.7658746
E264,0.3140967
E5682,0.8933158
E8288,0.7067089
E6758,0.66096634
E10676,0.44740522
E8017,0.76846707
E4344,0.8500219
E10714,0.45761088
E417,0.85551906
E6694,0.9675666
E2716,0.7543119
E4032,0.6056844
E4279,0.58586323
E162,0.82503825
E5977,0.79278237
E3135,0.8670728
E1462,0.4921491
E5934,0.8653951
E999,0.86061245
E6097,0.8680926
E6053,0.83953804
E7481,0.9893918
E10433,0.93284833
E9053,0.5099755
E7277,0.78473455
E2288,0.6653326
E5870,0.5347918
E2152,0.47549185
E5974,0.80815685
E6206,0.92384034
E5088,0.86818296
E6955,0.32566512
E2523,0.42682332
E910,0.41434547
E5920,0.63533324
E7495,0.5963644
E8911,0.49149364
E5804,0.7489815
E7677,0.70349616
E2677,0.32904786
E1879,0.4772351
E3918,0.3494911
E9879,0.32787174
E423,0.86361814
E4431,0.4514063
E9348,0.3704703
E20,0.7443148
E535,0.9784758
E111,0.3754232
E10639,0.500414
E8037,0.72921383
E7054,0.9037702
E6127,0.25460124
E9455,0.5310383
E3025,0.8928413
E1892,0.48705995
E3440,0.51749945
E802,0.7513473
E3327,0.95697963
E9579,0.38735285
E7147,0.7061773
E4176,0.6335132
E475,0.34322292
E9440,0.9240799
E4202,0.8476889
E8688,0.5907555
E4524,0.91024554
E10033,0.89660156
E1001,0.7324593
E10518,0.8202808
E3471,0.7354987
E3547,0.7115384
E5756,0.2980917
E4094,0.9088991
E9503,0.93319815
E5334,0.62908727
E3734,0.35865366
E4660,0.522426
E2371,0.81912345
E1916,0.41114423
E2741,0.4840755
E8618,0.3934669
E7951,0.49078688
E3454,0.76725954
E8698,0.7986529
E3153,0.57585174
E7165,0.82016295
E835,0.82395786
E925,0.73026675
E2162,0.7073275
E10572,0.3457073
E4295,0.9123926
E7666,0.6466749
E9626,0.87508476
E5341,0.92721206
E7870,0.3499044
E6031,0.52855563
E10784,0.48479837
E1066,0.5655309
E390,0.87456
E1744,0.26705784
E3944,0.3246818
E4420,0.82526374
E6774,0.50699085
E3333,0.8331815
E2080,0.9208516
E6798,0.65661377
E2876,0.72643924
E8473,0.46490246
E7980,0.3695863
E6451,0.8284786
E10625,0.88016444
E10404,0.5458129
E3818,0.49997437
E641,0.4607156
E3521,0.39319557
E6791,0.8925634
E7837,0.82020205
E964,0.42861542
E4499,0.590234
E6741,0.44767076
E8033,0.57404435
E10190,0.48371965
E5500,0.74488693
E9885,0.58793604
E10739,0.522248
E54,0.5329849
E9121,0.76303357
E10242,0.9519191
E2863,0.6445218
E3366,0.82617116
E1730,0.7269875
E4710,0.51963025
E4454,0.7779991
E3835,0.4851079
E2722,0.8819513
E227,0.8271508
E1913,0.79854864
E7587,0.4457481
E9215,0.68004483
E8666,0.9920804
E7866,0.27188227
E5693,0.98386014
E6546,0.71269923
E10069,0.46419886
E8122,0.8967566
E2161,0.24365562
E1099,0.7703387
E2627,0.7804956
E7176,0.42469233
E4811,0.81433666
E2005,0.6265252
E7642,0.64892316
E3224,0.7592737
E1517,0.22612934
E4156,0.8917627
E5816,0.89029956
E7012,0.5076313
E3769,0.31966954
E1195,0.8273632
E8711,0.9070292
E5781,0.42397588
E4899,0.8639547
E1126,0.36298373
E2407,0.7671473
E5523,0.816127
E6883,0.9757342
E5331,0.48725402
E6111,0.42643216
E993,0.9249737
E4847,0.9824791
E8029,0.9007637
E3892,0.8967466
E5925,0.9056859
E6201,0.4143039
E6379,0.413279
E7398,0.4344908
E5112,0.9801223
E10550,0.7089747
E860,0.48919418
E888,0.87255794
E5672,0.8645429
E7826,0.6837488
E952,0.5661695
E572,0.86351174
E7557,0.87394077
E4370,0.44782615
E3214,0.77991396
E2112,0.4617687
E270,0.77664536
E10221,0.7299554
E1570,0.45312575
E1140,0.97359663
E4962,0.294811
E2640,0.51589406
E4664,0.81362003
E9989,0.6664116
E1592,0.9205172
E9150,0.77447546
E9492,0.4651445
E10315,0.97831625
E9214,0.61075306
E2500,0.775366
E529,0.46297434
E8247,0.8039538
E8562,0.94625217
E1153,0.98421836
E7114,0.52728057
E9870,0.31346902
E7407,0.40533575
E5037,0.93452847
E2014,0.40108
E983,0.8110774
E7716,0.45215523
E709,0.84317976
E202,0.8277657
E449,0.8287438
E4029,0.6114118
E1022,0.99878186
E5225,0.9998754
E766,0.66095394
E1593,0.59014326
E6428,0.7087198
E3643,0.8868307
E6347,0.37930536
E4984,0.73490095
E6802,0.64663047
E9519,0.85636085
E4622,0.45307645
E621,0.6311011
E9408,0.9216068
E6737,0.76302
E1040,0.9141837
E6196,0.73512524
E2251,0.67996585
E5319,0.55367726
E1166,0.6411038
E991,0.8974876
E5834,0.74753916
E9667,0.54983497
E363,0.7001784
E6487,0.42332226
E474,0.6695086
E9127,0.8695857
E10705,0.5330659
E4409,0.88768345
E6125,0.87647945
E9276,0.86284316
E10196,0.8368957
E6134,0.8229034
E9982,0.45193657
E134,0.93862796
E10686,0.55120844
E9665,0.5580572
E1582,0.5921544
E5273,0.85917485
E7670,0.53865016
E2023,0.9346479
E10412,0.9806168
E1628,0.8427119
E1103,0.40124017
E5436,0.89175195
E9773,0.24400225
E8517,0.3931144
E1386,0.6619747
E4319,0.9293557
E263,0.5581622
E5465,0.49647862
E5850,0.83789754
E788,0.6692731
E5537,0.5147728
E143,0.76849395
E10066,0.60789526
E213,0.7746042
E9247,0.8268117
E7962,0.90808004
E2325,0.34450316
E7097,0.8239053
E10049,0.45871785
E8989,0.57257986
E10209,0.36883086
E793,0.49291143
E2456,0.96338415
E6048,0.83899254
E5067,0.91252613
E1373,0.40628886
E1076,0.98608625
E5751,0.88253045
E10843,0.9757283
E10772,0.41400176
E1183,0.2530314
E4891,0.5009665
E4157,0.78148556
E592,0.94998735
E10215,0.86739963
E3033,0.6561945
E333,0.59746677
E9420,0.76155597
E4252,0.26451614
E5798,0.8513938
E8732,0.97206986
E5272,0.4690839
E104,0.33200422
E6279,0.73323685
E3978,0.6161981
E2527,0.84455055
E2824,0.910169
E9268,0.47656047
E1784,0.7774614
E3862,0.3862588
E7945,0.43352848
E1885,0.90704983
E5778,0.90351194
E4131,0.513012
E9156,0.36025247
E9109,0.6520461
E10096,0.34514993
E818,0.86049896
E8216,0.77351683
E7212,0.587964
E3858,0.6570142
E5543,0.3419341
E3375,0.60475653
E7422,0.40470794
E10445,0.9851466
E2025,0.3891107
E1936,0.59258765
E9571,0.86698896
E177,0.81362003
E80,0.8893059
