id,prob
E370,0.71411395
E667,0.32898462
E3190,0.26350048
E848,0.5058492
E2161,0.9191101
E1391,0.6096651
E1084,0.811901
E1801,0.565529
E2730,0.41798827
E828,0.86603653
E1795,0.41681638
E1880,0.69126415
E1948,0.88001895
E1545,0.8596822
E2904,0.542542
E2835,0.38569722
E2349,0.19542398
E2046,0.31510377
E1229,0.8345428
E2845,0.99996054
E2125,0.54165006
E3127,0.45968008
E1721,0.80725545
E1253,0.1521398
E3050,0.93449455
E212,0.9225989
E3193,0.26923683
E1195,0.3534823
E699,0.47577608
E2930,0.43723652
E963,0.32897943
E2848,0.34943676
E2261,0.80854535
E2091,0.99642205
E3113,0.8539834
E2717,0.7762214
E1775,0.39819235
E1922,0.82425207
E2239,0.3962435
E1074,0.8128481
E552,0.26592505
E1657,0.68636507
E943,0.6863748
E1139,0.8955388
E2663,0.7550138
E2992,0.8878036
E3111,0.4556111
E1885,0.923392
E2428,0.469493
E1627,0.78518367
E2575,0.8605328
E824,0.38926703
E660,0.9999871
E1706,0.87944776
E863,0.52933073
E1289,0.72217435
E389,0.86132956
E802,0.96231204
E520,0.9477087
E1829,0.95247424
E2307,0.28852606
E566,0.8656466
E451,0.432868
E353,0.5382459
E201,0.87043595
E1736,0.9996106
E2320,0.5541081
E207,0.27345708
E1971,0.50285625
E312,0.87055576
E1968,0.8603719
E1170,0.9942578
E625,0.9998324
E3170,0.489637
E3087,0.9758138
E2913,0.52314335
E2006,0.7938734
E133,0.96231204
E646,0.75038224
E17,0.89835703
E1474,0.5343656
E1846,0.40126702
E1689,0.37977442
E1990,0.9719002
E374,0.9548353
E1027,0.2552287
E1428,0.6033926
E488,0.8388993
E1056,0.8593526
E1303,0.91096246
E1740,0.99981374
E2264,0.32362396
E1758,0.9085724
E8,0.28315458
E2298,0.89320165
E1731,0.67008674
E1475,0.91887504
E2510,0.7812427
E1857,0.63037264
E834,0.847562
E1380,0.48223838
E1588,0.8282126
E2759,0.99734145
E214,0.9167221
E2591,0.8286052
E2771,0.3923258
E493,0.9225989
E1977,0.36591935
E2355,0.97314703
E2498,0.98237383
E2107,0.7936178
E2043,0.2608759
E2560,0.8829734
E1176,0.95395726
E1456,0.99541414
E228,0.34814933
E622,0.85298216
E393,0.9999596
E731,0.8594021
E1336,0.6959765
E2187,0.9879871
E177,0.9568105
E1541,0.804944
E562,0.58706015
E1720,0.53546304
E2060,0.5633091
E225,0.8810006
E2114,0.8101675
E1310,0.25853887
E2785,0.99799794
E3152,0.7456056
E1983,0.39435685
E445,0.41606173
E850,0.89605623
E2740,0.48843595
E1159,0.9432975
E1505,0.28710866
E50,0.39057037
E1078,0.2582256
E2549,0.40510777
E1187,0.7863921
E1844,0.4321465
E558,0.8059152
E2741,0.9226613
E1334,0.8234778
E3206,0.9320509
E1262,0.37207678
E3178,0.50119567
E2728,0.7508304
E2870,0.9662918
E2970,0.8151663
E3022,0.6633673
E2503,0.42994338
E1228,0.42775956
E3169,0.99995995
E2799,0.95073503
E1114,0.96231204
E273,0.6874497
E688,0.9987311
E707,0.8869362
E3039,0.988699
E292,0.55554277
E975,0.66732746
E1476,0.9372879
E2247,0.8803068
E691,0.96231204
E920,0.90330833
E1681,0.6064882
E475,0.2430181
E2699,0.8853515
E1201,0.3069066
E2002,0.99676454
E2104,0.89248335
E197,0.528653
