id,prob
E10559,0.33119655
E4849,0.4955874
E3964,0.65844077
E542,0.4561378
E331,0.25185162
E10471,0.4600768
E9186,0.53912663
E5576,0.5779837
E9705,0.5117911
E7309,0.5645325
E476,0.4213113
E5217,0.54399633
E7653,0.36756626
E1530,0.378724
E10379,0.654318
E1516,0.36905512
E9418,0.35447052
E9388,0.47571188
E10737,0.4391569
E5290,0.6918376
E6010,0.4328777
E4307,0.3609104
E4548,0.5717396
E3030,0.31285557
E68,0.50924814
E5739,0.5738094
E2394,0.44845355
E3629,0.46154824
E8652,0.64407617
E5779,0.6190839
E10269,0.44808364
E7456,0.4681394
E9199,0.4873013
E1606,0.33840853
E9077,0.3814688
E9576,0.27192992
E2810,0.38533244
E1091,0.58861494
E2755,0.41552138
E1405,0.5907532
E2213,0.55175436
E1321,0.29798815
E10797,0.39704344
E7340,0.44106498
E9659,0.5235912
E1678,0.44401374
E9591,0.22587347
E6377,0.3069744
E10130,0.33551764
E5582,0.49445704
E9510,0.8156826
E4237,0.30389282
E10470,0.7452538
E7528,0.4658376
E2567,0.33389097
E6083,0.3801299
E6735,0.50069445
E6800,0.52647847
E2293,0.22982715
E1633,0.37131855
E10659,0.73712087
E543,0.18715554
E7177,0.3643756
E4126,0.54145104
E2850,0.73985136
E2078,0.581754
E5746,0.42607102
E2445,0.60897255
E2958,0.4325002
E3497,0.4962488
E5069,0.32850832
E8995,0.53248936
E8220,0.89053065
E4354,0.87498343
E7578,0.38916147
E2122,0.38475996
E6661,0.42181695
E2582,0.56370074
E1836,0.43002814
E7881,0.4616287
E6685,0.82707876
E113,0.48096892
E1161,0.35415578
E8062,0.44383174
E5637,0.6791658
E4470,0.8732215
E6905,0.43917686
E7553,0.40144068
E7773,0.18375248
E1991,0.49742505
E3997,0.45509878
E5326,0.53076595
E3076,0.60944134
E2018,0.50078064
E594,0.61277795
E2971,0.40623924
E6692,0.48837078
E3383,0.45526797
E8755,0.77728957
E1494,0.35763216
E7725,0.48874387
E8265,0.5292864
E8021,0.85618234
E7110,0.46167606
E8495,0.4968814
E6551,0.46313792
E10716,0.6482983
E9434,0.45036635
E2128,0.4124713
E8123,0.54526794
E1658,0.32977137
E7504,0.600008
E8552,0.5205808
E798,0.19566001
E5976,0.4918726
E6501,0.67387694
E8648,0.61909103
E7213,0.4798676
E6667,0.37129548
E6701,0.4673572
E4011,0.38197738
E6880,0.4832382
E2679,0.4566302
E10280,0.4881191
E6213,0.92747325
E7717,0.3585506
E5342,0.6972645
E3783,0.36891797
E4763,0.3772601
E8563,0.4906476
E8256,0.4946147
E7562,0.46095458
E8807,0.40555137
E1160,0.3988595
E6757,0.533517
E4130,0.6690526
E10778,0.36404407
E6789,0.5334152
E1448,0.687652
E1869,0.37745506
E10537,0.48259693
E8348,0.38688573
E5158,0.3988361
E5939,0.13343512
E10623,0.2947794
E4941,0.4356248
E9068,0.39362904
E9894,0.41261443
E1121,0.4433641
E5634,0.8052891
E3890,0.87122464
E10467,0.454104
E3728,0.5077143
E3943,0.4077152
E6303,0.41719532
E9052,0.4378688
E533,0.4506082
E132,0.48519105
E1580,0.63235676
E4034,0.46037537
E9422,0.3611628
E2575,0.37715143
E1043,0.41037723
E8480,0.32866365
E10111,0.45692712
E330,0.3803306
E7838,0.84285206
E9529,0.5124153
E5397,0.66347325
E6862,0.47469988
E3740,0.5343595
E118,0.44328678
E8133,0.6040031
E8441,0.37691492
E4814,0.6663472
E5592,0.5030043
E4117,0.4324834
E7793,0.40308157
E2368,0.41935328
E9954,0.43569893
E10307,0.5653753
E7729,0.49063423
E1123,0.537154
E5155,0.43494493
E5224,0.51125425
E2789,0.62800294
E8483,0.5348079
E10552,0.63030905
E8884,0.47555992
E10377,0.38583726
