id,prob
E10559,0.5554322
E4849,0.63194174
E3964,0.83300924
E542,0.6215603
E331,0.8667428
E10471,0.80616766
E9186,0.3389722
E5576,0.39250988
E9705,0.69563085
E7309,0.89403206
E476,0.81281966
E5217,0.4030866
E7653,0.585767
E1530,0.6411915
E10379,0.760945
E1516,0.6925336
E9418,0.8519024
E9388,0.44951528
E10737,0.7642635
E5290,0.8538651
E6010,0.5024253
E4307,0.5039671
E4548,0.37391838
E3030,0.6062508
E68,0.854433
E5739,0.8706073
E2394,0.66264606
E3629,0.7858163
E8652,0.95414454
E5779,0.6025811
E10269,0.8399609
E7456,0.59837556
E9199,0.37782845
E1606,0.8145906
E9077,0.9222573
E9576,0.39239126
E2810,0.9511795
E1091,0.9670145
E2755,0.41034263
E1405,0.3884626
E2213,0.48613775
E1321,0.45146003
E10797,0.5320794
E7340,0.6068798
E9659,0.8843764
E1678,0.91863716
E9591,0.37069058
E6377,0.95328057
E10130,0.8749425
E5582,0.4279748
E9510,0.3484298
E4237,0.4837038
E10470,0.61295825
E7528,0.7888727
E2567,0.69836533
E6083,0.33461216
E6735,0.8490636
E6800,0.8043913
E2293,0.39807013
E1633,0.5440893
E10659,0.94504446
E543,0.34450746
E7177,0.5863354
E4126,0.4739444
E2850,0.48321787
E2078,0.4385791
E5746,0.8483479
E2445,0.8410365
E2958,0.46127257
E3497,0.92504686
E5069,0.8858921
E8995,0.6196147
E8220,0.91956323
E4354,0.80177265
E7578,0.3805015
E2122,0.82202464
E6661,0.49246943
E2582,0.5821926
E1836,0.6035753
E7881,0.6155249
E6685,0.389266
E113,0.4179485
E1161,0.40871152
E8062,0.5390423
E5637,0.324703
E4470,0.90596676
E6905,0.6239837
E7553,0.5288842
E7773,0.39594448
E1991,0.8872093
E3997,0.7996827
E5326,0.5043102
E3076,0.8804096
E2018,0.4619739
E594,0.4419522
E2971,0.3435841
E6692,0.8756363
E3383,0.9513658
E8755,0.65010697
E1494,0.89247084
E7725,0.51242757
E8265,0.5618013
E8021,0.5782407
E7110,0.6055413
E8495,0.97573656
E6551,0.39683923
E10716,0.4296234
E9434,0.32560733
E2128,0.8961913
E8123,0.45124322
E1658,0.9505372
E7504,0.49015096
E8552,0.4733948
E798,0.89383656
E5976,0.69134843
E6501,0.36250195
E8648,0.72102165
E7213,0.70957166
E6667,0.42254618
E6701,0.50276035
E4011,0.8624994
E6880,0.3988993
E2679,0.68354845
E10280,0.44005617
E6213,0.968164
E7717,0.8315653
E5342,0.62162524
E3783,0.99802643
E4763,0.4729887
E8563,0.74154514
E8256,0.72009194
E7562,0.59778047
E8807,0.9262727
E1160,0.802426
E6757,0.5489566
E4130,0.56696886
E10778,0.41498613
E6789,0.5725833
E1448,0.5108202
E1869,0.78151447
E10537,0.551015
E8348,0.47413516
E5158,0.34967518
E5939,0.9118071
E10623,0.45819238
E4941,0.63002765
E9068,0.55896956
E9894,0.60405594
E1121,0.9294143
E5634,0.9050077
E3890,0.9033338
E10467,0.516331
E3728,0.6390961
E3943,0.7404372
E6303,0.55332845
E9052,0.81324697
E533,0.9655974
E132,0.43501472
E1580,0.7287323
E4034,0.54260576
E9422,0.5603965
E2575,0.9178246
E1043,0.66281545
E8480,0.46871388
E10111,0.51651543
E330,0.46183634
E7838,0.6612024
E9529,0.470892
E5397,0.54650265
E6862,0.7375231
E3740,0.8194287
E118,0.32068673
E8133,0.2928691
E8441,0.74843436
E4814,0.6125125
E5592,0.6497124
E4117,0.5581875
E7793,0.8237808
E2368,0.4999124
E9954,0.5228994
E10307,0.6670955
E7729,0.8901605
E1123,0.7683558
E5155,0.8092006
E5224,0.5857984
E2789,0.3261912
E8483,0.29030284
E10552,0.50548434
E8884,0.84154737
E10377,0.34988964
E10193,0.41551855
E5811,0.5904534
E8541,0.7931428
E486,0.8994171
E8888,0.8900996
E6532,0.96804875
E4165,0.954953
E3160,0.9604027
E982,0.7781557
E5505,0.7658444
E741,0.5364045
E8115,0.76320505
E7410,0.22164643
E687,0.39869657
E10385,0.58117294
E3446,0.4711021
E1295,0.8193158
E10695,0.52232933
E4417,0.43105996
E5099,0.71880174
E8638,0.4029365
E8886,0.8401863
E398,0.8718151
E7150,0.7555841
E7724,0.5271373
E2655,0.64977425
E9266,0.8544626
E7954,0.41393852
E3814,0.6553306
E2045,0.33473176
E1948,0.6201725
E637,0.6240779
E4060,0.536078
E2249,0.95518595
E4486,0.46619254
E7770,0.7663294
E6717,0.47767535
E10268,0.35574096
E2382,0.47223336
E4614,0.8143749
E4396,0.9346778
E9562,0.58538747
E7088,0.89661837
E1890,0.97006077
E1764,0.64952534
E9819,0.86312336
E4640,0.8949605
E8385,0.83187217
E2514,0.6491842
E8377,0.530982
E3496,0.7897593
E1432,0.40539175
E8278,0.41103047
E8219,0.48755488
E380,0.91757065
E416,0.57918024
E7152,0.48513192
E1463,0.83765054
E7247,0.82766163
E3418,0.8959331
E8092,0.7708916
E4181,0.3204745
E10669,0.50430393
E6786,0.9725419
E3287,0.58456564
E8885,0.51215196
E7338,0.40045035
E4890,0.8127911
E8264,0.56772625
E5638,0.41270727
E5846,0.49467012
E1646,0.51261246
E8763,0.6769338
E3816,0.9356224
E6732,0.5133631
E1303,0.79251605
E9350,0.42754328
E10419,0.9661126
E4563,0.6602508
E647,0.7321388
E344,0.29634404
E9536,0.85507727
E2617,0.74751884
E10825,0.2735109
E1078,0.8753043
E6851,0.8349387
E8879,0.56916255
E6705,0.35697573
E4207,0.6586118
E4483,0.46097767
E9584,0.40815166
E9846,0.70854884
E9459,0.76820916
E1668,0.5874784
E4090,0.3115705
E6989,0.7983697
E564,0.39433634
E9169,0.53409487
E5313,0.88760346
E2354,0.6099924
E5456,0.37220562
E3361,0.463386
E9856,0.7370071
E6670,0.6955125
E4170,0.8077377
E7122,0.89347804
E3031,0.34475672
E6175,0.8828173
E4828,0.92953324
E817,0.9536865
E7319,0.94548684
E9935,0.8700851
E4198,0.43937385
E5379,0.31914806
E9930,0.4579995
E3910,0.5056687
E9816,0.40977985
E6957,0.5233273
E10243,0.58233535
E4518,0.63433146
E9633,0.76909214
E3538,0.85242516
E2286,0.52164483
E402,0.8023984
E5129,0.94499135
E4101,0.40857625
E3255,0.7163634
E5177,0.9746606
E10847,0.9012102
E2008,0.8682502
E3681,0.86880404
E3359,0.8231411
E3636,0.716958
E2480,0.4078736
E8321,0.47023168
E1642,0.5127785
E8054,0.52997917
E5026,0.8072751
E1942,0.772203
E9332,0.73664945
E5820,0.86020726
E112,0.997581
E7151,0.48147976
E7897,0.6439891
E4685,0.60374343
E7427,0.78178346
E5077,0.35904565
E9841,0.4799222
E5903,0.4987258
E6297,0.8394834
E8018,0.82240665
E5032,0.6748275
E9927,0.5515871
E5135,0.4181204
E7852,0.80105025
E231,0.45395386
E3393,0.81770855
E3017,0.55717444
E9673,0.5304043
E1172,0.84825426
E6126,0.90805537
E1470,0.88494205
E8896,0.6675706
E3161,0.83835024
E3472,0.7969081
E2167,0.7708428
E2636,0.44857493
E8149,0.7688403
E9090,0.748044
E6847,0.85788924
E2786,0.9435854
E9972,0.82250285
E10107,0.86424285
E3113,0.49940875
E6044,0.7459121
E6075,0.4598433
E5686,0.7519127
E576,0.92507696
E8605,0.39770624
E9563,0.6955092
E8551,0.57849425
E1959,0.58160627
E379,0.96904266
E215,0.60221696
E2899,0.4697677
E5092,0.49744684
E8581,0.7712036
E407,0.66974
E5325,0.7135574
E8198,0.8661476
E10722,0.5014793
E7543,0.6109591
E5393,0.5763884
E10077,0.42982137
E7679,0.38772476
E10621,0.41031092
E9672,0.86508995
E4168,0.8741076
E1340,0.51638705
E5498,0.4498796
E4826,0.40385804
E3632,0.3805823
E9797,0.74195343
E9581,0.79513085
E7235,0.42967078
E8968,0.9452024
E8842,0.8229403
E4905,0.36368233
E6544,0.6532674
E6785,0.55259526
E10443,0.29736072
E5131,0.6668315
E7879,0.7876142
E226,0.7673098
E2087,0.7973136
E8023,0.4662214
E6833,0.8427349
E10586,0.44584942
E5192,0.8986237
E1223,0.49960014
E10350,0.531491
E6395,0.7319497
E8309,0.6645344
E9958,0.8511229
E8486,0.89775074
E8378,0.4874939
E4988,0.9664396
E9014,0.87022287
E3392,0.44076344
E8493,0.65819323
E5838,0.79882723
E9295,0.557122
E5932,0.987298
E176,0.7598421
E1795,0.38328424
E6864,0.8801143
E1578,0.84529775
E8815,0.9215901
E1280,0.5667443
E8566,0.34147918
E78,0.4924492
E6884,0.3605384
E2651,0.42718962
E6771,0.6876865
E1053,0.49201468
E7258,0.93340105
E7447,0.400715
E8518,0.78806406
E3787,0.57991123
E10426,0.83543336
E6454,0.52671343
E1420,0.6575116
E7043,0.38243613
E8085,0.49407762
E4512,0.37587637
E3692,0.5540563
E185,0.56564355
E8415,0.32702324
E7100,0.779176
E7943,0.51462597
E2820,0.59330016
E1479,0.9636072
E10025,0.4138079
E1439,0.49965847
E7166,0.6966187
E3685,0.6894793
E6442,0.44402212
E5688,0.59386325
E5565,0.5112832
E2486,0.469277
E10689,0.8784872
E10331,0.7527665
E1785,0.94784033
E50,0.95061415
E2609,0.75590754
E7228,0.80795217
E1055,0.38256094
E4306,0.8723104
E9291,0.9263111
E317,0.80466795
E5867,0.8133869
E874,0.8533387
E7027,0.67906743
E8992,0.6373036
E6380,0.8114096
E9269,0.83643913
E501,0.7762922
E971,0.8876002
E6588,0.64593345
E6545,0.23227069
E10626,0.51324236
E3134,0.78916883
E4650,0.395282
E3992,0.7017177
E4522,0.40319324
E512,0.42273986
E2459,0.89945185
E349,0.317426
E2547,0.43616554
E8112,0.8746593
E493,0.7161164
E10769,0.31577328
E10300,0.7981861
E9007,0.8727395
E281,0.4891248
E6489,0.6971096
E5485,0.48067337
E4173,0.91465664
E1566,0.57764715
E10407,0.81686896
E560,0.47722393
E2932,0.3967546
E8166,0.9750724
E7355,0.37893447
E705,0.5947328
E6017,0.84467095
