id,prob
E10559,0.5681639
E4849,0.5690248
E3964,0.8627225
E542,0.768844
E331,0.7180413
E10471,0.90370816
E9186,0.3416336
E5576,0.39617667
E9705,0.70929825
E7309,0.73166376
E476,0.78600425
E5217,0.49424356
E7653,0.58366305
E1530,0.6855436
E10379,0.7607898
E1516,0.64938563
E9418,0.8240681
E9388,0.4104783
E10737,0.6870747
E5290,0.82820517
E6010,0.45912427
E4307,0.44354853
E4548,0.44694224
E3030,0.37725037
E68,0.84800327
E5739,0.8871427
E2394,0.50938267
E3629,0.78332996
E8652,0.9029885
E5779,0.66289073
E10269,0.65741575
E7456,0.5298076
E9199,0.35545596
E1606,0.83257306
E9077,0.8596859
E9576,0.37874457
E2810,0.7793564
E1091,0.9683197
E2755,0.439984
E1405,0.41146106
E2213,0.48427668
E1321,0.45538628
E10797,0.552686
E7340,0.6472296
E9659,0.8795915
E1678,0.88069
E9591,0.43463895
E6377,0.92251015
E10130,0.86434203
E5582,0.4246282
E9510,0.34440738
E4237,0.53956395
E10470,0.6268968
E7528,0.84953696
E2567,0.66652364
E6083,0.33160785
E6735,0.84633964
E6800,0.7973752
E2293,0.46222442
E1633,0.53386706
E10659,0.93418294
E543,0.402788
E7177,0.5373428
E4126,0.47693405
E2850,0.49382842
E2078,0.56465685
E5746,0.8112169
E2445,0.8387703
E2958,0.45885473
E3497,0.9326482
E5069,0.8374108
E8995,0.6677446
E8220,0.8818885
E4354,0.77986985
E7578,0.37020284
E2122,0.7766233
E6661,0.40791702
E2582,0.54164475
E1836,0.60288316
E7881,0.66789055
E6685,0.47780123
E113,0.464919
E1161,0.48196033
E8062,0.54390395
E5637,0.36348262
E4470,0.8597422
E6905,0.6663348
E7553,0.6207939
E7773,0.4478364
E1991,0.8856568
E3997,0.73646194
E5326,0.60103613
E3076,0.8667985
E2018,0.5294626
E594,0.42270118
E2971,0.32374173
E6692,0.7810146
E3383,0.8985436
E8755,0.66017663
E1494,0.8867925
E7725,0.6445914
E8265,0.4702056
E8021,0.5408776
E7110,0.5995227
E8495,0.97651196
E6551,0.37576765
E10716,0.5639982
E9434,0.3881615
E2128,0.87849325
E8123,0.4157802
E1658,0.9143143
E7504,0.4461402
E8552,0.46587124
E798,0.8959303
E5976,0.600574
E6501,0.2935907
E8648,0.6702926
E7213,0.6256936
E6667,0.37175998
E6701,0.22655351
E4011,0.8543509
E6880,0.46172822
E2679,0.5917098
E10280,0.41550425
E6213,0.96187365
E7717,0.8459179
E5342,0.63427764
E3783,0.9980373
E4763,0.37372985
E8563,0.6130943
E8256,0.7818242
E7562,0.49702364
E8807,0.96498644
E1160,0.7655666
E6757,0.50893587
E4130,0.5014667
E10778,0.31122854
E6789,0.52365446
E1448,0.4925115
E1869,0.88472664
E10537,0.473244
E8348,0.43458608
E5158,0.3932197
E5939,0.8537924
E10623,0.44524428
E4941,0.6275911
E9068,0.6803839
E9894,0.6263695
E1121,0.9014183
E5634,0.94269836
E3890,0.89032924
E10467,0.56772506
E3728,0.66784835
E3943,0.8321758
E6303,0.61207134
E9052,0.77169365
E533,0.91628134
E132,0.39380842
E1580,0.7923412
E4034,0.49459988
E9422,0.8444691
E2575,0.90760607
E1043,0.5729898
E8480,0.4882722
E10111,0.5722035
E330,0.4101309
E7838,0.6926236
E9529,0.52144927
E5397,0.50570536
E6862,0.7402961
E3740,0.7852541
E118,0.37326533
E8133,0.3905202
E8441,0.7216892
E4814,0.5244997
E5592,0.60918564
E4117,0.61960506
E7793,0.78092885
E2368,0.40629008
E9954,0.58512884
E10307,0.62129056
E7729,0.8794255
E1123,0.726828
E5155,0.77318794
E5224,0.5825446
E2789,0.27436787
E8483,0.38221678
E10552,0.50598544
E8884,0.6930603
E10377,0.36411968
E10193,0.6059681
E5811,0.703847
E8541,0.75686574
E486,0.9109066
E8888,0.8828586
E6532,0.96146643
E4165,0.9379096
E3160,0.9642647
E982,0.788967
E5505,0.77453643
E741,0.5178177
E8115,0.76587653
E7410,0.44196597
E687,0.41503078
E10385,0.6691807
E3446,0.51121753
E1295,0.8533526
E10695,0.4788166
E4417,0.46519735
E5099,0.59776163
E8638,0.52330434
E8886,0.7595649
E398,0.88986796
E7150,0.65554273
E7724,0.45804802
E2655,0.5039649
E9266,0.85103
E7954,0.44736585
E3814,0.69724274
E2045,0.37975922
E1948,0.62856513
E637,0.564763
E4060,0.46475184
E2249,0.92337126
E4486,0.43136337
E7770,0.74274206
E6717,0.45796204
E10268,0.3832284
E2382,0.43156284
E4614,0.6567478
E4396,0.81626314
E9562,0.62748235
E7088,0.8834782
E1890,0.94339216
E1764,0.5499602
E9819,0.9337212
E4640,0.86046326
E8385,0.849228
E2514,0.6223046
E8377,0.51264364
E3496,0.71458906
E1432,0.41471764
E8278,0.37922987
E8219,0.5182349
E380,0.8491664
E416,0.5623022
E7152,0.514487
E1463,0.7644174
E7247,0.848188
E3418,0.92062086
E8092,0.7735089
E4181,0.4297159
E10669,0.54471004
E6786,0.9523869
E3287,0.46717143
E8885,0.45946518
E7338,0.37529853
E4890,0.8212431
E8264,0.64621514
E5638,0.43995398
E5846,0.52236015
E1646,0.42959052
E8763,0.57293975
E3816,0.930585
E6732,0.5673299
E1303,0.7900321
E9350,0.39366147
E10419,0.9635872
E4563,0.6343266
E647,0.76124966
E344,0.31927127
E9536,0.7873165
E2617,0.72114366
E10825,0.31399617
E1078,0.9731747
E6851,0.8279169
E8879,0.58223957
E6705,0.399684
E4207,0.69823945
E4483,0.41804582
E9584,0.46983942
E9846,0.7063102
E9459,0.75993514
E1668,0.5502752
E4090,0.46651357
E6989,0.84689367
E564,0.45421037
E9169,0.6277218
E5313,0.8221258
E2354,0.7090464
E5456,0.50881886
E3361,0.47166705
E9856,0.7688703
E6670,0.7077339
E4170,0.7452764
E7122,0.81946635
E3031,0.4332105
E6175,0.8800886
E4828,0.9179326
E817,0.9493365
E7319,0.92611206
E9935,0.8622877
E4198,0.27759743
E5379,0.40952936
E9930,0.41533166
E3910,0.49813268
E9816,0.39813057
E6957,0.49700326
E10243,0.6374833
E4518,0.6821983
E9633,0.7506145
E3538,0.9008144
E2286,0.6111343
E402,0.7695829
E5129,0.9147649
E4101,0.40856472
E3255,0.6329036
E5177,0.97475207
E10847,0.7372171
E2008,0.8506034
E3681,0.8419265
E3359,0.72777927
E3636,0.738153
E2480,0.4942404
E8321,0.47529528
E1642,0.5223138
E8054,0.457455
E5026,0.6541957
E1942,0.95946366
E9332,0.69396335
E5820,0.88947266
E112,0.99826825
E7151,0.5357308
E7897,0.5591137
E4685,0.69730645
E7427,0.89218736
E5077,0.46487933
E9841,0.45812872
E5903,0.5182641
E6297,0.87577844
E8018,0.5642876
E5032,0.65182114
E9927,0.5978693
E5135,0.46722803
E7852,0.7959618
E231,0.54244554
E3393,0.759271
E3017,0.3350722
E9673,0.5620673
E1172,0.8832719
E6126,0.6571138
E1470,0.88608533
E8896,0.6822404
E3161,0.81866705
E3472,0.74820435
E2167,0.74533165
E2636,0.48844722
E8149,0.75491965
E9090,0.7295866
E6847,0.88980675
E2786,0.9371897
E9972,0.9059181
E10107,0.8457896
E3113,0.43770385
E6044,0.66507953
E6075,0.5681509
E5686,0.6875551
E576,0.9311507
E8605,0.53280944
E9563,0.749346
E8551,0.53157026
E1959,0.5581974
E379,0.96249557
E215,0.5314105
E2899,0.41254365
E5092,0.52707803
E8581,0.6907889
E407,0.8000911
E5325,0.6024443
E8198,0.8406279
E10722,0.4989965
E7543,0.53276
E5393,0.5976467
E10077,0.45228404
E7679,0.40043297
E10621,0.46644995
E9672,0.87702894
E4168,0.825685
E1340,0.5846757
E5498,0.39280152
E4826,0.3694028
E3632,0.4113715
E9797,0.77170765
E9581,0.7693541
E7235,0.5031965
E8968,0.86009306
E8842,0.8478516
E4905,0.4187322
E6544,0.6617559
E6785,0.5009991
E10443,0.34432736
E5131,0.8640423
E7879,0.80572754
E226,0.7473911
E2087,0.7858259
E8023,0.50721776
E6833,0.8950224
E10586,0.6128223
E5192,0.80949146
E1223,0.46590745
E10350,0.5129402
E6395,0.7083966
E8309,0.5884651
E9958,0.8994633
E8486,0.8707737
E8378,0.4707619
E4988,0.9628397
E9014,0.9596274
E3392,0.4727848
E8493,0.6528423
E5838,0.8182583
E9295,0.56718695
