id,prob
E10559,0.7481195
E4849,0.6845136
E3964,0.7881657
E542,0.9395494
E331,0.9797355
E10471,0.84487736
E9186,0.8378277
E5576,0.6398073
E9705,0.85238266
E7309,0.80626315
E476,0.9647911
E5217,0.654358
E7653,0.9408043
E1530,0.69762313
E10379,0.7890201
E1516,0.9093637
E9418,0.97047764
E9388,0.6542644
E10737,0.7399006
E5290,0.8512056
E6010,0.7977469
E4307,0.640917
E4548,0.69180155
E3030,0.6213496
E68,0.9510829
E5739,0.9292775
E2394,0.82047224
E3629,0.7981441
E8652,0.7483211
E5779,0.7798848
E10269,0.89250463
E7456,0.93524677
E9199,0.87622386
E1606,0.9663982
E9077,0.9621574
E9576,0.8911065
E2810,0.9765647
E1091,0.9875645
E2755,0.6135869
E1405,0.67324966
E2213,0.8948551
E1321,0.62054765
E10797,0.9374699
E7340,0.723024
E9659,0.95712346
E1678,0.9893828
E9591,0.600937
E6377,0.89571714
E10130,0.7184439
E5582,0.6086557
E9510,0.58037114
E4237,0.88490075
E10470,0.92354774
E7528,0.7551616
E2567,0.7303323
E6083,0.57310814
E6735,0.96057165
E6800,0.9469531
E2293,0.83282375
E1633,0.9288563
E10659,0.96731615
E543,0.64953285
E7177,0.9281778
E4126,0.8736317
E2850,0.91119075
E2078,0.5976033
E5746,0.50135857
E2445,0.9757791
E2958,0.91765577
E3497,0.9773932
E5069,0.6898556
E8995,0.9253063
E8220,0.98343384
E4354,0.78700155
E7578,0.77036726
E2122,0.8569338
E6661,0.85450846
E2582,0.8995433
E1836,0.9416829
E7881,0.76838964
E6685,0.81383085
E113,0.701908
E1161,0.6192185
E8062,0.8282036
E5637,0.55552244
E4470,0.95140105
E6905,0.9175858
E7553,0.831399
E7773,0.78235537
E1991,0.9840381
E3997,0.87913704
E5326,0.9172366
E3076,0.58353794
E2018,0.8736318
E594,0.5975513
E2971,0.52183145
E6692,0.7352396
E3383,0.86595213
E8755,0.95314366
E1494,0.85201776
E7725,0.8500375
E8265,0.8937123
E8021,0.92090607
E7110,0.7435814
E8495,0.95037764
E6551,0.86141866
E10716,0.7307364
E9434,0.82527566
E2128,0.9725816
E8123,0.8712022
E1658,0.91684234
E7504,0.5344902
E8552,0.8267318
E798,0.87671316
E5976,0.89401346
E6501,0.67709845
E8648,0.85187316
E7213,0.73170835
E6667,0.9027154
E6701,0.44619477
E4011,0.97680646
E6880,0.84165245
E2679,0.8919192
E10280,0.7104345
E6213,0.98248327
E7717,0.95595515
E5342,0.6361026
E3783,0.9570615
E4763,0.658439
E8563,0.935814
E8256,0.6765606
E7562,0.6660883
E8807,0.88343894
E1160,0.9181529
E6757,0.9277175
E4130,0.70879364
E10778,0.7104399
E6789,0.80353516
E1448,0.8369641
E1869,0.9572788
E10537,0.6539338
E8348,0.7282093
E5158,0.68527323
E5939,0.97018874
E10623,0.5157008
E4941,0.6903255
E9068,0.71153057
E9894,0.7209989
E1121,0.9843089
E5634,0.7194657
E3890,0.8307529
E10467,0.899534
E3728,0.95119923
E3943,0.9623028
E6303,0.9324035
E9052,0.86494845
E533,0.94877505
E132,0.8892813
E1580,0.9439003
E4034,0.7053321
E9422,0.9707435
E2575,0.93731886
