id,prob
E3064,0.9011262
E298,0.6885786
E3512,0.92999953
E5670,0.986384
E5005,0.30619922
E1537,0.3791776
E4070,0.5069261
E9296,0.5072725
E6748,0.8290892
E8060,0.37344405
E3969,0.8925101
E1796,0.8183839
E3195,0.5590626
E8042,0.8605338
E5983,0.8004617
E7860,0.69836986
E5139,0.73219997
E4304,0.75901806
E9047,0.4256214
E4737,0.50284535
E3840,0.7950818
E2455,0.86084074
E8767,0.4033966
E7242,0.25752592
E1715,0.5549664
E3689,0.92540556
E2885,0.5741601
E4522,0.69227064
E657,0.95152456
E3497,0.5665626
E864,0.6101779
E8007,0.7278182
E3327,0.32170165
E1823,0.8096279
E3682,0.41881415
E5514,0.595145
E8903,0.48239878
E3685,0.47086263
E6047,0.1686781
E2605,0.6170422
E6839,0.7551885
E1487,0.47210994
E5725,0.2497669
E655,0.86109453
E7590,0.55753803
E124,0.96231204
E4788,0.71570796
E2448,0.5928478
E3313,0.9120163
E6306,0.9675153
E7027,0.8688662
E3684,0.60447985
E3835,0.76559395
E1346,0.89680314
E961,0.9056845
E7255,0.85340524
E4814,0.878137
E8479,0.82209444
E6676,0.9379215
E2707,0.76815814
E3193,0.13647898
E5285,0.63362527
E3804,0.5225223
E8347,0.9015649
E5305,0.8721585
E6401,0.38189903
E8648,0.50812435
E892,0.46111664
E76,0.53630567
E3874,0.4401054
E742,0.30083904
E8402,0.5006966
E3614,0.6556744
E9360,0.9248686
E496,0.56377304
E1680,0.38534448
E206,0.9331638
E7507,0.87177336
E8972,0.7120589
E7371,0.79725814
E8364,0.9364903
E8817,0.6413151
E396,0.5157526
E821,0.67624235
E3679,0.8945772
E6160,0.53815174
E6822,0.37596372
E6689,0.73163867
E5142,0.79210144
E3070,0.3868077
E4713,0.8769608
E6288,0.70788825
E8138,0.87803924
E6187,0.94817024
E5157,0.5352636
E5752,0.7629492
E6317,0.799098
E7647,0.2562586
E123,0.70901024
E6781,0.3492798
E1861,0.9314443
E3098,0.45319545
E424,0.9718023
E2428,0.4725296
E852,0.91394496
E1220,0.8960532
E3204,0.8962975
E6916,0.816363
E900,0.66959304
E4840,0.97971857
E2640,0.89250773
E5288,0.9698907
E5823,0.92756987
E7108,0.92991984
E7054,0.82139194
