id,prob
E370,0.36831465
E667,0.8666376
E3190,0.90043044
E848,0.83419895
E2161,0.79480565
E1391,0.79372305
E1084,0.9903004
E1801,0.95083624
E2730,0.8237928
E828,0.31895605
E1795,0.16604978
E1880,0.91172427
E1948,0.7826736
E1545,0.6104233
E2904,0.77426314
E2835,0.8493813
E2349,0.21540211
E2046,0.95189476
E1229,0.38973552
E2845,0.5352508
E2125,0.9709655
E3127,0.99907696
E1721,0.8975373
E1253,0.68882537
E3050,0.1887878
E212,0.94460756
E3193,0.9173429
E1195,0.35463747
E699,0.99807656
E2930,0.99851865
E963,0.41993675
E2848,0.9931705
E2261,0.92905986
E2091,0.9999764
E3113,0.99983823
E2717,0.83436584
E1775,0.81460387
E1922,0.8773491
E2239,0.9722763
E1074,0.25105128
E552,0.96231204
E1657,0.8525904
E943,0.8163473
E1139,0.74274236
E2663,0.26097557
E2992,0.20373718
E3111,0.7386839
E1885,0.6514458
E2428,0.99987483
E1627,0.7964357
E2575,0.6088434
E824,0.695121
E660,0.64917207
E1706,0.5889721
E863,0.92519295
E1289,0.19187051
E389,0.9999827
E802,0.23574615
E520,0.99914014
E1829,0.9999769
E2307,0.88805026
E566,0.86677206
E451,0.24431875
E353,0.21235426
E201,0.89181614
E1736,0.87465334
E2320,0.68093216
E207,0.9704817
E1971,0.8090764
E312,0.71339506
E1968,0.26209363
E1170,0.7699491
E625,0.8522251
E3170,0.6977454
E3087,0.90706384
E2913,0.51166195
E2006,0.99999607
E133,0.93441564
E646,0.9562661
E17,0.9987452
E1474,0.8581579
E1846,0.25172973
E1689,0.95072037
E1990,0.9998869
E374,0.90125155
E1027,0.8660037
E1428,0.9261261
E488,0.5751309
E1056,0.93505514
E1303,0.8887913
E1740,0.9987503
E2264,0.8747379
E1758,0.75253516
E8,0.5237395
E2298,0.26777777
E1731,0.30359754
E1475,0.99999225
E2510,0.40494898
E1857,0.61665845
E834,0.6534565
E1380,0.99978477
E1588,0.85728884
E2759,0.8463614
E214,0.9779584
E2591,0.8515876
E2771,0.96729225
E493,0.81917614
E1977,0.94363624
E2355,0.8090259
E2498,0.99996245
E2107,0.5958619
E2043,0.45282018
E2560,0.8803492
E1176,0.9741323
E1456,0.92356724
E228,0.84128654
E622,0.9339118
E393,0.26212955
E731,0.9204576
E1336,0.99724126
E2187,0.46417636
E177,0.84856945
E1541,0.6228058
E562,0.99152386
E1720,0.30016303
E2060,0.44976738
E225,0.6775041
E2114,0.99999046
E1310,0.5844971
E2785,0.8546759
E3152,0.9488323
E1983,0.37340057
E445,0.8961709
E850,0.7800555
E2740,0.85999763
E1159,0.99602145
E1505,0.78474605
E50,0.8002708
E1078,0.61155635
E2549,0.9713946
E1187,0.44173574
E1844,0.24124934
E558,0.83524084
E2741,0.99992204
E1334,0.16213265
E3206,0.19458923
E1262,0.99954444
E3178,0.7787727
E2728,0.97506565
E2870,0.29170075
E2970,0.98557323
E3022,0.999936
E2503,0.8173934
E1228,0.5488421
E3169,0.43510398
E2799,0.9908923
E1114,0.8744324
