id,prob
E10559,0.5333696
E4849,0.6180858
E3964,0.790844
E542,0.73063195
E331,0.7603757
E10471,0.83270305
E9186,0.38549384
E5576,0.40604925
E9705,0.68791234
E7309,0.6207548
E476,0.7960961
E5217,0.4277616
E7653,0.49663875
E1530,0.7661974
E10379,0.76136357
E1516,0.73306435
E9418,0.8767172
E9388,0.43105865
E10737,0.72499
E5290,0.8573853
E6010,0.47889388
E4307,0.45743746
E4548,0.40239593
E3030,0.22380023
E68,0.8559498
E5739,0.87753665
E2394,0.5288254
E3629,0.6954499
E8652,0.90398127
E5779,0.601722
E10269,0.79843324
E7456,0.60597837
E9199,0.35582635
E1606,0.81742847
E9077,0.89094377
E9576,0.33973122
E2810,0.869858
E1091,0.9699865
E2755,0.31758392
E1405,0.38665533
E2213,0.4555453
E1321,0.46828675
E10797,0.60705423
E7340,0.64411044
E9659,0.8883896
E1678,0.9157913
E9591,0.38880652
E6377,0.9535116
E10130,0.8362617
E5582,0.44858637
E9510,0.40807676
E4237,0.41747802
E10470,0.5114965
E7528,0.87538373
E2567,0.70813996
E6083,0.37763244
E6735,0.8537275
E6800,0.7492301
E2293,0.44039002
E1633,0.5392418
E10659,0.9541917
E543,0.338584
E7177,0.59606344
E4126,0.5204304
E2850,0.52221924
E2078,0.4814383
E5746,0.8315787
E2445,0.83056283
E2958,0.50610054
E3497,0.92526674
E5069,0.84597546
E8995,0.66869414
E8220,0.9167588
E4354,0.82411605
E7578,0.37044063
E2122,0.8313507
E6661,0.47112396
E2582,0.4912404
E1836,0.64243436
E7881,0.7444564
E6685,0.49519798
E113,0.4144142
E1161,0.59560704
E8062,0.5427593
E5637,0.37435734
E4470,0.89347184
E6905,0.56583506
E7553,0.6834119
E7773,0.4154387
E1991,0.8867041
E3997,0.72858185
E5326,0.4999256
E3076,0.85978776
E2018,0.4812082
E594,0.36053297
E2971,0.2868179
E6692,0.84234077
E3383,0.6391599
E8755,0.6562154
E1494,0.8938875
E7725,0.6174911
E8265,0.44569248
E8021,0.5547219
E7110,0.6473134
E8495,0.98326486
E6551,0.36589068
E10716,0.40861893
E9434,0.3167119
E2128,0.9089066
E8123,0.51007205
E1658,0.9474312
E7504,0.46350065
E8552,0.43315953
E798,0.89184797
E5976,0.73598963
E6501,0.29417384
E8648,0.69738334
E7213,0.6664586
E6667,0.4169037
E6701,0.20843768
E4011,0.88066137
E6880,0.34383413
E2679,0.58967215
E10280,0.45124462
E6213,0.9809621
E7717,0.84836364
E5342,0.61369896
E3783,0.99841404
E4763,0.37369937
E8563,0.72459507
E8256,0.7229665
E7562,0.52937764
E8807,0.94311297
E1160,0.80045396
E6757,0.5235573
E4130,0.53959686
E10778,0.3229679
E6789,0.49167264
E1448,0.4504922
E1869,0.7373099
E10537,0.40218788
E8348,0.4842697
E5158,0.3532978
E5939,0.8413951
E10623,0.38734648
E4941,0.66618294
E9068,0.65030956
E9894,0.54267275
E1121,0.912919
E5634,0.9631687
E3890,0.90997213
E10467,0.5949981
E3728,0.6375443
E3943,0.82205003
E6303,0.6283714
E9052,0.81235844
E533,0.84514445
E132,0.5352379
E1580,0.7900635
E4034,0.5009553
E9422,0.535274
E2575,0.90977526
E1043,0.5027656
E8480,0.46547788
E10111,0.559507
E330,0.43276462
E7838,0.5992046
E9529,0.4733094
E5397,0.4775655
E6862,0.7886608
E3740,0.7875977
E118,0.4324843
E8133,0.38339657
E8441,0.7738677
E4814,0.47388378
E5592,0.5816087
E4117,0.61681694
E7793,0.80632365
E2368,0.39370728
E9954,0.50514585
E10307,0.6433628
E7729,0.872803
E1123,0.7531902
E5155,0.76097333
E5224,0.64101726
E2789,0.48725864
E8483,0.3532287
E10552,0.4491512
E8884,0.76506156
E10377,0.31214753
E10193,0.5521307
E5811,0.5719206
E8541,0.7004886
E486,0.920902
E8888,0.88435674
E6532,0.97728616
E4165,0.94917315
E3160,0.9523878
E982,0.73723906
E5505,0.76026636
E741,0.5737801
E8115,0.76130515
E7410,0.2582131
E687,0.47268403
E10385,0.63612443
E3446,0.56341416
E1295,0.83483756
E10695,0.4744743
E4417,0.41060972
E5099,0.7704938
E8638,0.5301555
E8886,0.84683084
E398,0.8725925
E7150,0.6602881
E7724,0.5321848
E2655,0.5309498
E9266,0.77993363
E7954,0.39289087
E3814,0.69422936
E2045,0.3720966
E1948,0.58893
E637,0.66478115
E4060,0.4121671
E2249,0.9635607
E4486,0.43409732
E7770,0.7382704
E6717,0.48795784
E10268,0.43213215
E2382,0.4535842
E4614,0.4016154
E4396,0.80850804
E9562,0.59404594
E7088,0.9183548
E1890,0.96192807
E1764,0.67725503
E9819,0.9244449
E4640,0.9003248
E8385,0.8478238
E2514,0.6441049
E8377,0.55758137
E3496,0.7068954
E1432,0.45274422
E8278,0.4683857
E8219,0.48891056
E380,0.8588448
E416,0.5662098
E7152,0.53103405
E1463,0.7820505
E7247,0.7873257
E3418,0.9256885
E8092,0.77585804
E4181,0.43731013
E10669,0.51724803
E6786,0.9635908
E3287,0.5434342
E8885,0.48351476
E7338,0.39614353
E4890,0.7478281
E8264,0.5848829
E5638,0.44356462
E5846,0.49797168
E1646,0.50739384
E8763,0.535024
E3816,0.9304833
E6732,0.6075979
E1303,0.7152707
E9350,0.4225853
E10419,0.96628064
E4563,0.65048707
E647,0.75303006
E344,0.31396446
E9536,0.85632503
E2617,0.7618145
E10825,0.28095362
E1078,0.92347187
E6851,0.8459731
E8879,0.59674513
E6705,0.2520885
E4207,0.71751446
E4483,0.38687882
E9584,0.53117436
E9846,0.694379
E9459,0.7558342
E1668,0.5091211
E4090,0.41944358
E6989,0.80030644
E564,0.42169642
E9169,0.6037532
E5313,0.8152581
E2354,0.70130205
E5456,0.4208278
E3361,0.43385586
E9856,0.7732875
E6670,0.7148739
E4170,0.79137844
E7122,0.8919728
E3031,0.3672278
E6175,0.8880703
E4828,0.92681885
E817,0.9365079
E7319,0.9528861
E9935,0.8729571
E4198,0.4287788
E5379,0.361479
E9930,0.35955346
E3910,0.50125915
E9816,0.3931369
E6957,0.49791422
E10243,0.61743754
E4518,0.69247216
E9633,0.6794087
E3538,0.90305406
E2286,0.58359003
E402,0.8022573
E5129,0.9197203
E4101,0.45758948
E3255,0.6206555
E5177,0.97100854
E10847,0.84592
E2008,0.8802204
E3681,0.8310528
E3359,0.7168818
E3636,0.858782
E2480,0.45122606
E8321,0.47458914
E1642,0.45623735
E8054,0.42077595
E5026,0.73052263
E1942,0.924204
E9332,0.7092644
E5820,0.9852315
E112,0.99857247
