id,prob
E10559,0.6297182
E4849,0.39285326
E3964,0.9267822
E542,0.5121961
E331,0.60254675
E10471,0.5613082
E9186,0.44135985
E5576,0.5874392
E9705,0.65528226
E7309,0.9672789
E476,0.93236965
E5217,0.5201764
E7653,0.6612975
E1530,0.81408155
E10379,0.6960048
E1516,0.875888
E9418,0.95882154
E9388,0.5486819
E10737,0.86157
E5290,0.7727106
E6010,0.4716082
E4307,0.6088364
E4548,0.3770154
E3030,0.32887274
E68,0.9880641
E5739,0.9703964
E2394,0.8235582
E3629,0.87075835
E8652,0.9124072
E5779,0.47132626
E10269,0.6758665
E7456,0.44101468
E9199,0.38538617
E1606,0.97511303
E9077,0.9244671
E9576,0.4359474
E2810,0.95708674
E1091,0.9711321
E2755,0.701467
E1405,0.45406395
E2213,0.45617333
E1321,0.49608442
E10797,0.73998946
E7340,0.33445048
E9659,0.985509
E1678,0.97642833
E9591,0.35031486
E6377,0.9996226
E10130,0.94588995
E5582,0.506976
E9510,0.37892872
E4237,0.3553035
E10470,0.539159
E7528,0.92882556
E2567,0.5870344
E6083,0.2939945
E6735,0.8575562
E6800,0.78974783
E2293,0.57585657
E1633,0.4290697
E10659,0.98288465
E543,0.42652714
E7177,0.55594635
E4126,0.5111016
E2850,0.3289412
E2078,0.578092
E5746,0.7866725
E2445,0.95439094
E2958,0.62459934
E3497,0.99705625
E5069,0.8395561
E8995,0.40590334
E8220,0.6601633
E4354,0.94428277
E7578,0.37523964
E2122,0.3504274
E6661,0.23668915
E2582,0.7588873
E1836,0.43647343
E7881,0.5943357
E6685,0.30303124
E113,0.49997306
E1161,0.5792787
E8062,0.53789926
E5637,0.46041244
E4470,0.991295
E6905,0.7242522
E7553,0.65413797
E7773,0.22463907
E1991,0.94691646
E3997,0.61503637
E5326,0.39769003
E3076,0.99360114
E2018,0.5127454
E594,0.3286002
E2971,0.13606912
E6692,0.8843982
E3383,0.982796
E8755,0.54809135
E1494,0.9472027
E7725,0.6848183
E8265,0.36769098
E8021,0.72654057
E7110,0.7026607
E8495,0.9639884
E6551,0.35663188
E10716,0.582147
E9434,0.35000917
E2128,0.9718927
E8123,0.49613342
E1658,0.9866128
E7504,0.5537894
E8552,0.56860745
E798,0.93819785
E5976,0.8351416
E6501,0.328114
E8648,0.76968986
E7213,0.6804914
E6667,0.73627955
E6701,0.39928216
E4011,0.92240494
E6880,0.52732193
E2679,0.6471139
E10280,0.32603532
E6213,0.97890615
E7717,0.76032674
E5342,0.50101846
E3783,0.999992
E4763,0.2543753
E8563,0.49140215
E8256,0.87387276
E7562,0.69341433
E8807,0.99276555
E1160,0.79659075
E6757,0.7271068
E4130,0.33250782
E10778,0.28513372
E6789,0.4552472
E1448,0.34770194
E1869,0.7990531
E10537,0.5246467
E8348,0.39444745
E5158,0.5156812
E5939,0.7818942
E10623,0.30278826
E4941,0.6240748
E9068,0.43321562
E9894,0.6224767
E1121,0.9973539
E5634,0.93411046
E3890,0.98655313
E10467,0.68541646
E3728,0.74886036
E3943,0.64274144
E6303,0.58820933
E9052,0.8380141
E533,0.9837429
E132,0.19245653
E1580,0.8138735
E4034,0.38330224
E9422,0.9836226
E2575,0.9382753
E1043,0.75075126
E8480,0.47787163
E10111,0.45086572
E330,0.3951611
E7838,0.6296499
E9529,0.4228279
E5397,0.5847139
E6862,0.57649505
E3740,0.9067695
E118,0.51730204
E8133,0.204022
E8441,0.80145514
E4814,0.4021638
E5592,0.9127788
E4117,0.5598026
E7793,0.97325486
E2368,0.34264675
E9954,0.5177794
E10307,0.6583075
E7729,0.9867771
E1123,0.8718277
E5155,0.8101349
E5224,0.67318743
E2789,0.18575598
E8483,0.7090588
E10552,0.3601553
E8884,0.80940324
E10377,0.45003396
E10193,0.4509386
E5811,0.8375142
E8541,0.5688548
E486,0.8335588
E8888,0.9925566
E6532,0.9953507
E4165,0.9955407
E3160,0.99549097
E982,0.8035083
E5505,0.8454178
E741,0.3824381
E8115,0.79257977
E7410,0.19290258
E687,0.36581245
E10385,0.74180156
E3446,0.4727858
E1295,0.98288995
E10695,0.52003175
E4417,0.41759598
E5099,0.75378513
E8638,0.45937982
E8886,0.9640406
E398,0.93367803
E7150,0.6351502
E7724,0.4981549
E2655,0.42284653
E9266,0.9568042
E7954,0.5281205
E3814,0.82408017
E2045,0.21933992
E1948,0.78717047
E637,0.62890434
E4060,0.46179223
E2249,0.94032055
E4486,0.3942588
E7770,0.82687825
E6717,0.524959
E10268,0.3937597
E2382,0.30869353
E4614,0.81547755
E4396,0.96407807
E9562,0.41646367
E7088,0.99239254
E1890,0.8096586
E1764,0.5784458
E9819,0.982261
E4640,0.98264563
E8385,0.97225577
E2514,0.5083055
E8377,0.4966974
E3496,0.8686366
E1432,0.4501761
E8278,0.41632706
E8219,0.4633168
E380,0.944151
E416,0.7393154
E7152,0.40034437
E1463,0.8406314
E7247,0.6837125
E3418,0.99398685
E8092,0.8318685
E4181,0.5922879
E10669,0.5437613
E6786,0.95838434
E3287,0.5701861
E8885,0.45308203
E7338,0.31948704
E4890,0.9686221
E8264,0.83302766
E5638,0.41896665
E5846,0.3733654
E1646,0.71064323
E8763,0.62793803
E3816,0.993723
E6732,0.5963487
E1303,0.7405884
E9350,0.5742857
E10419,0.99573344
E4563,0.69718164
E647,0.89409935
E344,0.22217636
E9536,0.92023444
E2617,0.9158912
E10825,0.33757442
E1078,0.9882112
E6851,0.92456025
E8879,0.7038031
E6705,0.65185547
E4207,0.79925597
E4483,0.4590738
E9584,0.30455405
E9846,0.7200591
E9459,0.77656335
E1668,0.41884223
E4090,0.4550237
E6989,0.96823275
E564,0.38160983
E9169,0.5542649
E5313,0.6317012
E2354,0.51449716
E5456,0.6088621
E3361,0.52828807
E9856,0.89790523
E6670,0.8573575
E4170,0.7676908
E7122,0.91314596
E3031,0.32273164
E6175,0.9863154
E4828,0.99803525
E817,0.9984988
E7319,0.9830828
E9935,0.95043933
E4198,0.46245307
E5379,0.33130673
E9930,0.35530868
E3910,0.45810324
E9816,0.40519032
E6957,0.45079976
E10243,0.5911836
E4518,0.4670119
E9633,0.72701937
E3538,0.96319836
E2286,0.5842399
E402,0.71352243
E5129,0.432645
E4101,0.5515103
E3255,0.6336248
E5177,0.9809276
E10847,0.97866714
E2008,0.687672
E3681,0.97821635
E3359,0.7719382
E3636,0.90456426
E2480,0.5127186
E8321,0.57877123
E1642,0.61373925
E8054,0.44052136
E5026,0.6872266
E1942,0.34971607
E9332,0.6765996
E5820,0.9801222
E112,0.9999821
E7151,0.44798917
E7897,0.62507486
E4685,0.660371
E7427,0.9676508
E5077,0.3780421
E9841,0.25738645
E5903,0.3931778
E6297,0.9068295
E8018,0.5239921
E5032,0.48731205
E9927,0.45291612
E5135,0.45921585
E7852,0.9417654
E231,0.39737135
E3393,0.782169
E3017,0.6673211
E9673,0.4666642
E1172,0.9746907
E6126,0.990998
E1470,0.98216796
E8896,0.78573537
E3161,0.7544156
E3472,0.68584436
E2167,0.8230667
E2636,0.4383002
E8149,0.52543473
E9090,0.7537614
E6847,0.9768933
E2786,0.998931
E9972,0.9526157
E10107,0.9903842
E3113,0.46315464
E6044,0.7613474
E6075,0.714556
E5686,0.48930547
E576,0.98053795
E8605,0.45460707
E9563,0.838219
E8551,0.646702
E1959,0.62082374
E379,0.99929154
E215,0.59686905
E2899,0.59853786
E5092,0.54362303
E8581,0.82759374
E407,0.4766288
E5325,0.6565925
E8198,0.9901102
E10722,0.41414303
E7543,0.3604696
E5393,0.572439
E10077,0.3770734
E7679,0.30104518
E10621,0.31583694
E9672,0.8867845
E4168,0.95763755
E1340,0.6434299
E5498,0.62579566
E4826,0.3107796
E3632,0.50134027
E9797,0.88791883
E9581,0.877301
E7235,0.5376597
E8968,0.88313824
E8842,0.93460274
E4905,0.4118681
E6544,0.863545
E6785,0.311497
E10443,0.7040938
E5131,0.98169154
E7879,0.90486336
E226,0.63757163
E2087,0.8757682
E8023,0.22171555
E6833,0.72096956
E10586,0.46703932
E5192,0.9213311
E1223,0.46367952
