id,prob
E10559,0.5676043
E4849,0.59893227
E3964,0.8435115
E542,0.74167264
E331,0.6461873
E10471,0.74567866
E9186,0.38241902
E5576,0.3544968
E9705,0.68715876
E7309,0.77190864
E476,0.737784
E5217,0.43136135
E7653,0.53794366
E1530,0.69870585
E10379,0.742552
E1516,0.72891355
E9418,0.87566686
E9388,0.46767554
E10737,0.72616756
E5290,0.79867154
E6010,0.38211608
E4307,0.45188165
E4548,0.4487383
E3030,0.5870945
E68,0.8308581
E5739,0.8439384
E2394,0.5793717
E3629,0.76631486
E8652,0.95889205
E5779,0.6357948
E10269,0.7364501
E7456,0.53846365
E9199,0.30096135
E1606,0.84057045
E9077,0.85085857
E9576,0.37783396
E2810,0.7926236
E1091,0.9611192
E2755,0.4156181
E1405,0.46503735
E2213,0.47726592
E1321,0.42917418
E10797,0.6441931
E7340,0.59971917
E9659,0.79335415
E1678,0.912532
E9591,0.4530754
E6377,0.9201389
E10130,0.85131806
E5582,0.40833655
E9510,0.39256108
E4237,0.51811856
E10470,0.66038126
E7528,0.8716616
E2567,0.65007347
E6083,0.35562795
E6735,0.73056126
E6800,0.77471757
E2293,0.45713878
E1633,0.49621055
E10659,0.89762414
E543,0.3445679
E7177,0.52943057
E4126,0.46679538
E2850,0.44460037
E2078,0.48126662
E5746,0.78098416
E2445,0.65722257
E2958,0.46123925
E3497,0.9339664
E5069,0.8434561
E8995,0.61140656
E8220,0.90937954
E4354,0.8179905
E7578,0.37469792
E2122,0.77415276
E6661,0.41010308
E2582,0.4408446
E1836,0.57840633
E7881,0.6074655
E6685,0.45804697
E113,0.46948737
E1161,0.5318186
E8062,0.5365477
E5637,0.33770078
E4470,0.90457743
E6905,0.58194816
E7553,0.6515288
E7773,0.38999853
E1991,0.87810403
E3997,0.69584227
E5326,0.5860114
E3076,0.87081736
E2018,0.48603037
E594,0.37768027
E2971,0.36808917
E6692,0.8319328
E3383,0.89235383
E8755,0.6016691
E1494,0.88338786
E7725,0.6041046
E8265,0.47888842
E8021,0.5952327
E7110,0.63754666
E8495,0.9737835
E6551,0.37047318
E10716,0.4522343
E9434,0.35915834
E2128,0.863583
E8123,0.39572906
E1658,0.93858045
E7504,0.5226834
E8552,0.42903578
E798,0.89108944
E5976,0.63159
E6501,0.3265047
E8648,0.59119946
E7213,0.646842
E6667,0.45450175
E6701,0.2196906
E4011,0.82413983
E6880,0.33652523
E2679,0.54742426
E10280,0.4671661
E6213,0.9676573
E7717,0.80384225
E5342,0.5891336
E3783,0.996799
E4763,0.46281025
E8563,0.6936935
E8256,0.73902607
E7562,0.5145694
E8807,0.9470685
E1160,0.7398041
E6757,0.5474062
E4130,0.45695877
E10778,0.36131135
E6789,0.60116935
E1448,0.47689122
E1869,0.73411226
E10537,0.523347
E8348,0.4336121
E5158,0.43107453
E5939,0.7738742
E10623,0.44481087
E4941,0.6505985
E9068,0.6717704
E9894,0.5944789
E1121,0.93076634
E5634,0.88413346
E3890,0.8810939
E10467,0.57856476
E3728,0.6644382
E3943,0.8251226
E6303,0.5227296
E9052,0.7381236
E533,0.9825782
E132,0.5068028
E1580,0.8258249
E4034,0.5585098
E9422,0.8318341
E2575,0.86582893
E1043,0.63915354
E8480,0.43766665
E10111,0.50717115
E330,0.369083
E7838,0.5983154
E9529,0.4638713
E5397,0.50482625
E6862,0.65753275
E3740,0.79437536
E118,0.40762472
E8133,0.39660805
E8441,0.7193954
E4814,0.47414118
E5592,0.6631357
E4117,0.56565267
E7793,0.7869185
E2368,0.3495822
E9954,0.4819561
E10307,0.5836822
E7729,0.8886895
E1123,0.6874528
E5155,0.750577
E5224,0.6032688
E2789,0.3974139
E8483,0.44602245
E10552,0.47571304
E8884,0.74446225
E10377,0.38916588
E10193,0.6030305
E5811,0.4791417
E8541,0.74763095
E486,0.9288824
E8888,0.907346
E6532,0.9663382
E4165,0.92952657
E3160,0.9638551
E982,0.7517398
E5505,0.76171577
E741,0.5823018
E8115,0.71998864
E7410,0.24727134
E687,0.36485857
E10385,0.5796898
E3446,0.41280067
E1295,0.83988637
E10695,0.45047015
E4417,0.3271157
E5099,0.7091095
E8638,0.46748257
E8886,0.8502618
E398,0.89185244
E7150,0.5801385
E7724,0.5519505
E2655,0.5370843
E9266,0.89561284
E7954,0.47236386
E3814,0.666523
E2045,0.37598434
E1948,0.6290439
E637,0.5956952
E4060,0.53222406
E2249,0.9441982
E4486,0.46727362
E7770,0.7615439
E6717,0.5343393
E10268,0.36351603
E2382,0.43835166
E4614,0.61607015
E4396,0.82010406
E9562,0.59443974
E7088,0.8333208
E1890,0.95060486
E1764,0.64261335
E9819,0.8760017
E4640,0.8938711
E8385,0.81765777
E2514,0.63873184
E8377,0.5883122
E3496,0.721882
E1432,0.41376185
E8278,0.43330446
E8219,0.43603352
E380,0.86726975
E416,0.6493743
E7152,0.47114676
E1463,0.8162546
E7247,0.79178554
E3418,0.91869926
E8092,0.768743
E4181,0.37611485
E10669,0.533079
E6786,0.95329446
E3287,0.5945875
E8885,0.512996
E7338,0.42093354
E4890,0.822292
E8264,0.49749008
E5638,0.47581062
E5846,0.46339756
E1646,0.43757197
E8763,0.49430844
E3816,0.9310949
E6732,0.48875257
E1303,0.72124994
E9350,0.40526414
E10419,0.966778
E4563,0.6501979
E647,0.75343466
E344,0.3190292
E9536,0.82278246
E2617,0.7557175
E10825,0.29139268
E1078,0.9853792
E6851,0.87162274
E8879,0.5787053
E6705,0.39352053
E4207,0.69871646
E4483,0.45548692
E9584,0.47449905
E9846,0.6896318
E9459,0.7441738
E1668,0.5155861
E4090,0.43086007
E6989,0.8243881
E564,0.49939182
E9169,0.60681164
E5313,0.8708698
E2354,0.69084847
E5456,0.42898634
E3361,0.45388815
E9856,0.806721
E6670,0.7307776
E4170,0.76462346
E7122,0.8496815
E3031,0.35872298
E6175,0.8773609
E4828,0.9229405
E817,0.9554905
E7319,0.932133
E9935,0.88147473
E4198,0.46244556
E5379,0.33106732
E9930,0.38253284
E3910,0.5144428
E9816,0.34372097
E6957,0.52361894
E10243,0.568233
E4518,0.6621169
E9633,0.7798055
E3538,0.8097906
E2286,0.59914094
E402,0.78345567
E5129,0.88662547
E4101,0.45714793
E3255,0.63417923
E5177,0.9499167
E10847,0.81868607
E2008,0.882291
E3681,0.84385496
E3359,0.7897909
E3636,0.760768
E2480,0.5563536
E8321,0.47239134
E1642,0.44908732
E8054,0.50179213
E5026,0.6428332
E1942,0.76634955
E9332,0.70091194
E5820,0.9441155
E112,0.9988746
E7151,0.5535583
E7897,0.49668851
E4685,0.68851334
E7427,0.9669748
E5077,0.50945336
E9841,0.40957373
E5903,0.5226314
E6297,0.87102693
E8018,0.61657757
E5032,0.6280067
E9927,0.6015283
E5135,0.5236642
E7852,0.80502295
E231,0.48223817
E3393,0.7503928
E3017,0.26594317
E9673,0.4913424
E1172,0.85731345
E6126,0.9071009
E1470,0.88971233
E8896,0.6729475
E3161,0.8065167
E3472,0.7264106
E2167,0.7466283
E2636,0.4393315
E8149,0.7401671
E9090,0.69835997
E6847,0.8492003
E2786,0.9445268
E9972,0.84410113
E10107,0.95403016
E3113,0.43112484
E6044,0.6870209
E6075,0.5202669
E5686,0.63637215
E576,0.90367657
E8605,0.4755737
E9563,0.74248135
E8551,0.6187047
E1959,0.4999882
E379,0.905807
E215,0.5322858
E2899,0.42702088
E5092,0.49391437
E8581,0.7229274
E407,0.74545723
E5325,0.61744386
E8198,0.8576267
E10722,0.6131771
E7543,0.5702393
E5393,0.5695192
E10077,0.44191894
E7679,0.35449445
E10621,0.37939465
E9672,0.86419153
E4168,0.8340025
E1340,0.60556483
E5498,0.36381704
E4826,0.35979187
E3632,0.44767335
E9797,0.80495906
E9581,0.79487413
E7235,0.39896646
E8968,0.81034315
E8842,0.8062006
E4905,0.40540892
E6544,0.6520361
E6785,0.5270308
E10443,0.3437905
E5131,0.86881727
E7879,0.7815256
E226,0.71496546
E2087,0.78419435
E8023,0.46605527
E6833,0.87328863
E10586,0.61049294
E5192,0.7365288
E1223,0.51523924
E10350,0.48411986
E6395,0.67664206
E8309,0.5911814
E9958,0.86238813
E8486,0.88254184
E8378,0.4128925
E4988,0.9643943
E9014,0.97545946
E3392,0.4379723
E8493,0.7040971
E5838,0.81267005
E9295,0.5393896
E5932,0.98530525
E176,0.72960657
E1795,0.49417764
E6864,0.8418472
E1578,0.86889285
E8815,0.90729076
E1280,0.60585254
E8566,0.3609438
E78,0.44111004
E6884,0.3711615
E2651,0.5478266
E6771,0.6498078
E1053,0.42274505
E7258,0.9394184
E7447,0.457201
E8518,0.8743641
E3787,0.5812326
E10426,0.80351204
E6454,0.38719597
E1420,0.6142062
E7043,0.4965729
E8085,0.41715273
E4512,0.45850724
E3692,0.39122623
E185,0.47461697
E8415,0.4037802
E7100,0.68566996
E7943,0.46906072
E2820,0.44210193
E1479,0.94426566
E10025,0.49240455
E1439,0.55046475
E7166,0.6817047
E3685,0.6350148
E6442,0.43973804
E5688,0.5866849
E5565,0.5238114
E2486,0.56739557
E10689,0.9237036
E10331,0.7372042
E1785,0.9407768
E50,0.9297504
E2609,0.6565159
E7228,0.7552714
E1055,0.43675703
E4306,0.75942343
E9291,0.9315947
E317,0.7396489
E5867,0.74423015
E874,0.8506943
E7027,0.77627057
E8992,0.40328133
E6380,0.7989254
E9269,0.8579339
E501,0.39338064
E971,0.87575084
E6588,0.5717189
E6545,0.118977085
E10626,0.48765308
E3134,0.73348695
E4650,0.31693858
E3992,0.60287374
E4522,0.4498026
E512,0.58967656
E2459,0.8905625
E349,0.2701898
E2547,0.342118
E8112,0.86506313
E493,0.6959446
E10769,0.4710181
E10300,0.7833525
E9007,0.85264575
E281,0.49047434
E6489,0.70408016
E5485,0.5270863
E4173,0.8761621
E1566,0.52177334
E10407,0.792442
E560,0.4136887
E2932,0.4444695
E8166,0.9794605
E7355,0.38426542
E705,0.5396923
E6017,0.8692696
E3186,0.4461084
E2921,0.51376426
E7386,0.85050815
E7926,0.7180532
E76,0.6418816
E6718,0.8796355
E7072,0.8066267
E7860,0.45329225
E5785,0.55400056
E4745,0.6318973
E3061,0.8341839
E1217,0.84478647
E3719,0.31465024
E436,0.7086007
E7429,0.53505135
E844,0.47952473
E6919,0.8124421
E9385,0.93383145
E9141,0.58174306
E10500,0.54334366
E3919,0.73502105
E3861,0.9029852
E10488,0.4271281
E3748,0.46968943
E9168,0.84311813
E9853,0.9849569
E7503,0.41469884
E7671,0.6640413
E1069,0.650208
E8950,0.560409
E2709,0.6935126
E5402,0.8243881
E961,0.53971195
E723,0.95587075
E7686,0.5477868
E5594,0.6713934
E5018,0.8094741
E7974,0.973743
E3665,0.5049349
E9977,0.58905494
E2396,0.40630203
E6976,0.6710482
E10286,0.38367194
E7669,0.37196738
E5049,0.7040232
E6433,0.9762632
E4205,0.70017505
E7314,0.7400057
E7596,0.8078789
E1907,0.96875215
E6255,0.46580946
E125,0.79107887
E7996,0.7235826
E8545,0.77332205
E2466,0.67141455
E9985,0.6588198
E4184,0.49829772
E2551,0.94983304
E10783,0.64244664
E1122,0.52570367
E7581,0.7011358
E972,0.91144055
E2744,0.558396
E3549,0.66734886
E8699,0.37730893
E5723,0.8388868
E5106,0.7373487
E3154,0.93849427
E122,0.82705975
E1179,0.8598618
E4627,0.7934155
E864,0.7157741
E9915,0.77380073
E9479,0.36612928
E5827,0.9041339
E3746,0.4321284
E8505,0.69768494
E9560,0.7319755
