id,prob
E10559,0.9052532
E4849,0.6841177
E3964,0.6237099
E542,0.7842168
E331,0.9778299
E10471,0.86322856
E9186,0.9843427
E5576,0.9709338
E9705,0.9056646
E7309,0.80633974
E476,0.91291064
E5217,0.8872752
E7653,0.8495692
E1530,0.9387685
E10379,0.8896494
E1516,0.82890236
E9418,0.93991005
E9388,0.88256943
E10737,0.719921
E5290,0.5675475
E6010,0.6441601
E4307,0.6886498
E4548,0.9047595
E3030,0.9952537
E68,0.9105744
E5739,0.63081354
E2394,0.91278785
E3629,0.94968086
E8652,0.9145588
E5779,0.90980047
E10269,0.91483134
E7456,0.82916635
E9199,0.61883336
E1606,0.92149734
E9077,0.93116724
E9576,0.96470505
E2810,0.77823925
E1091,0.91807526
E2755,0.97539943
E1405,0.8233887
E2213,0.73377925
E1321,0.98729825
E10797,0.691761
E7340,0.6980703
E9659,0.71402574
E1678,0.9719169
E9591,0.9483044
E6377,0.92680836
E10130,0.64101547
E5582,0.6815102
E9510,0.7895236
E4237,0.937936
E10470,0.8729611
E7528,0.6812788
E2567,0.74971575
E6083,0.8621577
E6735,0.8170027
E6800,0.6821721
E2293,0.7342761
E1633,0.8979608
E10659,0.7317008
E543,0.90565085
E7177,0.92237717
E4126,0.68266416
E2850,0.89298373
E2078,0.9733357
E5746,0.7372468
E2445,0.97450554
E2958,0.9753583
E3497,0.91055655
E5069,0.9304205
E8995,0.6798032
E8220,0.8821554
E4354,0.96327376
E7578,0.88637316
E2122,0.9354873
E6661,0.8170968
E2582,0.857943
E1836,0.725679
E7881,0.91762733
E6685,0.9671236
E113,0.84951204
E1161,0.84493655
E8062,0.9601824
E5637,0.822149
E4470,0.94076324
E6905,0.94695145
E7553,0.963304
E7773,0.75462735
E1991,0.6953369
E3997,0.9181901
E5326,0.96060854
E3076,0.7278339
E2018,0.7052313
E594,0.8482947
E2971,0.6060028
E6692,0.5983139
E3383,0.72360045
E8755,0.9810925
E1494,0.7030068
E7725,0.9231679
E8265,0.9575995
E8021,0.95487595
E7110,0.88549876
E8495,0.6970057
E6551,0.7326408
E10716,0.6373879
E9434,0.9851773
E2128,0.9748078
E8123,0.77815306
E1658,0.92126906
E7504,0.9037668
E8552,0.94956154
E798,0.91290754
E5976,0.7121279
E6501,0.27877498
E8648,0.8874148
E7213,0.7201277
E6667,0.7484362
E6701,0.89770645
E4011,0.7796003
E6880,0.9124198
E2679,0.98638797
E10280,0.9149189
