id,prob
E3064,0.8888889
E298,0.8397052
E3512,0.97944826
E5670,0.9993395
E5005,0.35119522
E1537,0.25501782
E4070,0.53677154
E9296,0.39237258
E6748,0.90272886
E8060,0.5273418
E3969,0.8816499
E1796,0.73911124
E3195,0.5643258
E8042,0.83279496
E5983,0.89027274
E7860,0.6529987
E5139,0.8521772
E4304,0.8193507
E9047,0.44622552
E4737,0.43362623
E3840,0.6710878
E2455,0.9242651
E8767,0.3569672
E7242,0.41182837
E1715,0.45981595
E3689,0.92061037
E2885,0.4012309
E4522,0.6564887
E657,0.92169327
E3497,0.64944214
E864,0.7149732
E8007,0.843004
E3327,0.25642952
E1823,0.832177
E3682,0.49787784
E5514,0.52027947
E8903,0.6108502
E3685,0.38540408
E6047,0.107470475
E2605,0.6511164
E6839,0.61443174
E1487,0.5203231
E5725,0.21666092
E655,0.8509254
E7590,0.3956899
E124,0.8892691
E4788,0.88376665
E2448,0.5084777
E3313,0.947667
E6306,0.9813359
E7027,0.70708406
E3684,0.67424136
E3835,0.79099095
E1346,0.93238956
E961,0.92391187
E7255,0.82876104
E4814,0.8161617
E8479,0.81027377
E6676,0.9225444
E2707,0.8935556
E3193,0.11160846
E5285,0.7882336
E3804,0.53454465
E8347,0.89943844
E5305,0.9067689
E6401,0.35212868
E8648,0.39057833
E892,0.5607961
E76,0.5159478
E3874,0.3311192
E742,0.2754676
E8402,0.5074605
E3614,0.65423286
E9360,0.78453666
E496,0.658425
E1680,0.38924426
E206,0.9246186
E7507,0.91013026
E8972,0.841159
E7371,0.8261157
E8364,0.9242857
E8817,0.51116496
E396,0.5302694
E821,0.80545187
E3679,0.8201648
E6160,0.47921604
E6822,0.5503759
E6689,0.7460802
E5142,0.66038346
E3070,0.42863426
E4713,0.9720005
E6288,0.71713775
E8138,0.8565396
E6187,0.9619373
E5157,0.52881134
E5752,0.87097514
E6317,0.85411555
E7647,0.3415889
E123,0.75027305
E6781,0.2919676
E1861,0.99421763
E3098,0.3871118
E424,0.963612
E2428,0.46975875
E852,0.738514
E1220,0.9022144
E3204,0.9096871
E6916,0.80940205
E900,0.657262
E4840,0.9994692
E2640,0.8905129
E5288,0.9615786
E5823,0.9322253
E7108,0.9256789
E7054,0.8853315
E504,0.48044214
E8610,0.9678063
E1874,0.7962898
E1282,0.6165492
E6677,0.9446843
E1611,0.8914816
E2429,0.56114435
E4645,0.8494762
E1527,0.64754605
E5425,0.7281268
E7299,0.6135305
E4600,0.8830992
E7362,0.58323014
E1307,0.47365263
E4921,0.8553264
E6489,0.6524193
E8187,0.96741986
E549,0.8895045
E6176,0.56364256
E4123,0.8752226
E5132,0.5919924
E2846,0.9162326
E528,0.75660384
E6825,0.8081605
E4145,0.89413095
E8475,0.9985297
E5866,0.61539555
E2042,0.9223769
E638,0.92145705
E5779,0.72502154
E3107,0.16966523
E6427,0.17721938
E967,0.8486802
E6959,0.3241466
E1432,0.96231216
E4403,0.43166792
E1941,0.6174379
E2763,0.82372916
E2356,0.76229537
E8096,0.81164294
E6210,0.88272065
E2325,0.34949023
E9421,0.85213953
E7057,0.91744393
E3419,0.7790455
E6209,0.83363533
E6739,0.9583594
E2807,0.5268821
E2407,0.12596327
E2291,0.9125042
E7990,0.9613031
E5136,0.9524128
E2221,0.7874436
E6944,0.7500174
E1656,0.9402317
E456,0.7128662
E5054,0.7280407
E7798,0.9374215
E6423,0.9890661
E8301,0.28885022
E4347,0.23925523
E4058,0.77922463
E6458,0.9451587
E3886,0.80884826
E2147,0.85923487
E3299,0.8235603
E6073,0.84182996
E8963,0.88541675
E2446,0.98002267
E399,0.8571625
E8815,0.8486428
E5381,0.8913456
E1297,0.9190971
E3518,0.5442185
E960,0.430302
E8679,0.32528853
E2030,0.86662126
E8507,0.50626355
E3812,0.2851367
E5105,0.39814487
E8651,0.87125957
E2998,0.72076577
E1646,0.359235
E1640,0.9909402
E7113,0.8373327
E3723,0.6881895
E1202,0.3770668
E4876,0.38077897
E4295,0.8958468
E7997,0.9883619
E6418,0.39853275
E4422,0.7734589
E5745,0.8441001
E5556,0.58970326
E5279,0.78324527
E8433,0.8582724
E7736,0.5972274
E3814,0.9326236
E5616,0.9575725
E971,0.7037704
E4351,0.60026443
E4246,0.37351748
E4187,0.17995375
E5606,0.97037256
E3983,0.7644067
E1206,0.5006437
E7341,0.53161126
E887,0.9047875
E4817,0.25320247
E8607,0.844391
E9392,0.9194557
E4068,0.3822099
E7868,0.7049042
E2267,0.91192865
E47,0.9374652
E7678,0.96231204
E4150,0.49631166
E1927,0.99932635
E8176,0.8776896
E6182,0.9566781
E5316,0.9736831
E8563,0.44541484
E3754,0.90918607
E4556,0.83261675
E6645,0.8550452
E7387,0.3954308
E2855,0.4682521
E6120,0.78229177
E8225,0.9059552
E9093,0.7470402
E3441,0.90738004
E3905,0.72272193
E3240,0.3936761
E8580,0.3708821
E6100,0.53150827
E4855,0.9238835
E1456,0.5533728
E3407,0.8410416
E8196,0.92588013
E6814,0.30612364
E2345,0.8849909
E5582,0.25793937
E5784,0.7069043
E7156,0.2777765
E4095,0.2766413
E3876,0.97342604
E4016,0.6814768
E6884,0.8630949
E7381,0.4708154
E4927,0.8651488
E4531,0.25209785
E7881,0.9304497
E1797,0.5199173
E8728,0.76460624
E4604,0.924325
E2436,0.9291907
E639,0.97575265
E8889,0.9599918
E4941,0.4382991
E2869,0.99880576
E2400,0.8919789
E5820,0.85725266
E1848,0.68370146
E3919,0.38447362
E1792,0.9615786
E7121,0.8586219
E2563,0.9250992
E2818,0.73350024
E975,0.8884706
E6451,0.66263866
E2955,0.45037895
E5467,0.42661944
E5248,0.8163042
E4475,0.4735859
E8961,0.5236159
E1326,0.8236292
E6255,0.889568
E5842,0.50991786
E7751,0.92834353
E3076,0.7779646
E8318,0.49832478
E8737,0.64848965
E7246,0.298986
E5128,0.95665103
E706,0.83446586
E3047,0.94533503
E5017,0.9352249
E5314,0.98224455
E1625,0.88950336
E4185,0.37847903
E9351,0.37274405
E5236,0.96231204
E5301,0.55168873
E3537,0.7715833
E2260,0.95691764
E1001,0.9653986
E9235,0.47519037
E5837,0.865289
E6561,0.33836493
E4030,0.9107056
E219,0.9410297
E2574,0.96231216
E6654,0.92360866
E5886,0.4374159
E7240,0.78111804
E5718,0.9210958
E216,0.5555038
E4300,0.7139104
E1082,0.9202778
E6599,0.37200886
E186,0.5499108
E839,0.91683996
E2961,0.578127
E8238,0.40860885
E1313,0.6124784
E7700,0.826462
E5567,0.9464467
E1167,0.8455403
E4245,0.49851823
E6208,0.7656543
E1110,0.9409438
E7771,0.49501258
E6094,0.9910018
E5115,0.48127082
E7504,0.9260676
E8348,0.9164304
E1820,0.74809754
E5336,0.9406095
E7213,0.5148288
E8806,0.9138776
E8017,0.4941929
E4823,0.95002997
E4144,0.94691414
E2536,0.9244889
E8262,0.9846177
E5900,0.87856925
E7120,0.3066119
E6771,0.4675938
E3711,0.8514503
E2025,0.26099503
E367,0.9321253
E8224,0.8518168
E1532,0.4083343
E2570,0.3440636
E8501,0.2895984
E1174,0.9025552
E8407,0.9780431
E3051,0.9629907
E1836,0.3416636
E5493,0.669098
E8098,0.42434773
E7023,0.3740846
E9026,0.5414702
E1460,0.91700584
E443,0.7950571
E5714,0.88104266
E8170,0.92353195
E3578,0.7679571
E2520,0.685392
E5825,0.92289287
E8801,0.9377667
E1113,0.68428236
E436,0.60545576
E983,0.8847468
E4653,0.6423697
E7827,0.61073345
E2840,0.5412702
E8241,0.79578483
E7319,0.9056506
E3555,0.9408064
E906,0.86250144
E6316,0.8482581
E307,0.23990345
E5029,0.7122608
E6590,0.81559503
E2752,0.86996907
E1871,0.6368241
E459,0.99647117
E6042,0.8999704
E6355,0.27632114
E473,0.32721147
E6413,0.8489656
E4664,0.09375928
E4972,0.91376543
E5273,0.91991323
E1150,0.85877776
E8967,0.9467728
E4349,0.8144639
E927,0.95132643
E2604,0.92233557
E8428,0.38665685
E5610,0.89698946
E139,0.57118464
E4797,0.63392454
E264,0.90376127
E5595,0.6913976
E5707,0.9062792
E7563,0.98383486
E1633,0.3993937
E2182,0.849206
E4765,0.6252084
E4523,0.7691407
E5264,0.6163578
E7204,0.4232089
E4779,0.9067353
E4079,0.9411001
E3406,0.90616405
E6632,0.85836726
E2268,0.70702946
E1112,0.47153673
E6344,0.92078465
E1161,0.7225509
E7218,0.8254268
E7918,0.32689872
E7169,0.9427583
E45,0.91751486
E4813,0.94243807
E4731,0.84200394
E813,0.56841844
E8233,0.7290472
E3864,0.8294509
E5511,0.8591557
E6205,0.5095456
E5217,0.86711955
E7834,0.83579254
E7897,0.89594436
E113,0.6571607
E962,0.4944497
E9153,0.8543634
E3587,0.8524102
E1156,0.755788
E3180,0.99703157
E8712,0.455947
E4319,0.73709935
E5088,0.9654628
E331,0.78631556
E8040,0.8183291
E363,0.5414437
E8051,0.3230067
E4098,0.39636925
E6535,0.40868464
E7594,0.43428952
E5228,0.58682936
E1281,0.9894218
E5441,0.50382036
E2705,0.7518009
E1587,0.33755904
E5644,0.8114242
E7501,0.9167942
E3008,0.8846161
E416,0.35075468
E7001,0.43536928
E6127,0.55804247
E6863,0.9409006
E4843,0.8080339
E6734,0.6695746
E413,0.47829214
E5571,0.97085345
E3629,0.9475624
E2934,0.8702099
E292,0.9337298
E700,0.30304998
E5979,0.57227695
E5712,0.97669625
E1073,0.79570293
E323,0.79219973
E1953,0.32918245
E1365,0.6549221
E4748,0.46820813
E8886,0.6727442
E3569,0.89879644
E4221,0.7929838
E4547,0.92889094
E5865,0.5863638
E7420,0.9140271
E4153,0.81992006
E4253,0.9998271
E2019,0.8111879
E7718,0.9902203
E7132,0.922386
E7629,0.91309404
E2956,0.31326804
E8925,0.8578741
E6243,0.21747805
E1437,0.8195553
E1793,0.65867263
E9186,0.51329225
E7157,0.8933592
E8746,0.899962
E5161,0.7879115
E505,0.7446299
E9177,0.43668842
E2742,0.86195165
E296,0.8211827
E8716,0.6409136
E2740,0.7976676
E5414,0.501927
E9037,0.18980965
E4314,0.9333317
E4860,0.4427612
E3928,0.5894205
E6786,0.91104645
E7367,0.7585453
E6146,0.9192881
E42,0.67036295
E8809,0.582701
E8512,0.8296086
E36,0.19264376
E4127,0.8704973
E5964,0.86800987
E2007,0.6802254
E3086,0.7945296
E7915,0.4683309
E9403,0.9102635
E8947,0.93259305
E8606,0.6042153
E7167,0.9681249
E1261,0.87356853
E1051,0.83845204
E4971,0.72571856
E6798,0.8138763
E4196,0.47857422
E6652,0.57721305
E3742,0.7414227
E5219,0.32361826
E3961,0.6575715
E746,0.8902269
E8827,0.33665395
E2202,0.8860113
E8778,0.80922127
E6285,0.9792748
E1637,0.5319777
E3414,0.9243231
E176,0.9356776
E5066,0.4149401
E969,0.40435147
E5182,0.9731951
E3914,0.8442373
E1203,0.63109976
E1787,0.35924348
E4135,0.8090409
E2504,0.4418413
E1692,0.23545894
E1518,0.72234625
E5298,0.59089375
E7145,0.5679453
E4849,0.43201065
E1568,0.9717399
E5804,0.8881685
E4487,0.91054857
E8666,0.92152226
E1383,0.614044
E4724,0.7874443
E2586,0.44681227
E7562,0.37383935
E5741,0.91368186
E7032,0.8965047
E4958,0.24917461
E5146,0.45363316
E6611,0.53172946
E4338,0.80956423
E1200,0.7611153
E8866,0.9245412
E5872,0.49080732
E2598,0.93263924
E7547,0.61716735
E8441,0.42051464
E487,0.9060049
E5181,0.8837802
E7494,0.59536946
E6683,0.29550815
E7328,0.70949805
E7975,0.5575437
E7683,0.22927547
E6925,0.61977965
E4252,0.85306233
E1832,0.6012512
E8033,0.63135546
E2889,0.733521
E3611,0.25934035
E2350,0.8536238
E92,0.53583163
E9007,0.8821389
E5645,0.57511234
E3501,0.4332214
E5278,0.9210629
E8821,0.8347299
E9227,0.89051586
E1205,0.7664529
E4966,0.4425051
E4050,0.98375076
E6715,0.73887306
E1494,0.87466586
E2087,0.96231204
E7527,0.8286973
E873,0.43011287
E5027,0.43439028
E5622,0.5171227
E7724,0.75244737
E2244,0.92697895
E6691,0.58178306
E6760,0.945428
E5573,0.8723521
E3930,0.9198552
E3134,0.8994559
E5763,0.92112964
E4775,0.61347437
E1857,0.43815944
E2450,0.93155736
E6321,0.91089934
E8492,0.7024222
E4369,0.97347564
E8979,0.3550085
E624,0.8181053
E3851,0.9827236
E7569,0.99381024
E114,0.52252007
E5585,0.9766514
E339,0.79646146
E6276,0.81945586
E2854,0.73677
E6345,0.87875974
E3873,0.7399022
E6408,0.88169706
E2882,0.9609755
E7383,0.28357697
E1270,0.9069073
E2144,0.45405313
E6918,0.39493313
E1101,0.78085726
E2369,0.9447872
E7276,0.92881393
E2875,0.96231204
E588,0.40015313
E5908,0.57468164
E1413,0.6904888
E2692,0.6714976
E6855,0.92403287
E1716,0.981844
E3366,0.5063538
E3281,0.2602959
E1826,0.8011536
E4723,0.6730489
E4355,0.6040881
E4611,0.5166175
E4585,0.73441494
E2804,0.88630617
E8571,0.87922424
E7602,0.90570086
E1238,0.9090246
E5790,0.42669368
E3658,0.9470469
E3521,0.60472566
E3747,0.9498816
E6292,0.938331
E3516,0.8757171
E5009,0.9022444
E4758,0.37742674
E3422,0.9532347
E1895,0.9682169
E1979,0.23257847
E3524,0.42659312
E4262,0.8818939
E1615,0.86564857
E5478,0.9749928
E6283,0.30897644
E6585,0.5166324
E6450,0.3491179
E8756,0.8756003
E4222,0.30775803
E2012,0.36583883
E5572,0.8090408
E3163,0.996846
E5166,0.93911016
E8445,0.48582375
E8538,0.63597363
E8554,0.6504268
E1667,0.82084805
E4198,0.2097137
E586,0.54064375
E2393,0.9423478
E2187,0.68402886
E6772,0.47319773
E8536,0.9446401
E2384,0.76556563
E5177,0.9992687
E5953,0.9832969
E4486,0.7164051
E7720,0.589294
E8591,0.9251903
