id,prob
E10559,0.5775637
E4849,0.8020101
E3964,0.87772405
E542,0.58295995
E331,0.9121447
E10471,0.99127734
E9186,0.60259134
E5576,0.36185277
E9705,0.65743226
E7309,0.9601164
E476,0.93287086
E5217,0.49208984
E7653,0.57610065
E1530,0.5716175
E10379,0.8162322
E1516,0.6589236
E9418,0.83184946
E9388,0.35980493
E10737,0.8173347
E5290,0.93106985
E6010,0.5109273
E4307,0.4445314
E4548,0.29257947
E3030,0.41411346
E68,0.8078224
E5739,0.8551825
E2394,0.7032866
E3629,0.91808945
E8652,0.999316
E5779,0.6622296
E10269,0.962614
E7456,0.72996765
E9199,0.4067708
E1606,0.8896836
E9077,0.9074157
E9576,0.42024535
E2810,0.90907353
E1091,0.99773586
E2755,0.6336117
E1405,0.30312523
E2213,0.6148968
E1321,0.4511247
E10797,0.60580844
E7340,0.5999596
E9659,0.8923638
E1678,0.8019659
E9591,0.20727414
E6377,0.92845464
E10130,0.82757473
E5582,0.49199563
E9510,0.17224365
E4237,0.42203546
E10470,0.8017024
E7528,0.80505794
E2567,0.6433026
E6083,0.31156114
E6735,0.91630346
E6800,0.80029076
E2293,0.1667276
E1633,0.6756659
E10659,0.8841746
E543,0.4073404
E7177,0.49583963
E4126,0.46304998
E2850,0.45944116
E2078,0.35074887
E5746,0.9529885
E2445,0.9270773
E2958,0.5639974
E3497,0.7782591
E5069,0.9674136
E8995,0.68423325
E8220,0.99842846
E4354,0.83581924
E7578,0.4060151
E2122,0.8122898
E6661,0.55096036
E2582,0.4901168
E1836,0.67191184
E7881,0.9020161
E6685,0.63128525
E113,0.5211981
E1161,0.50032514
E8062,0.6580462
E5637,0.28803456
E4470,0.9277852
E6905,0.7462018
E7553,0.40585127
E7773,0.35860988
E1991,0.9174435
E3997,0.88697267
E5326,0.5101689
E3076,0.8777045
E2018,0.6308696
E594,0.507277
E2971,0.1346148
E6692,0.86035186
E3383,0.9328465
E8755,0.7891413
E1494,0.827466
E7725,0.4341625
E8265,0.5725852
E8021,0.47259274
E7110,0.88767946
E8495,0.9997993
E6551,0.39136997
E10716,0.36827767
E9434,0.33274853
E2128,0.89418405
E8123,0.41504955
E1658,0.95512456
