id,prob
E10559,0.5357001
E4849,0.73730034
E3964,0.82816213
E542,0.53783983
E331,0.8437825
E10471,0.93398017
E9186,0.5805762
E5576,0.4402902
E9705,0.61310613
E7309,0.9359646
E476,0.8850619
E5217,0.47854692
E7653,0.6079056
E1530,0.60836965
E10379,0.7577859
E1516,0.6710198
E9418,0.7811474
E9388,0.384876
E10737,0.7872978
E5290,0.86702347
E6010,0.5559024
E4307,0.45158088
E4548,0.3746983
E3030,0.47814575
E68,0.7697608
E5739,0.84509474
E2394,0.6684265
E3629,0.80702156
E8652,0.9976985
E5779,0.69217443
E10269,0.8908429
E7456,0.69695616
E9199,0.36879104
E1606,0.8683546
E9077,0.8538061
E9576,0.3920274
E2810,0.82764584
E1091,0.9954177
E2755,0.5460489
E1405,0.36467665
E2213,0.54838693
E1321,0.44906843
E10797,0.57104224
E7340,0.56918573
E9659,0.83951133
E1678,0.75188404
E9591,0.30641425
E6377,0.9287751
E10130,0.7698094
E5582,0.45120507
E9510,0.24460979
E4237,0.4530812
E10470,0.79405105
E7528,0.78439254
E2567,0.6362657
E6083,0.30851272
E6735,0.87118345
E6800,0.77499574
E2293,0.30905744
E1633,0.71382046
E10659,0.89202523
E543,0.39982677
E7177,0.5098058
E4126,0.50819755
E2850,0.47517928
E2078,0.38796797
E5746,0.91964763
E2445,0.8770479
E2958,0.5200476
E3497,0.774149
E5069,0.9447971
E8995,0.5623526
E8220,0.99012417
E4354,0.83354485
E7578,0.35896927
E2122,0.75384504
E6661,0.46509826
E2582,0.54314035
E1836,0.61252666
E7881,0.87228435
E6685,0.52065164
E113,0.4978966
E1161,0.4569664
E8062,0.5797663
E5637,0.34146634
E4470,0.90998536
E6905,0.7359181
E7553,0.4785492
E7773,0.3800582
E1991,0.8639521
E3997,0.7908911
E5326,0.5364914
E3076,0.73240894
E2018,0.5323408
E594,0.4195064
E2971,0.32976004
E6692,0.79380745
E3383,0.8903122
E8755,0.69938
E1494,0.8104242
E7725,0.48329636
E8265,0.5176857
E8021,0.56383526
E7110,0.77894366
E8495,0.9992986
E6551,0.40223277
E10716,0.4360739
E9434,0.3653081
E2128,0.8649562
E8123,0.39614725
E1658,0.94660753
E7504,0.3099437
E8552,0.39680505
E798,0.79539275
E5976,0.6105151
E6501,0.50658983
E8648,0.64567566
E7213,0.6805463
E6667,0.4309318
E6701,0.62034667
E4011,0.81485206
E6880,0.42786673
E2679,0.72112143
E10280,0.34996036
E6213,0.8938069
E7717,0.74503297
E5342,0.60327995
E3783,0.98143595
E4763,0.48980373
E8563,0.7458676
E8256,0.7978257
E7562,0.41266006
E8807,0.92084813
E1160,0.7864465
E6757,0.7124809
E4130,0.55311394
E10778,0.53776824
E6789,0.6378931
E1448,0.4396675
E1869,0.87529916
E10537,0.56043315
E8348,0.5331391
E5158,0.4285133
E5939,0.84728914
E10623,0.45568615
E4941,0.6752082
E9068,0.52544665
E9894,0.66455096
E1121,0.94993746
E5634,0.95240176
E3890,0.92053145
E10467,0.56695014
E3728,0.7845525
E3943,0.74275243
E6303,0.43723312
E9052,0.8520429
E533,0.9141197
E132,0.50292015
E1580,0.60003823
E4034,0.547598
E9422,0.87372625
E2575,0.8628194
E1043,0.71061367
E8480,0.45739067
E10111,0.46428522
E330,0.43209177
E7838,0.74055314
E9529,0.39919224
E5397,0.55930614
E6862,0.7810023
E3740,0.8695999
E118,0.44703674
E8133,0.36956578
E8441,0.6412666
E4814,0.60651517
E5592,0.67207474
E4117,0.5555555
E7793,0.89981633
E2368,0.4120272
E9954,0.45505452
E10307,0.70197517
E7729,0.92150295
E1123,0.7798459
E5155,0.79257536
E5224,0.5967666
E2789,0.6471991
E8483,0.50902176
E10552,0.46330175
E8884,0.89362013
E10377,0.45748422
E10193,0.35774896
E5811,0.30508968
E8541,0.72995883
E486,0.8444612
E8888,0.8933123
E6532,0.96904504
E4165,0.9425507
E3160,0.85515726
E982,0.7985262
E5505,0.67127705
E741,0.45197856
E8115,0.8407001
E7410,0.36192977
E687,0.34150636
E10385,0.7912002
E3446,0.46493354
E1295,0.8699276
E10695,0.54871535
E4417,0.42974293
E5099,0.7015855
E8638,0.49912035
E8886,0.6681046
E398,0.6942032
E7150,0.62936044
E7724,0.54133856
E2655,0.6516326
E9266,0.90610856
E7954,0.38515654
E3814,0.8944488
E2045,0.36284047
E1948,0.72968394
E637,0.6695054
E4060,0.5135539
E2249,0.9461945
E4486,0.45679954
E7770,0.7667499
E6717,0.38128567
E10268,0.3051013
E2382,0.48954192
E4614,0.57828236
E4396,0.6886813
E9562,0.8059587
E7088,0.8466578
E1890,0.9469119
E1764,0.6539337
E9819,0.7245399
E4640,0.86295754
E8385,0.7632757
E2514,0.67002344
E8377,0.5671017
E3496,0.7539278
E1432,0.34643984
E8278,0.40851396
E8219,0.40447146
E380,0.84926426
E416,0.3604176
E7152,0.6839194
E1463,0.8956003
E7247,0.72538704
E3418,0.9251657
E8092,0.7164994
E4181,0.42043507
E10669,0.490905
E6786,0.94406635
E3287,0.59296626
E8885,0.5118343
E7338,0.3849873
E4890,0.84877104
E8264,0.63659805
E5638,0.38742405
E5846,0.41853917
E1646,0.3370731
E8763,0.9025579
E3816,0.92614156
E6732,0.81413263
E1303,0.8931406
E9350,0.3837157
E10419,0.8926586
E4563,0.6195573
E647,0.7167743
E344,0.3202114
E9536,0.81739926
E2617,0.73484457
E10825,0.33273825
E1078,0.5941874
E6851,0.79458165
E8879,0.39743418
E6705,0.38041165
E4207,0.6547198
E4483,0.573999
E9584,0.34567955
E9846,0.65482485
E9459,0.7898821
E1668,0.5653551
E4090,0.326498
E6989,0.79427415
E564,0.34825727
E9169,0.4481297
E5313,0.83634514
E2354,0.60132223
E5456,0.35295215
E3361,0.4694576
E9856,0.740526
E6670,0.5402369
E4170,0.76423526
E7122,0.90809125
E3031,0.38121012
E6175,0.79657
E4828,0.8074983
E817,0.91747785
E7319,0.8978322
E9935,0.754535
E4198,0.34785208
E5379,0.3029592
E9930,0.46960044
E3910,0.3814367
E9816,0.35881087
E6957,0.56631863
E10243,0.5578757
E4518,0.578142
E9633,0.86994374
E3538,0.8938924
E2286,0.558744
E402,0.8227089
E5129,0.9103305
E4101,0.31458667
E3255,0.7783083
E5177,0.66234434
E10847,0.88167083
E2008,0.8058992
E3681,0.81688505
E3359,0.8272473
E3636,0.76807725
E2480,0.5728016
E8321,0.62217796
E1642,0.4226737
E8054,0.48376596
E5026,0.86920494
E1942,0.7886403
E9332,0.7383088
E5820,0.82682747
E112,0.9642816
E7151,0.48821855
E7897,0.5195743
E4685,0.7738963
E7427,0.6813622
E5077,0.41900116
E9841,0.6179246
E5903,0.5238704
E6297,0.88953024
E8018,0.91427094
E5032,0.64770365
E9927,0.5481803
E5135,0.5063123
E7852,0.69888544
E231,0.34898964
E3393,0.93569136
E3017,0.93391734
E9673,0.59315866
E1172,0.7088727
E6126,0.85082775
E1470,0.88914216
E8896,0.6952154
E3161,0.7031866
E3472,0.78081995
E2167,0.72655976
E2636,0.43081942
E8149,0.7601606
E9090,0.7315472
E6847,0.8850286
E2786,0.8752364
E9972,0.9050841
E10107,0.7110722
E3113,0.49641916
E6044,0.674858
E6075,0.6736181
E5686,0.8077392
E576,0.97490656
E8605,0.47892636
E9563,0.74725854
E8551,0.48912492
E1959,0.56805325
E379,0.8717235
E215,0.49806464
E2899,0.368026
E5092,0.45759562
E8581,0.74066615
E407,0.89679825
E5325,0.6405363
E8198,0.7329047
E10722,0.5101495
E7543,0.52554667
E5393,0.5329778
E10077,0.3711606
E7679,0.7051071
E10621,0.5066997
E9672,0.8732791
E4168,0.8101059
E1340,0.6466576
E5498,0.4387004
E4826,0.56292886
E3632,0.45727363
E9797,0.6345868
E9581,0.76563823
E7235,0.48047206
E8968,0.94387424
E8842,0.8813312
E4905,0.39175034
E6544,0.5713274
E6785,0.48712024
E10443,0.28537694
E5131,0.7359818
E7879,0.8457158
E226,0.72415364
E2087,0.74192214
E8023,0.49735963
E6833,0.9424208
E10586,0.4785087
E5192,0.7735687
E1223,0.5048903
E10350,0.5840911
E6395,0.7619653
E8309,0.58284706
E9958,0.8488303
E8486,0.8619757
E8378,0.7977024
E4988,0.9278684
E9014,0.9867057
E3392,0.3767246
E8493,0.59370947
E5838,0.8089305
E9295,0.5814424
E5932,0.9557804
E176,0.8069616
E1795,0.47046798
E6864,0.80106616
E1578,0.83286715
E8815,0.89836115
E1280,0.65591776
E8566,0.3403085
E78,0.5525201
E6884,0.34414288
E2651,0.39587012
E6771,0.5167167
E1053,0.3638444
E7258,0.8499217
E7447,0.52977514
E8518,0.8630662
E3787,0.42354628
E10426,0.8447111
E6454,0.482874
E1420,0.58548546
E7043,0.37320063
E8085,0.45634705
E4512,0.3729307
E3692,0.4586908
E185,0.573473
E8415,0.33924147
E7100,0.8377553
E7943,0.6253844
E2820,0.6055411
E1479,0.9207833
E10025,0.42281553
E1439,0.5803929
E7166,0.7084582
E3685,0.7524487
E6442,0.44346213
E5688,0.5906686
E5565,0.40380594
E2486,0.3993822
E10689,0.88108283
E10331,0.81430644
E1785,0.8436194
E50,0.940448
E2609,0.7067381
E7228,0.7415458
E1055,0.341887
E4306,0.87507
E9291,0.87447554
E317,0.7323354
E5867,0.7670445
E874,0.83875436
E7027,0.4847699
E8992,0.6889912
E6380,0.73527384
E9269,0.79616624
E501,0.6972896
E971,0.88734233
E6588,0.7314435
E6545,0.53182006
E10626,0.38810575
E3134,0.8496939
E4650,0.377303
E3992,0.43203655
E4522,0.3901796
E512,0.39754513
E2459,0.8783191
E349,0.47445884
E2547,0.38725787
E8112,0.86107147
E493,0.74917066
E10769,0.40241408
E10300,0.7425512
E9007,0.86416894
E281,0.48679572
E6489,0.81205213
E5485,0.4957703
E4173,0.95336705
E1566,0.63138914
E10407,0.7562463
E560,0.39105487
E2932,0.32678366
E8166,0.97866243
E7355,0.32858282
E705,0.52800584
E6017,0.908664
E3186,0.53150994
E2921,0.49423492
E7386,0.769477
E7926,0.8755634
E76,0.62746185
E6718,0.79406
E7072,0.67080206
E7860,0.5752385
E5785,0.49093562
E4745,0.6560031
E3061,0.87110204
E1217,0.89654934
E3719,0.4737518
E436,0.6197982
E7429,0.89664805
E844,0.5446225
E6919,0.82635915
E9385,0.84069484
E9141,0.38904107
E10500,0.7792723
E3919,0.6344725
E3861,0.88720644
E10488,0.43220147
E3748,0.4765073
E9168,0.8732377
E9853,0.9542963
E7503,0.4711224
E7671,0.58740026
E1069,0.7780481
E8950,0.7200185
E2709,0.68768036
E5402,0.79427415
E961,0.69367963
E723,0.8990455
E7686,0.51481956
E5594,0.8656031
E5018,0.8916297
E7974,0.8996957
E3665,0.644339
E9977,0.6160935
E2396,0.4207467
E6976,0.7429436
E10286,0.48449934
E7669,0.38460767
E5049,0.71677554
E6433,0.88992006
E4205,0.78780764
E7314,0.6596697
E7596,0.7919446
E1907,0.9392417
E6255,0.63188803
E125,0.93710446
E7996,0.7387675
E8545,0.74702644
E2466,0.6215989
E9985,0.5964023
E4184,0.32558233
E2551,0.9586744
E10783,0.7343987
E1122,0.5118637
E7581,0.7231556
E972,0.90021116
