id,prob
E10559,0.52016073
E4849,0.7362403
E3964,0.8093455
E542,0.54099596
E331,0.87937826
E10471,0.95449317
E9186,0.6220401
E5576,0.320545
E9705,0.64705455
E7309,0.93199694
E476,0.8516074
E5217,0.43303972
E7653,0.56626093
E1530,0.59446937
E10379,0.7750601
E1516,0.60264635
E9418,0.805582
E9388,0.38110697
E10737,0.77906954
E5290,0.8654483
E6010,0.5441258
E4307,0.47036502
E4548,0.3776075
E3030,0.46744046
E68,0.7584134
E5739,0.82819504
E2394,0.6469943
E3629,0.7770138
E8652,0.99644035
E5779,0.59301656
E10269,0.89233315
E7456,0.6609855
E9199,0.36336547
E1606,0.8398054
E9077,0.8770238
E9576,0.3617808
E2810,0.829814
E1091,0.9929334
E2755,0.4841394
E1405,0.3568104
E2213,0.5491496
E1321,0.44466844
E10797,0.55043304
E7340,0.56866765
E9659,0.81676215
E1678,0.75160766
E9591,0.25178233
E6377,0.9157504
E10130,0.80435777
E5582,0.50231344
E9510,0.27335778
E4237,0.45952582
E10470,0.7774385
E7528,0.7587209
E2567,0.6630321
E6083,0.33087507
E6735,0.84451115
E6800,0.7433325
E2293,0.24216855
E1633,0.60173905
E10659,0.8586959
E543,0.41798943
E7177,0.50644237
E4126,0.38838017
E2850,0.4565859
E2078,0.3789593
E5746,0.919347
E2445,0.86430746
E2958,0.5352344
E3497,0.75708395
E5069,0.92954993
E8995,0.6110951
E8220,0.99678576
E4354,0.8376104
E7578,0.4089822
E2122,0.7903605
E6661,0.50508344
E2582,0.5318116
E1836,0.6297159
E7881,0.839643
E6685,0.58335763
E113,0.49536616
E1161,0.46670657
E8062,0.6114107
E5637,0.3140371
E4470,0.85682946
E6905,0.7585236
E7553,0.46840757
E7773,0.4349007
E1991,0.8836762
E3997,0.7978019
E5326,0.5773727
E3076,0.8365663
E2018,0.5660272
E594,0.37619188
E2971,0.27046996
E6692,0.7662616
E3383,0.87796575
E8755,0.7676278
E1494,0.7345337
E7725,0.45596486
E8265,0.55386347
E8021,0.53669214
E7110,0.75323325
E8495,0.9988248
E6551,0.44964987
E10716,0.45079917
E9434,0.3649642
E2128,0.86354905
E8123,0.47024772
E1658,0.9492033
E7504,0.36760843
E8552,0.3762167
E798,0.8111785
E5976,0.52915
E6501,0.5133157
E8648,0.69513243
E7213,0.68772745
E6667,0.42495447
E6701,0.5873754
E4011,0.8012311
E6880,0.4280523
E2679,0.71512294
E10280,0.3783222
E6213,0.8797428
E7717,0.766155
E5342,0.6262361
E3783,0.98785585
E4763,0.43448177
E8563,0.70590925
E8256,0.739558
E7562,0.4600928
E8807,0.92813814
E1160,0.75005877
E6757,0.670052
E4130,0.56495386
E10778,0.49572748
E6789,0.62546355
E1448,0.47417772
E1869,0.7497074
E10537,0.5870525
