id,prob
E3064,0.8745226
E298,0.88412946
E3512,0.984213
E5670,0.99930143
E5005,0.37104344
E1537,0.32707652
E4070,0.5239282
E9296,0.46616244
E6748,0.91830623
E8060,0.453882
E3969,0.9104257
E1796,0.78086305
E3195,0.5418693
E8042,0.88588464
E5983,0.88971835
E7860,0.69377047
E5139,0.738981
E4304,0.8151184
E9047,0.4674311
E4737,0.44019863
E3840,0.7216048
E2455,0.950878
E8767,0.35743725
E7242,0.3313025
E1715,0.40071684
E3689,0.9052775
E2885,0.4129634
E4522,0.6908199
E657,0.9550425
E3497,0.5944627
E864,0.69528717
E8007,0.92809796
E3327,0.2430144
E1823,0.8420509
E3682,0.52281415
E5514,0.4527869
E8903,0.53081596
E3685,0.39406297
E6047,0.14512105
E2605,0.673647
E6839,0.64860576
E1487,0.49437293
E5725,0.2154556
E655,0.87597895
E7590,0.44468918
E124,0.8775655
E4788,0.86589795
E2448,0.44511193
E3313,0.940032
E6306,0.9748473
E7027,0.73429465
E3684,0.697767
E3835,0.7810472
E1346,0.9060969
E961,0.91249573
E7255,0.8366579
E4814,0.8565607
E8479,0.8364508
E6676,0.94632286
E2707,0.852301
E3193,0.09108455
E5285,0.72489566
E3804,0.6019768
E8347,0.9046865
E5305,0.8965312
E6401,0.35570452
E8648,0.48553762
E892,0.5561783
E76,0.5334158
E3874,0.40035167
E742,0.3834007
E8402,0.44160125
E3614,0.6898743
E9360,0.8010024
E496,0.6050036
E1680,0.38894686
E206,0.9144948
E7507,0.9286526
E8972,0.84547997
E7371,0.83543575
E8364,0.90350825
E8817,0.5674967
E396,0.6453879
E821,0.83869153
E3679,0.8653352
E6160,0.5149752
E6822,0.52402717
E6689,0.69581085
E5142,0.6116836
E3070,0.44875097
E4713,0.97625345
E6288,0.6849084
E8138,0.8427977
E6187,0.9419484
E5157,0.5151367
E5752,0.8181152
E6317,0.83316857
E7647,0.27886656
E123,0.81685084
E6781,0.2952367
E1861,0.9937237
E3098,0.3449529
E424,0.98272955
E2428,0.5767314
E852,0.7382851
E1220,0.8847691
E3204,0.9061113
E6916,0.79794747
E900,0.56904083
E4840,0.9993772
E2640,0.8789147
E5288,0.9739458
E5823,0.9355092
E7108,0.92340094
E7054,0.8115538
E504,0.3921934
E8610,0.96951115
E1874,0.7996016
E1282,0.7055512
E6677,0.9577434
E1611,0.86399215
E2429,0.6038795
E4645,0.88817835
E1527,0.6805001
E5425,0.74192935
E7299,0.62992984
E4600,0.834673
E7362,0.59874934
E1307,0.47074717
E4921,0.85983413
E6489,0.6474362
E8187,0.9629681
E549,0.90502626
E6176,0.6211315
E4123,0.8656164
E5132,0.39611742
E2846,0.91908115
E528,0.7841581
E6825,0.7978699
E4145,0.9150318
E8475,0.99898905
E5866,0.6473487
E2042,0.9368033
