id,prob
E10559,0.599202
E4849,0.7696321
E3964,0.83044374
E542,0.5289726
E331,0.84281963
E10471,0.9906838
E9186,0.6296614
E5576,0.4511748
E9705,0.67404383
E7309,0.9631509
E476,0.9164886
E5217,0.4849735
E7653,0.64586747
E1530,0.62562954
E10379,0.8447665
E1516,0.6761361
E9418,0.8258752
E9388,0.42091426
E10737,0.74954194
E5290,0.8925378
E6010,0.46908355
E4307,0.4447492
E4548,0.2932708
E3030,0.49865246
E68,0.81549513
E5739,0.86474574
E2394,0.7211857
E3629,0.90866
E8652,0.9985903
E5779,0.65753263
E10269,0.9694457
E7456,0.7611979
E9199,0.5044241
E1606,0.82765853
E9077,0.9168679
E9576,0.45979336
E2810,0.8888318
E1091,0.9979221
E2755,0.58680403
E1405,0.27764478
E2213,0.5630385
E1321,0.3598222
E10797,0.61263686
E7340,0.5911512
E9659,0.871299
E1678,0.81254107
E9591,0.21746239
E6377,0.9253487
E10130,0.81896245
E5582,0.5313302
E9510,0.23380637
E4237,0.4052672
E10470,0.79719347
E7528,0.82687783
E2567,0.61958367
E6083,0.29258907
E6735,0.9159739
E6800,0.7908489
E2293,0.1717419
E1633,0.7582977
E10659,0.87536114
E543,0.42534405
E7177,0.51089084
E4126,0.47075948
E2850,0.48994264
E2078,0.44419563
E5746,0.954739
E2445,0.8962324
E2958,0.56884694
E3497,0.79818726
E5069,0.95012456
E8995,0.69289374
E8220,0.998298
E4354,0.8536948
E7578,0.41307622
E2122,0.8120332
E6661,0.5448148
E2582,0.60348135
E1836,0.6271238
E7881,0.9054099
E6685,0.6336577
E113,0.48615667
E1161,0.46852884
E8062,0.59337604
E5637,0.30028722
E4470,0.9142393
E6905,0.75307024
E7553,0.42095435
E7773,0.33906785
E1991,0.8949382
E3997,0.880165
E5326,0.56471646
E3076,0.8069847
E2018,0.62148994
E594,0.50735474
E2971,0.22821678
E6692,0.8581259
E3383,0.9280087
E8755,0.7378826
E1494,0.8072532
E7725,0.4411788
E8265,0.6067994
E8021,0.51356477
E7110,0.852945
E8495,0.99963737
E6551,0.42800733
E10716,0.37269738
E9434,0.34198347
E2128,0.8870449
E8123,0.43898773
E1658,0.9599731
E7504,0.33889642
E8552,0.37760675
E798,0.83418304
E5976,0.67635363
E6501,0.5872207
E8648,0.7278933
E7213,0.706566
E6667,0.4173744
E6701,0.7654558
E4011,0.85361415
E6880,0.34154853
E2679,0.70075184
E10280,0.34204006
E6213,0.9660708
E7717,0.7579637
E5342,0.8126546
E3783,0.97765994
E4763,0.46021438
E8563,0.7402122
E8256,0.7984612
E7562,0.41464218
E8807,0.95896363
E1160,0.74898094
E6757,0.6393503
E4130,0.63816595
E10778,0.5796007
E6789,0.6556239
E1448,0.43314233
E1869,0.73424923
E10537,0.6869469
E8348,0.52216524
E5158,0.3239885
E5939,0.87870663
E10623,0.4683288
E4941,0.71829623
E9068,0.668477
E9894,0.76524067
E1121,0.96632695
E5634,0.9751046
E3890,0.9287212
E10467,0.63905084
E3728,0.8165871
E3943,0.7018143
E6303,0.4500757
E9052,0.84300965
E533,0.9496532
E132,0.4487406
E1580,0.62165767
E4034,0.57930386
E9422,0.837115
E2575,0.9312592
E1043,0.778893
E8480,0.37671512
E10111,0.3973618
E330,0.3552184
E7838,0.8048187
E9529,0.4068644
E5397,0.6655721
E6862,0.72168
E3740,0.91956
E118,0.48097035
E8133,0.38935676
E8441,0.6524096
E4814,0.66942066
E5592,0.8075971
E4117,0.44923562
E7793,0.7948307
E2368,0.43228632
E9954,0.52932763
E10307,0.73249274
E7729,0.9550499
E1123,0.8318749
E5155,0.83238065
E5224,0.60077274
E2789,0.46587288
E8483,0.55009496
E10552,0.4414798
E8884,0.87714285
E10377,0.35424846
E10193,0.21042961
E5811,0.23695926
E8541,0.7876969
E486,0.8872211
E8888,0.8987654
E6532,0.97863686
E4165,0.96536446
E3160,0.8868776
E982,0.78807163
E5505,0.5904601
E741,0.4816484
E8115,0.8956421
E7410,0.35146105
E687,0.29878232
E10385,0.7480593
E3446,0.46162128
E1295,0.8718951
E10695,0.3733645
E4417,0.42560783
E5099,0.7829056
E8638,0.45989934
E8886,0.6682383
E398,0.6947414
E7150,0.63841933
E7724,0.443703
E2655,0.80456495
E9266,0.93373346
E7954,0.26898876
E3814,0.9176006
E2045,0.35924444
E1948,0.63783604
E637,0.7135727
E4060,0.514576
E2249,0.9812371
E4486,0.4602248
E7770,0.8346799
E6717,0.33370644
E10268,0.28418067
E2382,0.47149304
E4614,0.87137395
E4396,0.7054724
E9562,0.8697194
E7088,0.87072194
E1890,0.9692283
E1764,0.74053353
E9819,0.75643355
E4640,0.89212817
E8385,0.7762863
E2514,0.7271778
E8377,0.60401905
E3496,0.8287716
E1432,0.28857604
E8278,0.3610908
E8219,0.40515125
E380,0.8875005
E416,0.3454701
E7152,0.71790487
E1463,0.9004318
E7247,0.7501839
E3418,0.9303717
E8092,0.7731655
E4181,0.41585445
E10669,0.60440385
E6786,0.96308744
E3287,0.7161316
E8885,0.6260119
E7338,0.45006633
E4890,0.89691275
E8264,0.7364277
E5638,0.5292126
E5846,0.3025281
E1646,0.3980505
E8763,0.9414772
E3816,0.93525887
E6732,0.8808889
E1303,0.95249724
E9350,0.3891924
E10419,0.8794912
E4563,0.65081
E647,0.78777844
E344,0.32022253
E9536,0.8019908
E2617,0.8074996
E10825,0.37512612
E1078,0.6055821
E6851,0.74904436
E8879,0.38775185
E6705,0.3722948
E4207,0.6728378
E4483,0.65957326
E9584,0.38372922
E9846,0.7415988
E9459,0.7888582
E1668,0.61776054
E4090,0.27190208
E6989,0.8385371
E564,0.3719722
E9169,0.46303195
E5313,0.94055057
E2354,0.6560869
E5456,0.27940342
E3361,0.45764983
E9856,0.7914007
E6670,0.6233893
E4170,0.7862071
E7122,0.9469509
E3031,0.46917045
E6175,0.8397885
E4828,0.867459
E817,0.8869466
E7319,0.9266824
E9935,0.8049968
E4198,0.3403401
E5379,0.23746826
E9930,0.51932895
E3910,0.35925755
E9816,0.37758502
E6957,0.6073438
E10243,0.6480279
E4518,0.6027917
E9633,0.8819939
E3538,0.9194153
E2286,0.6525396
E402,0.87514913
E5129,0.9415369
E4101,0.26145878
E3255,0.8173225
E5177,0.6266333
E10847,0.84155315
E2008,0.84374106
E3681,0.8418592
E3359,0.8363958
E3636,0.7113724
E2480,0.59258866
E8321,0.5004726
E1642,0.38280317
E8054,0.55029565
E5026,0.8875039
E1942,0.96817285
E9332,0.78675365
E5820,0.92877465
E112,0.9894705
E7151,0.5728965
E7897,0.60327137
E4685,0.8017998
E7427,0.7608901
E5077,0.46222636
E9841,0.6579321
E5903,0.51467925
E6297,0.9167627
E8018,0.9544091
E5032,0.78585786
E9927,0.55678535
E5135,0.45735684
E7852,0.711047
E231,0.39022896
E3393,0.9374853
E3017,0.98941153
E9673,0.6547434
E1172,0.72713566
E6126,0.8967603
E1470,0.904489
E8896,0.72643876
E3161,0.7522888
E3472,0.8427505
E2167,0.7274746
E2636,0.4604836
E8149,0.84793663
E9090,0.7388663
E6847,0.90355957
E2786,0.94415003
E9972,0.92623526
