id,prob
E10559,0.437309
E4849,0.7424618
E3964,0.7835675
E542,0.8141
E331,0.6104952
E10471,0.6721029
E9186,0.44574505
E5576,0.2629256
E9705,0.5869983
E7309,0.4636131
E476,0.5460718
E5217,0.73181546
E7653,0.5102836
E1530,0.5933744
E10379,0.5623299
E1516,0.8231194
E9418,0.5932806
E9388,0.45556435
E10737,0.5245877
E5290,0.8892435
E6010,0.7508301
E4307,0.5952417
E4548,0.2409652
E3030,0.16830663
E68,0.5725068
E5739,0.76612645
E2394,0.4511252
E3629,0.29928836
E8652,0.94130015
E5779,0.30944282
E10269,0.5689542
E7456,0.5769606
E9199,0.266506
E1606,0.68288136
E9077,0.78418654
E9576,0.36626717
E2810,0.74264175
E1091,0.98591983
E2755,0.4678342
E1405,0.41722557
E2213,0.4846187
E1321,0.40404466
E10797,0.7309437
E7340,0.7049549
E9659,0.9219433
E1678,0.7970362
E9591,0.6326798
E6377,0.99233127
E10130,0.58469224
E5582,0.22897725
E9510,0.3769835
E4237,0.37258178
E10470,0.4184457
E7528,0.9500515
E2567,0.9070857
E6083,0.36484116
E6735,0.74832773
E6800,0.91984105
E2293,0.32886785
E1633,0.28292876
E10659,0.961599
E543,0.48317105
E7177,0.4326607
E4126,0.5441892
E2850,0.495786
E2078,0.40447864
E5746,0.54263306
E2445,0.8430048
E2958,0.37475744
E3497,0.8237645
E5069,0.63806534
E8995,0.37392473
E8220,0.92591363
E4354,0.9081809
E7578,0.3915928
E2122,0.8664721
E6661,0.48726693
E2582,0.42338413
E1836,0.46784526
E7881,0.6939341
E6685,0.28141937
E113,0.50239587
E1161,0.56851923
E8062,0.4241637
E5637,0.27081516
E4470,0.96519834
E6905,0.68901324
E7553,0.43626028
E7773,0.4398164
E1991,0.96576923
E3997,0.77461016
E5326,0.55244476
E3076,0.74613166
E2018,0.28205755
E594,0.4324098
E2971,0.40795597
E6692,0.4290732
E3383,0.9684862
E8755,0.68849796
E1494,0.9155797
E7725,0.7860898
E8265,0.47017846
E8021,0.49887002
E7110,0.6562111
E8495,0.99401855
E6551,0.38496467
E10716,0.47813243
E9434,0.38971952
E2128,0.89475715
E8123,0.437756
E1658,0.9826062
E7504,0.47739753
E8552,0.5527191
E798,0.59779805
E5976,0.7036456
E6501,0.38566738
E8648,0.3868061
E7213,0.5390859
E6667,0.49779356
E6701,0.4278587
E4011,0.6471413
E6880,0.53380436
E2679,0.79688245
E10280,0.49179003
E6213,0.9911409
E7717,0.65538967
E5342,0.7001718
E3783,0.998667
E4763,0.29054263
E8563,0.4386626
E8256,0.66144615
