id,prob
E10559,0.44892013
E4849,0.4799468
E3964,0.82197064
E542,0.5157265
E331,0.55233616
E10471,0.6809817
E9186,0.36722907
E5576,0.4122735
E9705,0.5264595
E7309,0.58652914
E476,0.75583136
E5217,0.35250247
E7653,0.63068277
E1530,0.51666754
E10379,0.65160024
E1516,0.7884912
E9418,0.7661268
E9388,0.50866973
E10737,0.7806473
E5290,0.7098498
E6010,0.56068593
E4307,0.53140444
E4548,0.39983755
E3030,0.13027753
E68,0.7948158
E5739,0.83993113
E2394,0.47239408
E3629,0.67021084
E8652,0.87798834
E5779,0.5727447
E10269,0.60131854
E7456,0.5080026
E9199,0.40798396
E1606,0.87096095
E9077,0.75947577
E9576,0.43289742
E2810,0.83059967
E1091,0.9548583
E2755,0.47629547
E1405,0.46753812
E2213,0.52876824
E1321,0.5583108
E10797,0.6946113
E7340,0.5760138
E9659,0.74059916
E1678,0.87351924
E9591,0.37227383
E6377,0.9511382
E10130,0.8127051
E5582,0.45424598
E9510,0.4425943
E4237,0.48176533
E10470,0.5693899
E7528,0.89758015
E2567,0.54611135
E6083,0.40826118
E6735,0.8342213
E6800,0.6769034
E2293,0.4742056
E1633,0.52407914
E10659,0.8169647
E543,0.5296685
E7177,0.56654006
E4126,0.46830562
E2850,0.42605475
E2078,0.5144798
E5746,0.7754037
E2445,0.86184305
E2958,0.4640153
E3497,0.90970814
E5069,0.76661307
E8995,0.49611992
E8220,0.85418564
E4354,0.80612916
E7578,0.37711513
E2122,0.6506145
E6661,0.36590546
E2582,0.57529944
E1836,0.58597535
E7881,0.6374375
E6685,0.46745443
E113,0.39446896
E1161,0.4169406
E8062,0.50346434
E5637,0.447391
E4470,0.89960474
E6905,0.62727934
E7553,0.5902186
E7773,0.39756784
E1991,0.85134345
E3997,0.6989284
E5326,0.5275029
E3076,0.9016686
E2018,0.44028142
E594,0.3397929
E2971,0.45519122
E6692,0.709064
E3383,0.944222
E8755,0.59311825
E1494,0.8601126
E7725,0.53542817
E8265,0.5103506
E8021,0.61124206
E7110,0.5957112
E8495,0.935851
E6551,0.43177724
E10716,0.53506577
E9434,0.41482854
E2128,0.8826347
E8123,0.47018403
E1658,0.9244837
E7504,0.5102926
E8552,0.5312889
E798,0.8179953
E5976,0.7169119
E6501,0.4286158
E8648,0.673961
E7213,0.5998402
E6667,0.4874198
E6701,0.3843461
E4011,0.7792193
E6880,0.41121626
E2679,0.5106259
E10280,0.4806606
E6213,0.95950973
E7717,0.7194558
E5342,0.7455079
E3783,0.99799085
E4763,0.4942127
E8563,0.6161828
E8256,0.64599174
E7562,0.4910643
E8807,0.94472337
E1160,0.65492666
E6757,0.51081175
E4130,0.476153
E10778,0.42816797
E6789,0.4969035
E1448,0.59571993
E1869,0.6921674
E10537,0.53228027
E8348,0.41563082
E5158,0.48902777
E5939,0.55970305
E10623,0.4652794
E4941,0.587641
E9068,0.5231121
E9894,0.5606078
E1121,0.92749685
E5634,0.85710675
E3890,0.8288415
