id,prob
E10559,0.4923739
E4849,0.6585232
E3964,0.88851106
E542,0.68870145
E331,0.93680173
E10471,0.44020757
E9186,0.4791994
E5576,0.10486996
E9705,0.8501716
E7309,0.8792248
E476,0.44520292
E5217,0.17793074
E7653,0.5918328
E1530,0.080954485
E10379,0.8880766
E1516,0.6542681
E9418,0.9526482
E9388,0.23036796
E10737,0.75985837
E5290,0.9651074
E6010,0.7934518
E4307,0.3136117
E4548,0.27212518
E3030,0.089851834
E68,0.885058
E5739,0.8689288
E2394,0.836863
E3629,0.9175002
E8652,0.9929715
E5779,0.65400183
E10269,0.97998124
E7456,0.59258324
E9199,0.28248104
E1606,0.9143503
E9077,0.9528582
E9576,0.21388489
E2810,0.9866318
E1091,0.98967373
E2755,0.18975256
E1405,0.33227402
E2213,0.48087794
E1321,0.27897826
E10797,0.6123343
E7340,0.55212295
E9659,0.9125979
E1678,0.9601462
E9591,0.22375818
E6377,0.9566409
E10130,0.8773619
E5582,0.4403649
E9510,0.40791535
E4237,0.6492361
E10470,0.7484797
E7528,0.9432832
E2567,0.8081548
E6083,0.16540557
E6735,0.90385115
E6800,0.8105936
E2293,0.31058204
E1633,0.4796842
E10659,0.96003324
E543,0.48615825
E7177,0.30322024
E4126,0.5802018
E2850,0.5166763
E2078,0.32438785
E5746,0.7538973
E2445,0.91422963
E2958,0.33747974
E3497,0.94595885
E5069,0.9652493
E8995,0.5919552
E8220,0.9693448
E4354,0.84675765
E7578,0.24733734
E2122,0.8958789
E6661,0.8704817
E2582,0.7091478
E1836,0.7654705
E7881,0.820615
E6685,0.44308892
E113,0.31366575
E1161,0.4716705
E8062,0.5222549
E5637,0.25188953
E4470,0.88928777
E6905,0.7985897
E7553,0.7051756
E7773,0.30981094
E1991,0.94795585
E3997,0.6265524
E5326,0.5652157
E3076,0.59998965
E2018,0.43037915
E594,0.37598342
E2971,0.13359472
E6692,0.9465077
E3383,0.97956365
E8755,0.6261767
E1494,0.86389565
E7725,0.14267714
E8265,0.6477152
E8021,0.7030742
E7110,0.6622896
E8495,0.99729365
E6551,0.29982772
E10716,0.18784046
E9434,0.18677291
E2128,0.9344685
E8123,0.30777115
E1658,0.96804094
E7504,0.5495253
E8552,0.150074
E798,0.94843686
E5976,0.8462322
E6501,0.15762435
E8648,0.9190895
E7213,0.48582983
E6667,0.12230953
E6701,0.5902051
E4011,0.94570464
E6880,0.18696673
E2679,0.8072968
E10280,0.7164825
E6213,0.92281896
E7717,0.8870369
E5342,0.92078924
E3783,0.9985049
E4763,0.4089736
E8563,0.8751622
E8256,0.81785804
E7562,0.90201676
E8807,0.97891176
E1160,0.77813905
E6757,0.2909177
E4130,0.4799344
E10778,0.12875189
E6789,0.24454527
E1448,0.86291045
E1869,0.836556
E10537,0.16977715
E8348,0.32858306
E5158,0.36833945
E5939,0.9339812
E10623,0.39310518
E4941,0.7482276
E9068,0.5874572
E9894,0.5611073
E1121,0.9415104
E5634,0.9677231
E3890,0.9119786
E10467,0.58742183
E3728,0.870345
E3943,0.8688346
E6303,0.76240885
E9052,0.8584614
E533,0.99720484
E132,0.89284086
E1580,0.8435976
E4034,0.7382351
E9422,0.1348862
E2575,0.95714116
E1043,0.76982856
E8480,0.57290494
E10111,0.89238936
E330,0.14123657
E7838,0.627243
E9529,0.41250688
E5397,0.66615593
E6862,0.8551058
E3740,0.9207583
E118,0.2832798
E8133,0.3559394
E8441,0.73602706
E4814,0.59913474
E5592,0.40924495
E4117,0.23923975
E7793,0.79559875
E2368,0.47360986
E9954,0.7179092
E10307,0.79552853
E7729,0.9505146
E1123,0.7758822
E5155,0.8729483
E5224,0.21765366
E2789,0.14002572
E8483,0.07208824
E10552,0.85865676
E8884,0.87771916
E10377,0.3682868
E10193,0.5526078
E5811,0.8996382
E8541,0.91915655
E486,0.9706067
E8888,0.89305866
E6532,0.9782462
E4165,0.97498727
E3160,0.98017496
E982,0.6637526
E5505,0.8418705
E741,0.827494
E8115,0.87060887
E7410,0.29970333
E687,0.18113838
E10385,0.28702003
E3446,0.31656423
E1295,0.77449745
E10695,0.061874352
E4417,0.40448102
E5099,0.71708596
E8638,0.6105019
E8886,0.9153923
E398,0.9311612
E7150,0.7153913
E7724,0.3016911
E2655,0.27986977
E9266,0.81501704
E7954,0.19190635
E3814,0.7884495
E2045,0.22656094
E1948,0.48582768
E637,0.4693343
E4060,0.64367867
E2249,0.984983
E4486,0.5578447
E7770,0.6423727
E6717,0.28793624
E10268,0.27016512
E2382,0.39664876
E4614,0.9079879
E4396,0.9552899
E9562,0.77763295
E7088,0.9127934
E1890,0.9926293
E1764,0.82603335
E9819,0.9444088
E4640,0.9371803
E8385,0.9100759
E2514,0.5559209
E8377,0.6139116
E3496,0.7501618
E1432,0.19330403
E8278,0.28673065
E8219,0.19558564
E380,0.9355885
E416,0.5108756
E7152,0.08852332
E1463,0.9356918
E7247,0.7768889
E3418,0.9456457
E8092,0.83375967
E4181,0.20631257
E10669,0.46548906
E6786,0.98830473
E3287,0.31955335
E8885,0.60873073
E7338,0.2258719
E4890,0.8761686
E8264,0.80042076
E5638,0.4805378
E5846,0.28178146
E1646,0.40302482
E8763,0.3343896
E3816,0.9537245
E6732,0.5292923
E1303,0.9562405
E9350,0.27392796
E10419,0.98268247
E4563,0.7990056
E647,0.82709926
E344,0.1328545
E9536,0.7939321
E2617,0.8342805
E10825,0.1372774
E1078,0.98909855
E6851,0.92541
E8879,0.40631855
E6705,0.3302712
E4207,0.8066827
E4483,0.41820082
E9584,0.44402874
E9846,0.82377833
E9459,0.93441176
E1668,0.827811
E4090,0.09901224
E6989,0.4033177
E564,0.56599534
E9169,0.44693828
E5313,0.9445535
E2354,0.5172697
E5456,0.16491139
E3361,0.3139832
E9856,0.7132578
E6670,0.66081536
E4170,0.9056912
E7122,0.93751115
E3031,0.37256777
E6175,0.9130666
E4828,0.94869435
E817,0.9464308
E7319,0.9803042
E9935,0.9042103
E4198,0.37270188
E5379,0.19226636
E9930,0.26954985
E3910,0.77266306
E9816,0.15060416
E6957,0.46340677
E10243,0.45450512
E4518,0.91365725
E9633,0.82117176
E3538,0.93700445
E2286,0.47990617
E402,0.90869254
E5129,0.9979261
E4101,0.30182275
E3255,0.34803614
E5177,0.99807894
E10847,0.8208583
E2008,0.9536031
E3681,0.8710484
E3359,0.8778064
E3636,0.74958074
E2480,0.20395434
E8321,0.25533372
E1642,0.44051328
E8054,0.64670324
E5026,0.9083186
E1942,0.88967013
E9332,0.7714965
E5820,0.9962494
