id,prob
E10559,0.48781568
E4849,0.47915024
E3964,0.82680905
E542,0.6103599
E331,0.7380448
E10471,0.89266664
E9186,0.4526983
E5576,0.37159255
E9705,0.7403641
E7309,0.738634
E476,0.7521649
E5217,0.5028088
E7653,0.6622142
E1530,0.5585205
E10379,0.75448006
E1516,0.7459714
E9418,0.86725813
E9388,0.40676376
E10737,0.76854205
E5290,0.85343057
E6010,0.45676973
E4307,0.53977203
E4548,0.3140266
E3030,0.66254675
E68,0.88752794
E5739,0.8074864
E2394,0.62477136
E3629,0.6934277
E8652,0.8783199
E5779,0.5899526
E10269,0.7467429
E7456,0.59279805
E9199,0.36695936
E1606,0.88784486
E9077,0.907853
E9576,0.34197193
E2810,0.8970957
E1091,0.9771912
E2755,0.4817305
E1405,0.40862575
E2213,0.4714515
E1321,0.4592899
E10797,0.6962791
E7340,0.5010725
E9659,0.5878636
E1678,0.88769746
E9591,0.40104827
E6377,0.9569029
E10130,0.8414495
E5582,0.45599508
E9510,0.36942527
E4237,0.46586928
E10470,0.46834904
E7528,0.8533011
E2567,0.63156575
E6083,0.37764987
E6735,0.86069614
E6800,0.7239053
E2293,0.30749145
E1633,0.51030695
E10659,0.90324616
E543,0.42696288
E7177,0.56982183
E4126,0.5259175
E2850,0.5615165
E2078,0.4320085
E5746,0.8395382
E2445,0.885769
E2958,0.4784755
E3497,0.9280181
E5069,0.8935676
E8995,0.6027723
E8220,0.9424115
E4354,0.8463309
E7578,0.28947034
E2122,0.72839975
E6661,0.59372705
E2582,0.54355675
E1836,0.6546898
E7881,0.60804963
E6685,0.5070341
E113,0.45961702
E1161,0.44723234
E8062,0.59849125
E5637,0.48277825
E4470,0.88817257
E6905,0.44567716
E7553,0.6568866
E7773,0.37085456
E1991,0.8980381
E3997,0.67563754
E5326,0.47695532
E3076,0.89325124
E2018,0.42671683
E594,0.4283913
E2971,0.3568639
E6692,0.8926734
E3383,0.9218032
E8755,0.6970063
E1494,0.88715786
E7725,0.5714421
E8265,0.49543464
E8021,0.602367
E7110,0.6558788
E8495,0.9908234
E6551,0.3618595
E10716,0.49498594
E9434,0.3386661
E2128,0.80693066
E8123,0.41202492
E1658,0.95844173
E7504,0.46334657
E8552,0.4647038
E798,0.87450653
E5976,0.6629369
E6501,0.42177776
E8648,0.7349284
E7213,0.71828324
E6667,0.48046267
E6701,0.31747222
E4011,0.8568398
E6880,0.3223811
E2679,0.65799063
E10280,0.48072025
E6213,0.9761982
E7717,0.8170117
E5342,0.66513026
E3783,0.9963128
E4763,0.44815493
E8563,0.5609794
E8256,0.7457267
E7562,0.52826244
E8807,0.90632665
E1160,0.7969703
E6757,0.52461183
E4130,0.5386124
E10778,0.44579887
E6789,0.6039768
E1448,0.6066509
E1869,0.77451247
E10537,0.48165005
E8348,0.56403357
E5158,0.3237778
E5939,0.8943836
E10623,0.46125168
E4941,0.57342803
E9068,0.38679916
E9894,0.61664915
E1121,0.95024866
E5634,0.95147794
E3890,0.88187957
E10467,0.53800875
E3728,0.6827659
E3943,0.7154246
E6303,0.6494923
E9052,0.82105774
E533,0.9394813
E132,0.37303472
E1580,0.7962921
E4034,0.5135607
E9422,0.8699132
E2575,0.9042359
E1043,0.64101017
E8480,0.5127957
E10111,0.45943224
E330,0.44545513
E7838,0.70460147
E9529,0.53052294
E5397,0.41566268
E6862,0.523894
E3740,0.82874495
E118,0.36567822
E8133,0.38324466
E8441,0.7798951
E4814,0.53510165
E5592,0.6668482
E4117,0.57083434
E7793,0.8393944
E2368,0.34798244
E9954,0.47044763
E10307,0.6896932
E7729,0.90774643
E1123,0.7306212
E5155,0.7771763
E5224,0.5687308
E2789,0.20691788
E8483,0.304833
E10552,0.6259611
E8884,0.7927435
E10377,0.39573058
E10193,0.35953084
E5811,0.6797067
E8541,0.6790669
E486,0.93613654
E8888,0.922163
E6532,0.9494141
E4165,0.95065874
E3160,0.94064826
E982,0.75275576
E5505,0.74770457
E741,0.5731018
E8115,0.82251626
E7410,0.1954594
E687,0.41906455
E10385,0.5317421
E3446,0.4395312
E1295,0.77432126
E10695,0.38993967
E4417,0.428712
E5099,0.5848363
E8638,0.5232961
E8886,0.85888535
E398,0.9117623
E7150,0.7066456
E7724,0.5073573
E2655,0.6772991
E9266,0.9316431
E7954,0.39833567
E3814,0.69080245
E2045,0.3223799
E1948,0.58569354
E637,0.6492321
E4060,0.535989
E2249,0.9693108
E4486,0.4230828
E7770,0.67409474
E6717,0.47329357
E10268,0.27429616
E2382,0.5025476
E4614,0.86909145
E4396,0.82826626
E9562,0.5818485
E7088,0.9297153
E1890,0.94996953
E1764,0.66553026
E9819,0.7174354
E4640,0.8971144
E8385,0.6751955
E2514,0.660117
E8377,0.4331782
E3496,0.7682373
E1432,0.42021647
E8278,0.3121048
E8219,0.544122
E380,0.85189694
E416,0.6890375
E7152,0.44607803
E1463,0.7536229
E7247,0.79763716
E3418,0.9418957
E8092,0.7962829
E4181,0.41772732
E10669,0.52347296
E6786,0.9680284
E3287,0.5686097
E8885,0.45497862
E7338,0.3459114
E4890,0.7856921
E8264,0.6974261
E5638,0.331171
E5846,0.4288734
E1646,0.4894504
E8763,0.64022595
E3816,0.9244944
E6732,0.451555
E1303,0.78455484
E9350,0.48969692
E10419,0.9684969
E4563,0.5802892
E647,0.770521
E344,0.38001412
E9536,0.79869705
E2617,0.70648277
E10825,0.31734857
E1078,0.9445947
E6851,0.81477594
E8879,0.46157974
E6705,0.39528602
E4207,0.61142004
E4483,0.5060204
E9584,0.5226655
E9846,0.6882579
E9459,0.77892774
E1668,0.6099688
E4090,0.4556201
E6989,0.79458404
E564,0.398898
E9169,0.62026083
E5313,0.9152798
E2354,0.58584154
E5456,0.492953
E3361,0.49020714
E9856,0.71195465
E6670,0.5359576
E4170,0.6589986
E7122,0.88230234
E3031,0.4378698
E6175,0.8853763
E4828,0.9378283
E817,0.9365668
E7319,0.9544966
E9935,0.8976442
E4198,0.4034676
E5379,0.32820594
E9930,0.46421108
E3910,0.5335697
E9816,0.3785414
E6957,0.59159064
E10243,0.60420185
E4518,0.56882447
E9633,0.7180025
E3538,0.9015557
E2286,0.5783492
E402,0.8165705
E5129,0.91149294
E4101,0.40243262
E3255,0.60027534
E5177,0.98556143
E10847,0.9221415
E2008,0.8261942
E3681,0.84144384
E3359,0.8450671
E3636,0.7416939
E2480,0.4311603
E8321,0.39378205
E1642,0.54172975
E8054,0.43178546
E5026,0.7585964
E1942,0.6826779
E9332,0.71392167
E5820,0.8462992
E112,0.9989889
E7151,0.66097933
E7897,0.53104293
E4685,0.51412296
E7427,0.8919314
E5077,0.34933963
E9841,0.41784436
E5903,0.33392018
E6297,0.8951256
E8018,0.75862926
E5032,0.67270076
E9927,0.6587004
E5135,0.41541076
E7852,0.7042474
E231,0.48926073
E3393,0.657427
E3017,0.43927583
E9673,0.54961514
E1172,0.8992155
E6126,0.905634
E1470,0.8854033
E8896,0.67800516
E3161,0.81730896
E3472,0.8147865
E2167,0.74188393
E2636,0.4511192
E8149,0.6670018
E9090,0.75028557
E6847,0.86701906
E2786,0.93736154
E9972,0.90918
E10107,0.8661721
E3113,0.4581644
E6044,0.7678683
E6075,0.5187991
E5686,0.72816026
E576,0.9687451
E8605,0.40107527
E9563,0.77672285
E8551,0.5567009
E1959,0.53800213
E379,0.96055955
E215,0.49097648
E2899,0.37167892
E5092,0.5353728
E8581,0.7479731
E407,0.57748926
E5325,0.6019006
E8198,0.8388235
E10722,0.4350925
E7543,0.5265726
E5393,0.5605591
E10077,0.4510887
E7679,0.42832932
E10621,0.40943375
E9672,0.84907913
E4168,0.76624864
E1340,0.5429775
E5498,0.3797166
E4826,0.43978414
E3632,0.37880975
E9797,0.59002495
E9581,0.7718522
E7235,0.4807937
E8968,0.8974313
E8842,0.7990991
