id,prob
E10559,0.55532265
E4849,0.6833927
E3964,0.8617277
E542,0.5984237
E331,0.79441744
E10471,0.8692324
E9186,0.4162409
E5576,0.3278888
E9705,0.7268289
E7309,0.98871905
E476,0.8336413
E5217,0.39706692
E7653,0.5557977
E1530,0.67655605
E10379,0.78772384
E1516,0.67872953
E9418,0.8761796
E9388,0.35902378
E10737,0.77351284
E5290,0.8795138
E6010,0.5152659
E4307,0.5033419
E4548,0.34406286
E3030,0.49661288
E68,0.8824201
E5739,0.88298124
E2394,0.6925586
E3629,0.77112985
E8652,0.8622968
E5779,0.6322198
E10269,0.87309885
E7456,0.62303597
E9199,0.38034108
E1606,0.8249067
E9077,0.9418821
E9576,0.38951617
E2810,0.9485936
E1091,0.9797086
E2755,0.46722147
E1405,0.32989562
E2213,0.47666663
E1321,0.3891152
E10797,0.6094119
E7340,0.5238317
E9659,0.8900309
E1678,0.9316441
E9591,0.32975733
E6377,0.95495194
E10130,0.8707941
E5582,0.41371554
E9510,0.26166865
E4237,0.4691759
E10470,0.63695866
E7528,0.8478238
E2567,0.78028643
E6083,0.3235695
E6735,0.874948
E6800,0.8162503
E2293,0.34406632
E1633,0.5414424
E10659,0.9534028
E543,0.30584362
E7177,0.584041
E4126,0.47653165
E2850,0.4256207
E2078,0.3785757
E5746,0.9366266
E2445,0.8488549
E2958,0.45301884
E3497,0.9363773
E5069,0.8862276
E8995,0.64314723
E8220,0.94811827
E4354,0.83026224
E7578,0.30336028
E2122,0.8601811
E6661,0.4891546
E2582,0.5313484
E1836,0.5876763
E7881,0.7050919
E6685,0.5158599
E113,0.4214848
E1161,0.46766332
E8062,0.5056234
E5637,0.26496303
E4470,0.91470414
E6905,0.6094251
E7553,0.5750645
E7773,0.33946425
E1991,0.9037968
E3997,0.81098723
E5326,0.49869865
E3076,0.883278
E2018,0.51144004
E594,0.40120557
E2971,0.2620072
E6692,0.9077883
E3383,0.9547414
E8755,0.751456
E1494,0.90249014
E7725,0.48024982
E8265,0.55647254
E8021,0.51741546
E7110,0.58370477
E8495,0.9819157
E6551,0.42384604
E10716,0.38800234
E9434,0.33649307
E2128,0.9016037
E8123,0.4499349
E1658,0.9564037
E7504,0.40264207
E8552,0.3696255
E798,0.9085789
E5976,0.71059823
E6501,0.37774524
E8648,0.82187504
E7213,0.6333912
E6667,0.43375283
E6701,0.44482133
E4011,0.86327857
E6880,0.30412203
E2679,0.6846577
E10280,0.41615373
E6213,0.9835597
E7717,0.8723259
E5342,0.63118035
E3783,0.99720335
E4763,0.38566625
E8563,0.7656403
E8256,0.7963625
E7562,0.5698008
E8807,0.94383293
E1160,0.86907065
E6757,0.555976
E4130,0.6693879
E10778,0.3420426
E6789,0.65272856
E1448,0.45589462
E1869,0.77673477
E10537,0.54897994
E8348,0.4999138
E5158,0.28190503
E5939,0.93942374
E10623,0.46821347
E4941,0.6220146
E9068,0.6037531
E9894,0.71211225
E1121,0.91133916
E5634,0.96616894
E3890,0.89469707
E10467,0.5465093
E3728,0.6973557
E3943,0.7276104
E6303,0.5676696
E9052,0.8213158
E533,0.98869413
E132,0.3466261
E1580,0.7331838
E4034,0.58233196
E9422,0.8664651
E2575,0.9288894
E1043,0.68195766
E8480,0.48545298
E10111,0.48982868
E330,0.37491876
E7838,0.7362274
E9529,0.5205396
E5397,0.57078665
E6862,0.7780604
E3740,0.8567828
E118,0.3572962
E8133,0.36115792
E8441,0.79655176
E4814,0.6301359
E5592,0.716019
E4117,0.58023787
E7793,0.8413177
E2368,0.53245175
E9954,0.5040557
E10307,0.69811624
E7729,0.90435314
E1123,0.83028316
E5155,0.79209495
E5224,0.57486796
E2789,0.31737489
E8483,0.3020888
E10552,0.48804554
E8884,0.8601853
E10377,0.29713157
E10193,0.38000816
E5811,0.52037686
E8541,0.81097716
E486,0.9379916
E8888,0.87507665
E6532,0.9770547
E4165,0.83893806
E3160,0.9667217
E982,0.8186965
E5505,0.7941724
E741,0.53451544
E8115,0.80640876
E7410,0.21030127
E687,0.35607842
E10385,0.5619135
E3446,0.53834456
E1295,0.82345396
E10695,0.4697821
E4417,0.4810541
E5099,0.7250571
E8638,0.54767054
E8886,0.8310821
E398,0.8650416
E7150,0.72366744
E7724,0.4856308
E2655,0.69343835
E9266,0.92574626
E7954,0.42891148
E3814,0.7474794
E2045,0.27790427
E1948,0.65313864
E637,0.58777523
E4060,0.5865535
E2249,0.9585364
E4486,0.42450327
E7770,0.8226027
E6717,0.46715948
E10268,0.32973963
E2382,0.51324624
E4614,0.8804879
E4396,0.85326505
E9562,0.71207887
E7088,0.9032617
E1890,0.9753994
E1764,0.7208854
E9819,0.90614396
E4640,0.9058557
E8385,0.8325799
E2514,0.67522496
E8377,0.45059144
E3496,0.8121868
E1432,0.3903845
E8278,0.39441004
E8219,0.50893414
E380,0.8873526
E416,0.6087152
E7152,0.43172523
E1463,0.8549684
E7247,0.8754348
E3418,0.9275707
E8092,0.81064373
E4181,0.3798875
E10669,0.58214474
E6786,0.9848733
E3287,0.58302945
E8885,0.5227488
E7338,0.36378357
E4890,0.8401713
E8264,0.7731079
E5638,0.41970006
E5846,0.39114076
E1646,0.49282426
E8763,0.75398475
E3816,0.9341065
E6732,0.5725335
E1303,0.82956815
E9350,0.30735433
E10419,0.9718685
E4563,0.6578912
E647,0.7694967
E344,0.30193123
E9536,0.85541636
E2617,0.7563733
E10825,0.22454885
E1078,0.8536208
E6851,0.84987086
E8879,0.5007306
E6705,0.291763
E4207,0.6774617
E4483,0.47774222
E9584,0.47997272
E9846,0.8095181
E9459,0.8382734
E1668,0.6093707
E4090,0.28178105
E6989,0.8117029
E564,0.36385357
E9169,0.62199044
E5313,0.9090715
E2354,0.7029171
E5456,0.2983476
E3361,0.47875744
E9856,0.7331799
E6670,0.6861914
E4170,0.7981324
E7122,0.91493267
E3031,0.37921044
E6175,0.8812004
E4828,0.9251082
E817,0.92735934
E7319,0.9427643
E9935,0.8905021
E4198,0.38912654
E5379,0.2730119
E9930,0.4752299
E3910,0.5406608
E9816,0.39385328
E6957,0.5162821
E10243,0.6083659
E4518,0.6390818
E9633,0.8488639
E3538,0.9073409
E2286,0.5792518
E402,0.83442897
E5129,0.9859466
E4101,0.39493135
E3255,0.7290828
E5177,0.9753666
E10847,0.9145726
E2008,0.8868715
E3681,0.8702493
E3359,0.8672786
E3636,0.7470319
E2480,0.37820694
E8321,0.440126
E1642,0.4457228
E8054,0.5090342
E5026,0.8088802
E1942,0.94790024
E9332,0.74928606
E5820,0.55218154
E112,0.9982729
E7151,0.416543
E7897,0.67295253
E4685,0.68293905
E7427,0.9420398
E5077,0.4013702
E9841,0.52329314
E5903,0.45187482
E6297,0.91053313
E8018,0.8028708
E5032,0.73414475
E9927,0.5513805
E5135,0.41946265
E7852,0.7641219
E231,0.48092943
E3393,0.84830105
E3017,0.61255145
E9673,0.50794
E1172,0.88063276
E6126,0.91742945
E1470,0.90024257
E8896,0.67090786
E3161,0.8662421
E3472,0.82196355
E2167,0.79747677
E2636,0.4470793
E8149,0.80323845
E9090,0.7533544
E6847,0.8901765
E2786,0.9457735
E9972,0.90813506
E10107,0.8653644
E3113,0.44256368
E6044,0.7717171
E6075,0.5667524
E5686,0.8377354
E576,0.9124073
E8605,0.38091874
E9563,0.7651614
E8551,0.53107905
E1959,0.570119
E379,0.9787821
E215,0.5761973
E2899,0.35300836
E5092,0.47547114
E8581,0.8573045
E407,0.6562631
E5325,0.71429867
E8198,0.85570693
E10722,0.49753505
E7543,0.59059715
E5393,0.61044663
E10077,0.44735172
E7679,0.36647493
E10621,0.417569
E9672,0.8921055
E4168,0.8560322
E1340,0.5013008
E5498,0.43871683
E4826,0.3916731
E3632,0.4301771
E9797,0.66100955
E9581,0.78671676
E7235,0.4427997
E8968,0.97722334
E8842,0.81740826
E4905,0.33754697
E6544,0.6533827
E6785,0.5326257
E10443,0.24952096
E5131,0.77891994
E7879,0.8782252
E226,0.8213462
E2087,0.8321688
E8023,0.527505
E6833,0.9228308
E10586,0.6097837
E5192,0.892641
E1223,0.4923368
E10350,0.5729338
E6395,0.742738
E8309,0.6751309
E9958,0.8793054
E8486,0.9003252
E8378,0.49311385
E4988,0.97444713
E9014,0.9631794
E3392,0.37740502
E8493,0.75009847
E5838,0.8354214
E9295,0.6022652
E5932,0.99215186
E176,0.80896354
E1795,0.4192352
E6864,0.90998137
E1578,0.83946764
E8815,0.93638426
E1280,0.5651726
E8566,0.28045127
E78,0.56499225
E6884,0.35042503
E2651,0.31341726
E6771,0.6893543
E1053,0.40497977
E7258,0.9481997
E7447,0.43001828
E8518,0.8247393
E3787,0.6054551
E10426,0.85294247
E6454,0.58256644
E1420,0.66793936
E7043,0.36844426
E8085,0.54280263
E4512,0.34626794
E3692,0.46594557
E185,0.6323436
E8415,0.28552678
E7100,0.7385351
E7943,0.5922257
E2820,0.7909331
E1479,0.9689405
E10025,0.38208246
E1439,0.4694145
E7166,0.77783126
E3685,0.7066648
E6442,0.4204403
E5688,0.56987774
E5565,0.55518156
E2486,0.4435112
E10689,0.95400524
E10331,0.8587132
E1785,0.9389154
E50,0.94934756
E2609,0.7800004
E7228,0.7791886
E1055,0.3915176
E4306,0.84111035
E9291,0.9442555
E317,0.83551365
E5867,0.83731127
E874,0.8927799
E7027,0.7093479
E8992,0.69347066
E6380,0.82998735
E9269,0.8490427
E501,0.8679508
E971,0.93771595
E6588,0.6975724
E6545,0.1952293
E10626,0.4982193
E3134,0.8261395
E4650,0.38054183
E3992,0.5284356
E4522,0.3383119
E512,0.49294543
E2459,0.90981054
E349,0.36103624
E2547,0.43691212
E8112,0.8586037
E493,0.7860334
E10769,0.25159097
E10300,0.8088585
E9007,0.89592725
E281,0.5165027
E6489,0.7495045
E5485,0.6973927
E4173,0.9135371
E1566,0.6538182
E10407,0.7960367
E560,0.4302511
E2932,0.27504644
E8166,0.9898489
E7355,0.31275773
E705,0.55853707
E6017,0.85480016
E3186,0.46664217
E2921,0.5033961
E7386,0.70576054
E7926,0.71891016
E76,0.61851805
E6718,0.93912613
E7072,0.8068871
E7860,0.5697046
E5785,0.50752586
E4745,0.6986755
E3061,0.86886704
E1217,0.8547767
E3719,0.48582804
E436,0.5966073
E7429,0.67314166
E844,0.5482974
E6919,0.8704419
E9385,0.90027744
E9141,0.49237496
E10500,0.8023728
E3919,0.7492252
E3861,0.9048816
E10488,0.34718865
E3748,0.4514647
E9168,0.85339767
E9853,0.9908981
E7503,0.6395769
E7671,0.6663971
E1069,0.59481144
E8950,0.69082135
E2709,0.91654295
E5402,0.8117029
E961,0.7009512
E723,0.9852711
E7686,0.62716407
E5594,0.7414781
E5018,0.8145393
E7974,0.9699214
E3665,0.5080892
E9977,0.4796448
E2396,0.40263203
E6976,0.75280434
E10286,0.41004473
E7669,0.34780934
E5049,0.73009044
E6433,0.9671203
E4205,0.83453995
E7314,0.7417604
E7596,0.7034035
E1907,0.98736167
E6255,0.61351746
E125,0.8496251
E7996,0.7420025
E8545,0.7764827
E2466,0.631394
E9985,0.70968777
E4184,0.33580726
E2551,0.9569346
E10783,0.78688455
E1122,0.49213138
E7581,0.7520319
E972,0.91726375
E2744,0.61623234
E3549,0.7773747
E8699,0.5255734
E5723,0.9341919
E5106,0.7839769
E3154,0.97072923
E122,0.8321425
E1179,0.91237664
E4627,0.85348153
E864,0.8310379
E9915,0.8379342
E9479,0.43724042
E5827,0.8837214
E3746,0.48356783
E8505,0.84985244
E9560,0.71235466
E4221,0.697242
E569,0.89309585
E9886,0.69741076
E5270,0.8060405
E6899,0.9016166
E10337,0.2859818
E8391,0.8491593
E1960,0.33965397
E8356,0.77795285
E2435,0.39504123
E3067,0.8917298
E1286,0.70599335
E6056,0.77223563
E4767,0.4815268
E589,0.766523
E10478,0.96567684
E9487,0.58834904
E8026,0.86414707
E7536,0.5288538
E1127,0.27903512
E7741,0.965817
E1401,0.90643746
E4975,0.44214815
E1614,0.79879075
E10403,0.52550465
E6443,0.33386213
E5679,0.9425259
E5743,0.34547767
E809,0.619292
E10461,0.6303976
E7124,0.4961376
E156,0.47540388
E4247,0.8494695
E2889,0.9848555
E7965,0.8197594
E9311,0.95822924
E5717,0.36969152
E7171,0.84620064
E7630,0.82441604
E1369,0.47472742
E2603,0.9243806
E4775,0.47709006
E3489,0.56401336
E6138,0.9636032
E8409,0.3267727
E7256,0.7236664
E4055,0.8540657
E9425,0.65969557
E1320,0.8595909
E9609,0.3485088
E829,0.8872856
E57,0.94692683
E5385,0.7154629
E10104,0.8410276
E1299,0.37269452
E7106,0.56444234
E3923,0.8236785
E374,0.3921887
E5351,0.3609636
E5953,0.969173
E1129,0.9389154
E3694,0.6021128
E5987,0.6768181
E6232,0.7839266
E2475,0.3953989
E9120,0.335917
E4653,0.2661759
E7923,0.6840685
E9814,0.35814133
E1669,0.85903066
E3294,0.77546555
E5832,0.7537591
E6394,0.9824609
E8637,0.84767663
E9402,0.8843464
E2660,0.79121816
E9998,0.6662121
E2520,0.31237826
E3897,0.7054576
E1574,0.39382368
E3523,0.94458985
E9715,0.7082717
E2431,0.5357549
E651,0.74950325
E8943,0.65413815
E3853,0.6003669
E7459,0.9817285
E7532,0.78841513
E7275,0.91647905
E2377,0.98478556
E5369,0.38898912
E9163,0.5016421
E1562,0.2188464
E9796,0.42560175
E4691,0.58536386
E9478,0.30734602
E1408,0.28298146
E8870,0.29174724
E8559,0.6254291
E5853,0.4217175
E10828,0.61567277
E10092,0.8438601
E2989,0.52972054
E556,0.83219856
E9231,0.7939354
E10554,0.7625657
E5309,0.8450633
E5033,0.8657568
E314,0.5289086
E387,0.5194296
E2170,0.92936885
E3675,0.92233914
E4528,0.57430714
E10641,0.65126294
E5590,0.83298457
E2308,0.77608275
E6285,0.9261884
E1548,0.9501406
E9612,0.7690579
E10360,0.40956146
E10723,0.33453253
E10256,0.3331945
E52,0.92724514
E4542,0.97479105
E7102,0.5941031
E7129,0.89465183
E3280,0.85517037
E6713,0.9215326
E9602,0.42415252
E3670,0.88298124
E7733,0.68304044
E5695,0.92304665
E2107,0.8581059
E8785,0.98750967
E4225,0.4389566
E10177,0.72475296
E7267,0.5792621
E10589,0.6501645
E1741,0.6458103
E10632,0.81631577
E7955,0.95295537
E5978,0.29229212
E8824,0.868862
E3245,0.6573268
E8040,0.29985583
E2417,0.7265186
E334,0.5436602
E4568,0.32821
E3502,0.41805235
E4861,0.74495625
E441,0.4465349
E6239,0.24554858
E3805,0.7096797
E6252,0.34260562
E7194,0.72157085
E845,0.74938047
E6033,0.797214
E1305,0.8595246
E3373,0.9269273
E3799,0.61129296
E8235,0.48563462
E8564,0.4228048
E376,0.4548086
E10830,0.38704118
E8070,0.90327203
E3133,0.56927943
E2813,0.9304971
E7622,0.8364086
E2048,0.9261239
E3299,0.91080296
E2029,0.23425893
E8182,0.09358725
E1403,0.41444832
E7420,0.87912637
E9279,0.53641844
E2320,0.38938767
E3382,0.5113478
E3128,0.5429474
E9520,0.92184794
E5297,0.7297349
E8554,0.88417
E1638,0.8141952
E1304,0.80399424
E735,0.31284872
E7840,0.62600225
E236,0.3822851
E2697,0.7393791
E9481,0.8761363
E10166,0.6324733
E95,0.8792376
E2278,0.7180831
E3304,0.46191666
E9222,0.7625565
E358,0.5250788
E3490,0.3292821
E9380,0.46694756
E823,0.90831375
E5138,0.47326356
E4223,0.4320102
E10462,0.44980752
E8792,0.40369284
E899,0.3788332
E893,0.6386722
E3045,0.7162992
E4490,0.5966156
E2147,0.83263016
E1428,0.9006311
E9959,0.8924232
E716,0.9366897
E5962,0.81224597
E8782,0.78925383
E2324,0.89681005
E6309,0.7695329
E2562,0.7909664
E5013,0.8566827
E6273,0.886784
E1970,0.44960377
E5885,0.79241335
E171,0.73408777
E5845,0.78927594
E2092,0.9899368
E2316,0.355944
E6766,0.31579402
E3438,0.83348405
E9567,0.33231673
E8707,0.7145032
E4437,0.56002504
E5765,0.8804879
E1185,0.31172493
E359,0.5157091
E7561,0.66787815
E7640,0.7473605
E3388,0.68821216
E877,0.9562409
E4143,0.3061281
E144,0.8047526
E9684,0.92181736
E9678,0.85487115
E7511,0.73369306
E9938,0.36199832
E10289,0.80051965
E4472,0.34355313
E1272,0.9547414
E3976,0.30846447
E10734,0.9518925
E2297,0.98930526
E2725,0.7353856
E17,0.47895497
E246,0.64920473
E9505,0.92890024
E1806,0.56862175
E2784,0.4712142
E4208,0.50722957
E857,0.6786597
E7109,0.85742116
E3903,0.27916002
E10057,0.6149155
E9867,0.8266722
E9486,0.95178324
E6700,0.78019834
E3548,0.48057503
E10581,0.85407233
E2254,0.8736983
E6981,0.49155337
E544,0.19260009
E3482,0.49234018
E7726,0.9146868
E157,0.91024554
E5979,0.38589483
E3120,0.9274751
E9777,0.98595935
E7763,0.85898495
E4882,0.2051612
E6144,0.39133182
E5894,0.5062957
E10490,0.74831396
E4250,0.97084695
E1247,0.80082697
E10804,0.88805044
E3284,0.6689107
E2849,0.9400768
E9043,0.42720583
E4809,0.8226126
E2936,0.60659456
E9110,0.35169035
E3564,0.5761796
E5387,0.40975574
E1645,0.7004533
E8957,0.7725073
E3579,0.6383691
E539,0.3053587
E8447,0.61920583
E3730,0.97544277
E6821,0.88014627
E6249,0.8508876
E7415,0.33041543
E4047,0.7231875
E4070,0.44628805
E5392,0.48822922
E10061,0.3582701
E2893,0.8169718
E10673,0.9627452
E5674,0.3434864
E4713,0.40687576
E10335,0.28963655
E606,0.9304854
E743,0.93373114
E7828,0.79204655
E2915,0.9014735
E256,0.8703062
E473,0.6307968
E9218,0.69052136
E7550,0.4707809
E1571,0.72031
E5980,0.56000453
E3020,0.80032194
E8048,0.956612
E2504,0.57151794
E5703,0.8256177
E1955,0.91952485
E1862,0.8551476
E8649,0.9224778
E2772,0.88134736
E5050,0.7548618
E6115,0.59963316
E3889,0.8362508
E521,0.5239535
E4839,0.94300455
E8795,0.48710656
E4755,0.7457359
E404,0.9768248
E623,0.6719028
E8173,0.4723427
E6439,0.66984946
E1132,0.68470114
E1888,0.34039304
E264,0.96089417
E5682,0.9742312
E8288,0.53624475
E6758,0.87220705
E10676,0.7198246
E8017,0.93558246
E4344,0.53809595
E10714,0.8487592
E417,0.35448205
E6694,0.63339376
E2716,0.44303247
E4032,0.39094776
E4279,0.91875297
E162,0.5802651
E5977,0.56639546
E3135,0.8360518
E1462,0.68029237
E5934,0.809606
E999,0.32711357
E6097,0.39312205
E6053,0.726946
E7481,0.58092874
E10433,0.25927007
E9053,0.38283557
E7277,0.9079158
E2288,0.99577457
