id,prob
E10559,0.5487751
E4849,0.569605
E3964,0.8410516
E542,0.7017903
E331,0.69251794
E10471,0.9090012
E9186,0.57991606
E5576,0.31118563
E9705,0.74980336
E7309,0.82624334
E476,0.76804376
E5217,0.4528762
E7653,0.40868157
E1530,0.5789929
E10379,0.73981833
E1516,0.6857565
E9418,0.8607427
E9388,0.3897306
E10737,0.6922919
E5290,0.8409783
E6010,0.5833401
E4307,0.46098092
E4548,0.4325031
E3030,0.22413114
E68,0.8288904
E5739,0.83276063
E2394,0.61212903
E3629,0.6816032
E8652,0.97484
E5779,0.6087787
E10269,0.7695091
E7456,0.5617627
E9199,0.3659237
E1606,0.8891767
E9077,0.901447
E9576,0.36865982
E2810,0.89786905
E1091,0.9779008
E2755,0.47206157
E1405,0.40267098
E2213,0.5095719
E1321,0.4918507
E10797,0.66745025
E7340,0.5767201
E9659,0.8945462
E1678,0.92088705
E9591,0.3873965
E6377,0.9549843
E10130,0.83324885
E5582,0.4840236
E9510,0.29719383
E4237,0.5010004
E10470,0.56706226
E7528,0.8950662
E2567,0.71965367
E6083,0.3298119
E6735,0.86933047
E6800,0.7651759
E2293,0.39087808
E1633,0.5931287
E10659,0.91924065
E543,0.36518437
E7177,0.6310782
E4126,0.42898265
E2850,0.46127516
E2078,0.40880364
E5746,0.8379215
E2445,0.8878246
E2958,0.4522418
E3497,0.92460555
E5069,0.8750676
E8995,0.5829922
E8220,0.98553294
E4354,0.8242931
E7578,0.40703657
E2122,0.7864046
E6661,0.52232033
E2582,0.5804218
E1836,0.6314497
E7881,0.72808045
E6685,0.4241662
E113,0.35626918
E1161,0.47164318
E8062,0.53060263
E5637,0.33622512
E4470,0.89086676
E6905,0.60389966
E7553,0.58375967
E7773,0.4736659
E1991,0.93314075
E3997,0.8050733
E5326,0.41537893
E3076,0.8783111
E2018,0.40358353
E594,0.40248236
E2971,0.3887686
E6692,0.8519417
E3383,0.93390465
E8755,0.6369362
E1494,0.9145683
E7725,0.49378544
E8265,0.5566975
E8021,0.5770362
E7110,0.54501337
E8495,0.97843975
