id,prob
E10559,0.59633857
E4849,0.58709514
E3964,0.8680388
E542,0.6322817
E331,0.7814379
E10471,0.7965542
E9186,0.3805252
E5576,0.3802309
E9705,0.47064385
E7309,0.1377246
E476,0.44881034
E5217,0.39293253
E7653,0.61691546
E1530,0.45191535
E10379,0.7884433
E1516,0.71331245
E9418,0.8624624
E9388,0.38824135
E10737,0.6911114
E5290,0.84375226
E6010,0.6022094
E4307,0.5392233
E4548,0.36552778
E3030,0.8484102
E68,0.8407451
E5739,0.8627843
E2394,0.44433808
E3629,0.765549
E8652,0.97389597
E5779,0.6227672
E10269,0.8289777
E7456,0.5550755
E9199,0.5001809
E1606,0.8756979
E9077,0.91407144
E9576,0.38006625
E2810,0.895347
E1091,0.97472113
E2755,0.41162893
E1405,0.42465785
E2213,0.5109179
E1321,0.41187727
E10797,0.5952632
E7340,0.594977
E9659,0.896561
E1678,0.926393
E9591,0.4654346
E6377,0.95260847
E10130,0.86943483
E5582,0.416716
E9510,0.29660773
E4237,0.5310981
E10470,0.5546468
E7528,0.8907941
E2567,0.7486397
E6083,0.3377752
E6735,0.8740325
E6800,0.8023873
E2293,0.2768524
E1633,0.56212837
E10659,0.9080604
E543,0.37596205
E7177,0.50841105
E4126,0.49298736
E2850,0.48022798
E2078,0.39203492
E5746,0.41012356
E2445,0.8540689
E2958,0.5046691
E3497,0.9354575
E5069,0.88714844
E8995,0.59715104
E8220,0.9450053
E4354,0.82509786
E7578,0.32056385
E2122,0.82531005
E6661,0.5580656
E2582,0.40251008
E1836,0.46002048
E7881,0.70928174
E6685,0.5201896
E113,0.32562742
E1161,0.48824075
E8062,0.57163805
E5637,0.3438007
E4470,0.9063818
E6905,0.539433
E7553,0.5331013
E7773,0.38694018
E1991,0.89830273
E3997,0.79805374
E5326,0.49723047
E3076,0.48340777
E2018,0.42477295
E594,0.4851585
E2971,0.3753069
E6692,0.87235
E3383,0.9555462
E8755,0.6623057
E1494,0.88274413
E7725,0.5912992
E8265,0.5277306
E8021,0.62547326
E7110,0.62049866
E8495,0.9802613
E6551,0.39654028
E10716,0.4335699
E9434,0.36489826
E2128,0.914344
E8123,0.4234285
E1658,0.9479099
E7504,0.41690016
E8552,0.51771253
E798,0.55412215
E5976,0.7245709
E6501,0.3428488
E8648,0.6586868
E7213,0.66207236
E6667,0.47929665
E6701,0.18972744
E4011,0.8664428
E6880,0.34689787
E2679,0.57488
E10280,0.49401024
E6213,0.9805383
E7717,0.79573584
E5342,0.6206935
E3783,0.9951697
E4763,0.4399563
E8563,0.70859987
E8256,0.59906745
E7562,0.6099749
E8807,0.9778195
E1160,0.5499487
E6757,0.650792
E4130,0.53463906
E10778,0.25130466
E6789,0.6239756
E1448,0.39388463
E1869,0.77427983
E10537,0.52515376
E8348,0.45994675
E5158,0.36187342
