id,prob
E10559,0.5959778
E4849,0.64664716
E3964,0.79800653
E542,0.57925606
E331,0.76250863
E10471,0.86471474
E9186,0.485125
E5576,0.33078876
E9705,0.71117944
E7309,0.93257755
E476,0.8303715
E5217,0.496736
E7653,0.65493715
E1530,0.67468995
E10379,0.80694354
E1516,0.67406565
E9418,0.87384367
E9388,0.41434515
E10737,0.7262003
E5290,0.85369945
E6010,0.5839688
E4307,0.53839695
E4548,0.37669402
E3030,0.5191136
E68,0.88297194
E5739,0.8674762
E2394,0.6710617
E3629,0.77752084
E8652,0.9078989
E5779,0.60451776
E10269,0.7396022
E7456,0.6481189
E9199,0.49507055
E1606,0.8512535
E9077,0.89812607
E9576,0.38731447
E2810,0.8957955
E1091,0.95292693
E2755,0.5609488
E1405,0.3882117
E2213,0.5161397
E1321,0.44081545
E10797,0.6173066
E7340,0.7071513
E9659,0.866901
E1678,0.9080337
E9591,0.25286898
E6377,0.95116895
E10130,0.89346755
E5582,0.47199774
E9510,0.21188332
E4237,0.47814482
E10470,0.6392547
E7528,0.8054323
E2567,0.7574498
E6083,0.30275777
E6735,0.8486668
E6800,0.78935045
E2293,0.3434249
E1633,0.64061546
E10659,0.91361797
E543,0.3928626
E7177,0.56162304
E4126,0.44621092
E2850,0.54794323
E2078,0.4360641
E5746,0.90077484
E2445,0.715993
E2958,0.47561592
E3497,0.93188375
E5069,0.87087756
E8995,0.64241
E8220,0.90284187
E4354,0.78130156
E7578,0.40831295
E2122,0.8104037
E6661,0.52731097
E2582,0.44464567
E1836,0.5197387
E7881,0.70445645
E6685,0.5558285
E113,0.52564853
E1161,0.5475222
E8062,0.53083456
E5637,0.3697858
E4470,0.9099168
E6905,0.5403399
E7553,0.5706867
E7773,0.37318793
E1991,0.8629843
E3997,0.80337006
E5326,0.53526676
E3076,0.85437155
E2018,0.57310665
E594,0.40766993
E2971,0.23915532
E6692,0.8833634
E3383,0.91798687
E8755,0.7355797
E1494,0.91216433
E7725,0.5616896
E8265,0.6735176
E8021,0.47218573
E7110,0.55592823
E8495,0.9202299
E6551,0.36601806
E10716,0.3948183
E9434,0.38839766
E2128,0.86091244
E8123,0.41804868
E1658,0.95603937
E7504,0.40913987
E8552,0.3925819
E798,0.9015962
E5976,0.7192777
E6501,0.520232
E8648,0.75637466
E7213,0.77643657
E6667,0.40317878
E6701,0.6491151
E4011,0.8491309
E6880,0.37239176
E2679,0.60423255
E10280,0.3744804
E6213,0.9335403
E7717,0.80908173
E5342,0.6710413
E3783,0.99523973
E4763,0.53053564
E8563,0.73725027
E8256,0.82295495
E7562,0.47197405
E8807,0.9551699
E1160,0.85145533
E6757,0.60547495
E4130,0.6638968
E10778,0.46311828
E6789,0.71867424
E1448,0.45263776
E1869,0.78204256
E10537,0.6659783
E8348,0.660545
E5158,0.32087046
E5939,0.91247797
E10623,0.50134003
E4941,0.6814885
E9068,0.6509675
E9894,0.6852581
E1121,0.925758
E5634,0.93243307
E3890,0.87547255
E10467,0.612524
E3728,0.6939434
E3943,0.74564505
E6303,0.6010232
E9052,0.762077
E533,0.92948246
E132,0.50562423
E1580,0.6898624
E4034,0.54076964
E9422,0.857758
E2575,0.87464005
E1043,0.5953998
E8480,0.53097945
E10111,0.40440193
E330,0.42081726
E7838,0.79408956
E9529,0.47551587
E5397,0.601046
E6862,0.78786623
E3740,0.86256963
E118,0.38002664
E8133,0.3703711
E8441,0.7463135
E4814,0.63484424
E5592,0.6868232
E4117,0.5178565
E7793,0.8103738
E2368,0.29083046
E9954,0.4989417
E10307,0.63260436
E7729,0.87386304
