id,prob
E10559,0.53355575
E4849,0.59346795
E3964,0.90785724
E542,0.7153107
E331,0.8532936
E10471,0.9272509
E9186,0.40068707
E5576,0.27670324
E9705,0.73545915
E7309,0.96975
E476,0.79767877
E5217,0.43228632
E7653,0.61752087
E1530,0.61283827
E10379,0.7687575
E1516,0.76043254
E9418,0.89304256
E9388,0.42043158
E10737,0.7573919
E5290,0.8733148
E6010,0.5551342
E4307,0.4912816
E4548,0.31264913
E3030,0.888821
E68,0.90095633
E5739,0.8790158
E2394,0.69813657
E3629,0.619277
E8652,0.96328294
E5779,0.79238117
E10269,0.88601804
E7456,0.58229995
E9199,0.31744587
E1606,0.9347054
E9077,0.9325224
E9576,0.37519398
E2810,0.9566216
E1091,0.986681
E2755,0.4583013
E1405,0.47742057
E2213,0.45599222
E1321,0.569134
E10797,0.67550755
E7340,0.6379976
E9659,0.9342538
E1678,0.96458954
E9591,0.315926
E6377,0.9767774
E10130,0.8937338
E5582,0.41113585
E9510,0.2828103
E4237,0.41826752
E10470,0.6568295
E7528,0.9051827
E2567,0.72229296
E6083,0.2907875
E6735,0.8683144
E6800,0.7966719
E2293,0.3958849
E1633,0.66228837
E10659,0.95542985
E543,0.42266983
E7177,0.54935664
E4126,0.52323943
E2850,0.4181882
E2078,0.4196472
E5746,0.8629999
E2445,0.8922862
E2958,0.5019916
E3497,0.96547925
E5069,0.936208
E8995,0.6943079
E8220,0.96013796
E4354,0.8326418
E7578,0.44922844
E2122,0.8760722
E6661,0.38708624
E2582,0.6609092
E1836,0.66635436
E7881,0.702684
E6685,0.4649498
E113,0.37658083
E1161,0.4673436
E8062,0.53633493
E5637,0.2969178
E4470,0.94496334
E6905,0.53166014
E7553,0.4721719
E7773,0.40956602
E1991,0.9033556
E3997,0.6792579
E5326,0.3771946
E3076,0.90497357
E2018,0.39242542
E594,0.3423528
E2971,0.40239108
E6692,0.93229795
E3383,0.9584616
E8755,0.6828133
E1494,0.91460073
E7725,0.5591448
E8265,0.4370213
E8021,0.62434334
E7110,0.65042895
E8495,0.9915822
E6551,0.389086
E10716,0.54157805
E9434,0.26786608
E2128,0.9349174
E8123,0.33792013
E1658,0.9762305
E7504,0.4181259
E8552,0.48176485
E798,0.94259316
E5976,0.68031424
E6501,0.3922921
E8648,0.80426866
E7213,0.64585346
E6667,0.37960732
E6701,0.24489072
E4011,0.8959906
E6880,0.32709798
E2679,0.70892674
E10280,0.46301502
E6213,0.9895699
E7717,0.83033395
E5342,0.6359882
E3783,0.9988588
E4763,0.39717314
E8563,0.7920411
E8256,0.66701835
E7562,0.5631096
E8807,0.97845185
E1160,0.8392736
E6757,0.5895836
E4130,0.64744276
E10778,0.2687348
E6789,0.5618931
E1448,0.5728773
E1869,0.70927125
E10537,0.5546026
E8348,0.43463224
E5158,0.29482216
E5939,0.91442645
E10623,0.3772156
E4941,0.6660483
E9068,0.45302492
E9894,0.6547675
E1121,0.93283695
E5634,0.961018
E3890,0.94484615
E10467,0.56478333
E3728,0.6641608
E3943,0.75994843
E6303,0.6246645
E9052,0.7994611
E533,0.9163646
E132,0.44024602
E1580,0.7804543
E4034,0.44354758
E9422,0.91383564
E2575,0.92749697
E1043,0.656963
E8480,0.53707886
E10111,0.5433846
E330,0.3354827
E7838,0.62623787
E9529,0.45426813
E5397,0.52181464
E6862,0.7020992
E3740,0.85403484
E118,0.35274923
E8133,0.32333702
E8441,0.7734656
E4814,0.58696514
E5592,0.73177886
E4117,0.6357656
E7793,0.94535923
E2368,0.40904003
E9954,0.5883526
E10307,0.71848625
E7729,0.8358086
E1123,0.86774284
E5155,0.8196529
E5224,0.62573564
E2789,0.06853496
E8483,0.39727035
E10552,0.4343212
E8884,0.8402791
E10377,0.2897762
E10193,0.4019645
E5811,0.5077486
E8541,0.7839306
E486,0.9499551
E8888,0.9266055
E6532,0.988663
E4165,0.97462964
E3160,0.98257256
E982,0.80871296
E5505,0.80402213
E741,0.4704976
E8115,0.7965787
E7410,0.12988196
E687,0.38377503
E10385,0.62656736
E3446,0.4699466
E1295,0.9187683
E10695,0.47135538
E4417,0.47992867
E5099,0.78844094
E8638,0.47255313
E8886,0.7466306
E398,0.91873115
E7150,0.7828477
E7724,0.52540326
E2655,0.69527197
E9266,0.9257703
E7954,0.3859601
E3814,0.7979677
E2045,0.38271707
E1948,0.6469085
E637,0.6233722
E4060,0.53721285
E2249,0.97416896
E4486,0.42695162
E7770,0.76395833
E6717,0.64903283
E10268,0.27842346
E2382,0.4027778
E4614,0.94871336
E4396,0.86714345
E9562,0.6351017
E7088,0.9328126
E1890,0.97912633
E1764,0.807949
E9819,0.9405622
E4640,0.9187996
E8385,0.8328108
E2514,0.6267309
E8377,0.49534956
E3496,0.8365669
E1432,0.40428436
E8278,0.37199163
E8219,0.5651818
E380,0.9063658
E416,0.52244604
E7152,0.46817046
E1463,0.8251883
E7247,0.829983
E3418,0.9557683
E8092,0.82527596
E4181,0.3041451
E10669,0.49275082
E6786,0.99316907
E3287,0.5622672
E8885,0.53243566
E7338,0.30966532
E4890,0.88275045
E8264,0.6521537
E5638,0.36492988
E5846,0.47050735
E1646,0.3634344
E8763,0.6704763
E3816,0.95662963
E6732,0.51187783
E1303,0.8461217
E9350,0.37910095
E10419,0.98301286
E4563,0.7021878
E647,0.7883997
E344,0.31445453
E9536,0.86640495
E2617,0.7396105
E10825,0.22452535
E1078,0.9506791
E6851,0.8589519
E8879,0.5131599
E6705,0.29533547
E4207,0.6929242
E4483,0.5288892
E9584,0.4433712
E9846,0.6973279
E9459,0.8450822
E1668,0.63243026
E4090,0.32720527
E6989,0.84715056
E564,0.38454276
E9169,0.48952475
E5313,0.91756797
E2354,0.68928784
E5456,0.43311903
E3361,0.4010841
E9856,0.82222456
E6670,0.7285706
E4170,0.8036273
E7122,0.91800815
E3031,0.3988769
E6175,0.93048644
E4828,0.9000679
E817,0.9774802
E7319,0.96041393
E9935,0.92401123
E4198,0.497953
E5379,0.326927
E9930,0.36490846
E3910,0.5268533
E9816,0.46491498
E6957,0.48976925
E10243,0.6491521
E4518,0.6639008
E9633,0.72405595
E3538,0.9371339
E2286,0.5535552
E402,0.78638655
E5129,0.96504205
E4101,0.39269122
E3255,0.70128495
E5177,0.9875717
E10847,0.8961834
E2008,0.86127985
E3681,0.9072967
E3359,0.8787542
E3636,0.7763486
E2480,0.49239865
E8321,0.42733285
E1642,0.45646396
E8054,0.4850238
E5026,0.81963885
E1942,0.84756017
E9332,0.84595627
E5820,0.90721077
E112,0.99926347
E7151,0.42476475
E7897,0.64775765
E4685,0.6380491
E7427,0.86221224
E5077,0.3380609
E9841,0.37250537
E5903,0.4197091
E6297,0.9414297
E8018,0.8388722
E5032,0.7153064
E9927,0.52383226
E5135,0.4181101
E7852,0.7382527
E231,0.5098347
E3393,0.7939744
E3017,0.6354775
E9673,0.48046795
E1172,0.8926386
E6126,0.94200647
E1470,0.9201223
E8896,0.6743082
E3161,0.8824815
E3472,0.86576676
E2167,0.8165669
E2636,0.39898324
E8149,0.8096608
E9090,0.73913807
E6847,0.9081019
E2786,0.9679023
E9972,0.9288219
E10107,0.9057808
E3113,0.4742455
E6044,0.7958483
E6075,0.4496924
E5686,0.83689517
E576,0.9644537
E8605,0.35370657
E9563,0.8120246
E8551,0.499163
E1959,0.492139
E379,0.9911056
E215,0.62982947
E2899,0.38009775
E5092,0.4963371
E8581,0.87029725
E407,0.7087356
E5325,0.72484833
E8198,0.8567282
E10722,0.5480187
E7543,0.47727358
E5393,0.5905706
E10077,0.36508602
E7679,0.427024
E10621,0.42902842
E9672,0.9221255
E4168,0.9016423
E1340,0.518843
E5498,0.44294268
E4826,0.33081543
E3632,0.38537487
E9797,0.7422287
E9581,0.8662075
E7235,0.5029479
E8968,0.94796354
E8842,0.82804036
E4905,0.29970258
E6544,0.6759585
E6785,0.40369695
E10443,0.28269076
E5131,0.89962524
E7879,0.9043646
E226,0.81028897
E2087,0.83184224
E8023,0.4737639
E6833,0.9548931
E10586,0.64109
E5192,0.92056185
E1223,0.44201455
E10350,0.5561396
E6395,0.74487466
E8309,0.64926934
E9958,0.87577665
E8486,0.91007274
E8378,0.39165822
E4988,0.9817852
E9014,0.9882951
E3392,0.40949523
E8493,0.7659702
E5838,0.81799513
E9295,0.7368296
E5932,0.99297696
E176,0.75287414
E1795,0.35685506
E6864,0.9222096
E1578,0.89160144
E8815,0.93044907
E1280,0.649927
E8566,0.38923135
E78,0.59255284
E6884,0.35034028
E2651,0.4983449
E6771,0.7057593
E1053,0.36927333
E7258,0.9430112
E7447,0.48846665
E8518,0.8851878
E3787,0.53202933
E10426,0.8584386
E6454,0.4944971
E1420,0.6091785
E7043,0.27322143
E8085,0.4805667
E4512,0.32388163
E3692,0.5879969
E185,0.48671314
E8415,0.26898646
E7100,0.7214968
E7943,0.5844047
E2820,0.70460635
E1479,0.970687
E10025,0.3795656
E1439,0.56838995
E7166,0.75982386
E3685,0.78932106
E6442,0.44019485
E5688,0.7033771
E5565,0.5852544
E2486,0.55770296
E10689,0.9540206
E10331,0.79013985
E1785,0.96608037
E50,0.93675756
E2609,0.74873483
E7228,0.8131287
E1055,0.47157967
E4306,0.82741916
E9291,0.97136253
E317,0.7454541
E5867,0.8316925
E874,0.93886375
E7027,0.7370772
E8992,0.69669485
E6380,0.8467771
E9269,0.9134753
E501,0.6379762
E971,0.92398924
E6588,0.68769026
E6545,0.27728152
E10626,0.4878735
E3134,0.8011119
E4650,0.3355559
E3992,0.78607804
E4522,0.361413
E512,0.43364045
E2459,0.9339496
E349,0.28686836
E2547,0.53450704
E8112,0.9042236
E493,0.7500626
E10769,0.22434372
E10300,0.8457634
E9007,0.89067096
E281,0.49616212
E6489,0.8486177
E5485,0.4116069
E4173,0.94655883
E1566,0.491215
E10407,0.87145495
E560,0.4428605
E2932,0.40043575
E8166,0.9963774
E7355,0.38417405
E705,0.56325245
E6017,0.85933673
E3186,0.38141078
E2921,0.42534068
E7386,0.9002818
E7926,0.71356666
E76,0.49965727
E6718,0.94689506
E7072,0.8489501
E7860,0.42201567
E5785,0.5594958
E4745,0.7182379
E3061,0.93356377
E1217,0.87121665
E3719,0.5030406
E436,0.67882323
E7429,0.65748006
E844,0.49183744
E6919,0.9118659
E9385,0.95214653
E9141,0.41630805
E10500,0.79853266
E3919,0.5591744
E3861,0.933022
E10488,0.39183292
E3748,0.39992732
E9168,0.84801275
E9853,0.9952886
E7503,0.6796473
E7671,0.6701765
E1069,0.65825707
E8950,0.6066306
E2709,0.9446585
E5402,0.84715056
E961,0.7235713
E723,0.9954254
E7686,0.68466115
E5594,0.79579794
E5018,0.82756317
E7974,0.9539362
E3665,0.5724202
E9977,0.53112614
E2396,0.36212826
E6976,0.88665956
E10286,0.33505654
E7669,0.3016346
E5049,0.74038744
E6433,0.9794556
E4205,0.8339039
E7314,0.79217386
E7596,0.77942854
E1907,0.9936727
E6255,0.64232373
E125,0.76338774
E7996,0.74674195
E8545,0.7761962
E2466,0.6187636
E9985,0.76236147
E4184,0.4118104
E2551,0.95476615
E10783,0.71714026
E1122,0.47060904
E7581,0.8030511
E972,0.92329556
E2744,0.50049704
E3549,0.6120383
E8699,0.42129335
E5723,0.96208656
E5106,0.84361017
E3154,0.9795681
E122,0.8461871
E1179,0.93480164
E4627,0.8829314
E864,0.7558192
E9915,0.857574
E9479,0.4306126
E5827,0.92753714
E3746,0.4565534
E8505,0.8716926
E9560,0.7686497
E4221,0.6877703
E569,0.9019368
E9886,0.75564694
E5270,0.7618146
E6899,0.9260965
E10337,0.29451153
E8391,0.89146924
E1960,0.24483319
E8356,0.7355695
E2435,0.43881184
E3067,0.91286606
E1286,0.60860145
E6056,0.7510436
E4767,0.35306403
E589,0.7075149
E10478,0.99316907
E9487,0.7088711
E8026,0.901451
E7536,0.5221297
E1127,0.29579508
E7741,0.9705009
E1401,0.8488735
E4975,0.54529715
E1614,0.95496184
E10403,0.48273867
E6443,0.34650645
E5679,0.8583758
E5743,0.2715841
E809,0.5333689
E10461,0.6351488
E7124,0.41639543
E156,0.43456873
E4247,0.67050624
E2889,0.98580104
E7965,0.8173454
E9311,0.9594267
E5717,0.5195825
E7171,0.88728434
E7630,0.8289752
E1369,0.49429598
