id,prob
E370,0.4003598
E667,0.9798201
E3190,0.88764054
E848,0.84239995
E2161,0.787355
E1391,0.81525147
E1084,0.99251163
E1801,0.98390436
E2730,0.92834747
E828,0.4620165
E1795,0.4296589
E1880,0.9724442
E1948,0.79693407
E1545,0.7958354
E2904,0.8527955
E2835,0.84146106
E2349,0.3642851
E2046,0.9077327
E1229,0.3867949
E2845,0.4017269
E2125,0.9999639
E3127,0.9995983
E1721,0.92936075
E1253,0.4446558
E3050,0.33197346
E212,0.86249256
E3193,0.906627
E1195,0.40200084
E699,0.9991309
E2930,0.97955334
E963,0.32155585
E2848,0.9997563
E2261,0.93986416
E2091,0.9991978
E3113,0.9969471
E2717,0.83470356
E1775,0.80322385
E1922,0.82727474
E2239,0.9973888
E1074,0.27364966
E552,0.8349559
E1657,0.8525709
E943,0.8160868
E1139,0.6847075
E2663,0.3658415
E2992,0.25889015
E3111,0.82562447
E1885,0.7116461
E2428,0.99789387
E1627,0.6105221
E2575,0.82112855
E824,0.82584953
E660,0.62897545
E1706,0.7067187
E863,0.9354412
E1289,0.33782002
E389,0.99945897
E802,0.3604282
E520,0.9856575
E1829,0.98863333
E2307,0.9415612
E566,0.81654733
E451,0.36693922
E353,0.2652743
E201,0.8466869
E1736,0.8793822
E2320,0.7131425
E207,0.9954157
E1971,0.4800626
E312,0.78169775
E1968,0.34084347
E1170,0.8801023
E625,0.83484477
E3170,0.68408585
E3087,0.94257134
E2913,0.61496055
E2006,0.99882334
E133,0.95384
E646,0.924328
E17,0.94915754
E1474,0.8921322
E1846,0.20423508
E1689,0.82508427
E1990,0.9993118
E374,0.97254443
E1027,0.8355799
E1428,0.96310127
E488,0.43209848
E1056,0.9669506
E1303,0.8608972
E1740,0.9947349
E2264,0.92415017
E1758,0.9079677
E8,0.5256299
E2298,0.3588342
E1731,0.32895085
E1475,0.9998437
E2510,0.3541351
E1857,0.62996304
E834,0.5897246
E1380,0.99808794
E1588,0.8169012
E2759,0.9040011
E214,0.91671515
E2591,0.9001806
E2771,0.96933347
E493,0.8012427
E1977,0.9470456
E2355,0.89157444
E2498,0.9996942
E2107,0.7143787
E2043,0.37758097
E2560,0.85555506
E1176,0.9689835
E1456,0.9213815
E228,0.8569654
E622,0.94697356
E393,0.31552714
E731,0.8950695
E1336,0.9972229
E2187,0.62636834
E177,0.8263238
E1541,0.39437875
E562,0.94191253
E1720,0.3822144
E2060,0.4176205
E225,0.869431
E2114,0.9991609
E1310,0.46787575
E2785,0.77948624
E3152,0.94291604
E1983,0.26129794
E445,0.92739236
E850,0.7911519
E2740,0.9771928
E1159,0.9991978
E1505,0.84266686
E50,0.8861147
E1078,0.43057445
E2549,0.9993327
E1187,0.4590621
E1844,0.2528572
E558,0.925079
E2741,0.9991597
E1334,0.31492805
E3206,0.15552826
E1262,0.97787505
E3178,0.84154356
E2728,0.9982589
E2870,0.02133989
E2970,0.99428177
E3022,0.99956256
E2503,0.7615704
E1228,0.43205878
E3169,0.52326447
E2799,0.98370475
E1114,0.88669866
E273,0.9478149
E688,0.30600223
E707,0.7974253
E3039,0.82204586
E292,0.96231204
E975,0.71539366
E1476,0.40779108
E2247,0.8539555
E691,0.9006233
E920,0.43598574
E1681,0.23133263
E475,0.26707852
E2699,0.2709806
E1201,0.9999988
E2002,0.5263018
E2104,0.9942614
E197,0.3997396
E309,0.35050026
E1108,0.898472
E141,0.81333196
E1277,0.89948195
E3100,0.8446449
E991,0.9993544
E1723,0.3510813
E1218,0.9998678
E1478,0.84773684
E637,0.35336244
E700,0.9492409
E592,0.85359293
E587,0.98681253
E410,0.99908984
E3029,0.9229334
E2332,0.8302583
E2257,0.5057301
E2857,0.862959
E232,0.43190324
E681,0.5989535
E1477,0.35457644
E238,0.36770743
E2273,0.82298607
E813,0.7117512
E2016,0.9999478
E1976,0.49297
E2340,0.9346831
E1651,0.99114746
E3005,0.31163442
E2626,0.27457327
E1953,0.93762296
E1563,0.99902284
E2477,0.30703437
E453,0.9443179
E2342,0.5685853
E1814,0.99932647
E794,0.94094855
E2221,0.5522014
E742,0.96231216
E2842,0.4266002
E2673,0.8269439
E1848,0.9239378
E754,0.46970704
E2605,0.97062665
E821,0.45726037
E1126,0.4670888
E1388,0.643701
E2773,0.4628471
E989,0.8326449
E1992,0.82162315
E506,0.69237477
E705,0.60522634
E3066,0.553601
E538,0.86747515
E844,0.92410773
E2099,0.42888913
E1172,0.9999715
E967,0.18849951
E1692,0.93079084
E1660,0.33607042
E345,0.94534206
E2150,0.9135829
E1154,0.30453485
E2007,0.66002077
E481,0.96617335
E2454,0.8853016
E3023,0.90008724
E424,0.96324533
E199,0.4027243
E2678,0.2908824
E2497,0.7181658
E2181,0.81483966
E607,0.84072095
E683,0.99765813
E19,0.9769234
E2803,0.4145824
E636,0.8861327
E2877,0.8738087
E642,0.2594631
E1508,0.9994134
E2064,0.44928333
E1402,0.95010865
E2198,0.5027346
E680,0.80489933
E2655,0.81169474
E830,0.3972166
E1132,0.9928833
E1570,0.90943074
E1998,0.43722528
E1598,0.68542004
E2343,0.9382306
E1788,0.39555478
E964,0.48731753
E1239,0.98670226
E716,0.8593567
E215,0.5311775
E1177,0.9980824
E946,0.4083457
E953,0.9863127
E175,0.38677213
E808,0.33034265
E548,0.92798954
E618,0.45823136
E366,0.30507675
E1504,0.8819239
E1151,0.42494914
E2387,0.5693782
E855,0.38518208
E1220,0.99277824
E263,0.9999665
E1989,0.90552366
E2158,0.38663393
E418,0.9217875
E1715,0.37105337
E2606,0.2553196
E1891,0.99646497
E1665,0.80106044
E1843,0.999116
E658,0.92241305
E2837,0.36765707
E876,0.38939634
E2688,0.29964694
E511,0.4237347
E391,0.34637418
E1746,0.9998336
E843,0.8287367
E1029,0.8664398
E234,0.9061488
E1841,0.35908914
E20,0.82853395
E2416,0.7787377
E783,0.3618793
E2991,0.9982547
E2433,0.42649648
E319,0.32784274
E1578,0.28338522
E1137,0.6628919
E3080,0.9994387
E1312,0.88294417
E355,0.3814413
E1269,0.41963863
E1206,0.99869066
E1680,0.91851526
E3047,0.34029058
E1516,0.85135484
E1146,0.8600315
E3174,0.9202453
E1614,0.3024472
E1677,0.93284035
E2225,0.30652034
E460,0.76598555
E1136,0.7964143
E907,0.94618344
E3133,0.76741266
E1207,0.9988644
E3162,0.1852303
E2665,0.94709873
E2496,0.89815176
E1347,0.62227184
E744,0.8799123
E2558,0.7136178
E569,0.6572794
E924,0.4563401
E1777,0.996723
E1437,0.8751693
E1270,0.4005166
E2620,0.72614133
E2958,0.85893613
E2282,0.35288647
E1916,0.9089776
E3003,0.907321
E2404,0.8973954
E921,0.8302552
E2736,0.99365187
E2723,0.99920434
E2076,0.9999771
E2338,0.42735058
E2824,0.25547385
E980,0.9163365
E2260,0.9309118
E1571,0.85606664
E2788,0.9235319
E779,0.82465523
E628,0.52545124
E2641,0.8673691
E1272,0.8521795
E2314,0.8031191
E1787,0.4550657
E935,0.94134545
E62,0.47660336
E733,0.22125134
E750,0.8434131
E2026,0.9113521
E1640,0.44836167
E940,0.8885949
E2779,0.9365003
E790,0.27004927
E307,0.8762423
E2183,0.374235
E2657,0.92095834
E3110,0.86363405
E1597,0.7594693
E812,0.93310094
E1057,0.9990465
E1485,0.3654021
E1268,0.33289644
E2117,0.2856636
E262,0.3840512
E2130,0.9963909
E947,0.55533797
E2240,0.8926452
E1605,0.32844543
E2854,0.3013216
E279,0.4667796
E1242,0.46345532
E2506,0.42261624
E1967,0.33918062
E2303,0.81007904
E697,0.44307595
E2592,0.54800713
E2821,0.28683823
E805,0.32821265
E1822,0.71153307
E2936,0.6281131
E2909,0.8019593
E450,0.9457501
E2092,0.33446088
E1733,0.33050692
E2121,0.9430993
E1070,0.35138905
E2090,0.3576376
E2681,0.99925464
E2939,0.9990194
E1879,0.949366
E2326,0.9961577
E2761,0.6271381
E2852,0.80934787
E3009,0.7981033
E825,0.98119074
E1466,0.9416774
E365,0.4126715
E3149,0.9665474
E1936,0.9308599
E2485,0.9151173
E817,0.9779394
E2218,0.80932206
E735,0.9978611
E1566,0.9939599
E1166,0.99945873
E2216,0.9041686
E831,0.91698426
E2173,0.39891624
E191,0.3352366
E1247,0.34140223
E1231,0.30675673
E1910,0.81848294
E2272,0.89554006
E409,0.8214157
E757,0.35896567
E2607,0.40005094
E1511,0.87181634
E253,0.9998851
E2041,0.333961
E1754,0.559532
E2757,0.87475973
E1812,0.9785775
E2597,0.39730495
E724,0.9990615
E137,0.36084124
E76,0.40841222
E131,0.30673113
E2140,0.911525
E999,0.3280642
E3053,0.74082655
E2390,0.4079563
E2631,0.9990631
E422,0.9315247
E38,0.99985135
E2033,0.9622769
E1237,0.99757355
E675,0.99986887
E845,0.95496434
E1567,0.9801995
E1918,0.7938192
E1646,0.40992314
E2718,0.97348875
E180,0.8212024
E2111,0.9340361
E1236,0.64404666
E2220,0.48765895
E1860,0.46979147
E148,0.95617133
E2126,0.804396
E2886,0.89396745
E1784,0.9440832
E149,0.96100724
E1373,0.8936144
E2599,0.99476874
E2698,0.9841988
E2935,0.87653726
E30,0.85843635
E617,0.9933001
E2969,0.9945451
E3093,0.9969618
E1580,0.86348605
E736,0.89202553
E2737,0.87405646
E2421,0.95244104
E3108,0.921533
E491,0.7475865
E3045,0.9884914
E1076,0.86402744
E746,0.87375706
E2636,0.9045843
E2979,0.99462116
E2350,0.94350535
E554,0.40794197
E2556,0.47840998
E2507,0.8863278
E1941,0.99802667
E64,0.33019394
E1343,0.85200405
E1546,0.82063484
E730,0.99640095
E1679,0.44397813
E408,0.91147053
E1818,0.3103758
E2921,0.9998815
E377,0.29033732
E2197,0.3345444
E839,0.79768234
E1654,0.9218125
E1833,0.61160946
E2925,0.8191688
E793,0.35110432
E1882,0.9193926
E2594,0.81759983
E2625,0.21589577
E886,0.7365909
E2420,0.30126652
E2334,0.5935006
E10,0.3235439
E2139,0.4215311
E1226,0.861856
E1644,0.39266402
E1894,0.9334338
E1512,0.45177874
E1642,0.9837204
E758,0.35581863
E2988,0.8159961
E1757,0.853973
E1414,0.51189214
E2709,0.43194327
E1450,0.7818034
E858,0.9992035
E881,0.9892047
E2035,0.3201163
E1738,0.91683596
E200,0.9257345
E2598,0.3874276
E2479,0.8836969
E2462,0.97079706
E447,0.4148186
E974,0.94426847
E1877,0.8950695
E314,0.8548936
E1483,0.9275455
E2802,0.9467787
E1634,0.9300117
E1576,0.79936606
E29,0.998823
E283,0.9776847
E1978,0.56635594
E146,0.94425356
E82,0.38166752
E194,0.22899754
E1933,0.9049618
E583,0.90528244
E2037,0.8249039
