id,prob
E370,0.43827757
E667,0.9738767
E3190,0.89560527
E848,0.8250014
E2161,0.7655608
E1391,0.79690015
E1084,0.9862568
E1801,0.93761456
E2730,0.92068565
E828,0.3766297
E1795,0.45554683
E1880,0.9739915
E1948,0.7759882
E1545,0.81182945
E2904,0.8192272
E2835,0.8091945
E2349,0.37962106
E2046,0.9320402
E1229,0.40641358
E2845,0.39274746
E2125,0.9997851
E3127,0.999236
E1721,0.93424547
E1253,0.40164116
E3050,0.34628227
E212,0.83027494
E3193,0.87211215
E1195,0.3901274
E699,0.99834013
E2930,0.9710268
E963,0.41300422
E2848,0.9993224
E2261,0.9103458
E2091,0.99864334
E3113,0.9975737
E2717,0.8266276
E1775,0.75542027
E1922,0.81476647
E2239,0.9958348
E1074,0.30589458
E552,0.82154775
E1657,0.8416684
E943,0.8684165
E1139,0.6288621
E2663,0.35309866
E2992,0.2755521
E3111,0.80086344
E1885,0.60799956
E2428,0.99665654
E1627,0.57815415
E2575,0.8319757
E824,0.58421904
E660,0.5341043
E1706,0.6237959
E863,0.89426804
E1289,0.34687686
E389,0.99922776
E802,0.38660914
E520,0.9725
E1829,0.98873085
E2307,0.9373183
E566,0.77573174
E451,0.40186742
E353,0.21089968
E201,0.8296199
E1736,0.86766124
E2320,0.71321654
E207,0.99309033
E1971,0.43603486
E312,0.72746116
E1968,0.45551294
E1170,0.8673298
E625,0.83921874
E3170,0.6362954
E3087,0.94149
E2913,0.62947226
E2006,0.9981352
E133,0.95776874
E646,0.9219907
E17,0.98103815
E1474,0.8540716
E1846,0.21989422
E1689,0.8474682
E1990,0.99858814
E374,0.9625234
E1027,0.8021402
E1428,0.9594913
E488,0.28401592
E1056,0.93230456
E1303,0.8509223
E1740,0.9975879
E2264,0.9219665
E1758,0.9022554
E8,0.62578464
E2298,0.38491613
E1731,0.39074597
E1475,0.9986601
E2510,0.41476274
E1857,0.58703244
E834,0.5325132
E1380,0.9983388
E1588,0.8573479
E2759,0.88221246
E214,0.88572073
E2591,0.8277754
E2771,0.9334313
E493,0.8223856
E1977,0.9419673
E2355,0.87784904
E2498,0.99954957
E2107,0.5144152
E2043,0.4466155
E2560,0.77470285
E1176,0.9674859
E1456,0.9163501
E228,0.8093542
E622,0.9420223
E393,0.3511714
E731,0.9274916
E1336,0.99153805
E2187,0.61409044
E177,0.826292
E1541,0.40981868
E562,0.9060092
E1720,0.38314733
E2060,0.42261595
E225,0.7975792
E2114,0.9993767
E1310,0.4311049
E2785,0.71323454
E3152,0.9017528
E1983,0.35940063
E445,0.9069142
E850,0.76399136
E2740,0.94876045
E1159,0.99782264
E1505,0.850571
E50,0.85509074
E1078,0.4123315
E2549,0.99809796
E1187,0.5468435
E1844,0.30130675
E558,0.89471644
E2741,0.99833554
E1334,0.35902828
E3206,0.2348211
E1262,0.978113
E3178,0.82013553
E2728,0.99546826
E2870,0.050703876
E2970,0.99086326
E3022,0.9967051
E2503,0.73598737
E1228,0.42295814
E3169,0.45766172
E2799,0.9695887
E1114,0.8636989
E273,0.9026596
E688,0.30508968
E707,0.9307078
E3039,0.8739815
E292,0.96231216
E975,0.66025215
E1476,0.39986667
E2247,0.81101644
E691,0.9204969
E920,0.4910309
E1681,0.26577255
E475,0.29748908
E2699,0.2710212
E1201,0.9999958
E2002,0.46558964
E2104,0.99784195
E197,0.39613897
E309,0.41026983
E1108,0.8765514
E141,0.753008
E1277,0.8449657
E3100,0.8398118
E991,0.9976426
E1723,0.39842194
E1218,0.9998204
E1478,0.8412349
E637,0.30923846
E700,0.91523457
E592,0.87131125
E587,0.9657372
E410,0.99850094
E3029,0.9570767
E2332,0.8136608
E2257,0.44882867
E2857,0.86927617
E232,0.39593068
E681,0.60290134
E1477,0.3992607
E238,0.37973785
E2273,0.8475865
E813,0.63534117
E2016,0.9997701
E1976,0.4739107
E2340,0.94644403
E1651,0.99226743
E3005,0.32290232
E2626,0.32026938
E1953,0.9420895
E1563,0.99866366
E2477,0.34755212
E453,0.95083934
E2342,0.5092649
E1814,0.9974408
E794,0.9245002
E2221,0.5720167
E742,0.96231204
E2842,0.41804734
E2673,0.7632719
E1848,0.85377747
E754,0.4178469
E2605,0.9378306
E821,0.47461894
E1126,0.44668308
E1388,0.6705695
E2773,0.46802914
E989,0.7661159
E1992,0.7638779
E506,0.7017102
E705,0.55063903
E3066,0.51495844
E538,0.8825441
E844,0.9223399
E2099,0.40263003
E1172,0.99997485
E967,0.23320098
E1692,0.9387827
E1660,0.34627753
E345,0.95690334
E2150,0.8781493
E1154,0.29442936
E2007,0.73227423
E481,0.96203053
E2454,0.8891337
E3023,0.9155792
E424,0.95050645
E199,0.40614736
E2678,0.43088365
E2497,0.65079147
E2181,0.8183783
E607,0.84312755
E683,0.99440056
E19,0.8860313
E2803,0.44077334
E636,0.86256707
E2877,0.76333636
E642,0.330264
E1508,0.997926
E2064,0.43820477
E1402,0.88362193
E2198,0.54056823
E680,0.8144213
E2655,0.7875512
E830,0.40998015
E1132,0.9817815
E1570,0.8821023
E1998,0.40563187
E1598,0.5913587
E2343,0.9260891
E1788,0.38528535
E964,0.50030166
E1239,0.9786977
E716,0.85875463
E215,0.5015802
E1177,0.99725336
E946,0.44240326
E953,0.8541104
E175,0.43773445
E808,0.35814965
E548,0.91796154
E618,0.40055573
E366,0.28163916
E1504,0.9296509
E1151,0.40736443
E2387,0.53021926
E855,0.39036936
E1220,0.9937814
E263,0.9999447
E1989,0.9165412
E2158,0.35011733
E418,0.9046315
E1715,0.40043512
E2606,0.3702452
E1891,0.9891718
E1665,0.7891403
E1843,0.9986481
E658,0.88122517
E2837,0.31496534
E876,0.5196161
E2688,0.32616115
E511,0.44750425
E391,0.38589936
E1746,0.99963486
E843,0.88898337
E1029,0.8207201
E234,0.9415552
E1841,0.41425037
E20,0.80449146
E2416,0.75821763
E783,0.4254935
E2991,0.99657404
E2433,0.4547942
E319,0.36656287
E1578,0.32911927
E1137,0.6010284
